id,title,authors,year,source_venue,stable_url,evidence_level,sections_read,relevance_to_nsr_hank,caveat
L01,Structural Reinforcement Learning for Heterogeneous Agent Macroeconomics,Yang;Wang;Schaab;Moll,2025,arXiv,https://arxiv.org/abs/2512.18892,E1,abstract-level via search snippet,anchor for global neural HA solution + state compression; not interregional flow network,abstract not full-text verified; single-region
L02,The Trouble with Rational Expectations in Heterogeneous Agent Models,Yang;Wang;Schaab;Moll,2025,arXiv,https://ideas.repec.org/p/arx/papers/2508.20571.html,E0,title only,companion motivation paper,not read; E3 queue
L03,DeepHAM: A Global Solution Method for Heterogeneous Agent Models with Aggregate Shocks,Han;Yang;E,2026,Quantitative Economics,https://onlinelibrary.wiley.com/doi/10.3982/QE2190,E1,abstract-level (known),global value/policy/distribution precedent; opposite of hard-local-modules design,single-region; replaces household solver; no flow data
L04,Deep-MacroFin: Informed Equilibrium Neural Network for Continuous-Time Economic Models,An et al.,2024,arXiv,https://arxiv.org/abs/2408.10368,E1,abstract-level,equilibrium-informed neural HJB precedent,no multi-region links
L05,Deep Learning Solutions to Master Equations for Continuous Time Heterogeneous Agent Macroeconomic Models,Zhou;Gu,2023,draft,https://zzhougu.github.io/drafts/GLMP_20230824.pdf,E0,title only,master-equation neural solving,not read; E3 queue
L06,Solving Heterogeneous Agent Models with Physics-informed Neural Networks,(authors unverified),2025,arXiv,https://arxiv.org/abs/2511.20283,E1,abstract-level + one equation,PINN HJB/KFE precedent,single-region
L07,A deep learning-driven iterative scheme for high-dimensional HJB,(authors unverified),2025,arXiv,https://ideas.repec.org/p/arx/papers/2509.02267.html,E0,title only,HJB solver; not spatial,not read
L08,Sequence-Space Jacobian meets Deep Learning: Exploiting the Random Walk for HANK,Kase,2025,working paper,https://www.hannokase.com/research/deep-learning-mh/,E0,title only,hybrid SSJ+DL surrogate precedent,not read; single-region
L09,Economics-Inspired Neural Networks with Stabilizing Homotopies,(authors unverified),2023,arXiv,https://arxiv.org/abs/2303.14802,E1,abstract-level,differentiable equilibrium / homotopy precedent,not spatial
L10,Deep Learning for Solving and Estimating Dynamic Models in Economics and Finance,(survey),2026,arXiv,https://arxiv.org/abs/2605.14493,E1,abstract-level,survey for learned-economic-network scope check,not read in full
L11,Balanced and Coordinated Regional Economic Development in China: Insights from Heterogeneous Agent New Keynesian Models,(authors unverified),2025,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6028234,E0,title only,closest spatial/multi-region China HANK precedent; must read to determine if links learned,top E3-queue priority
L12,Deep learning four decades of human migration,Gaskin;Abel;et al.,2025,Nature Communications,https://www.semanticscholar.org/paper/716888600f5e317bb4276f4571d9a0a7c125c591,E1,abstract-level,learned bilateral migration flow precedent; not economic equilibrium,no market clearing; not HA/HANK
L13,Human mobility is well described by closed-form gravity-like models learned automatically from data,Simini et al.,2025,Nature Communications,https://link-hkg.springer.com/article/10.1038/s41467-025-56495-5,E1,abstract-level,learned gravity-like mobility precedent,not economic equilibrium
L14,人口怎样在城市间迁移？从引力模型到深度学习 (How does population migrate between cities? From gravity to deep learning),(popular-science overview),2023,thepaper/swarma,https://swarma.org/?p=35947,E0,title only,Chinese survey of gravity-to-DL migration models,non-academic; E0 only
L15,Agglomeration of knowledge intensive activities as driver of high skilled inter-regional migration: a gravity model with Spanish labor mobility data,(authors unverified),2026,ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1056819026000151,E0,title only,static gravity migration estimation; not learned/GE,not read
D01,Origin-destination (OD) of the interprovincial floating population of China,(authors unverified),2016,Journal of Maps,https://www.tandfonline.com/doi/pdf/10.1080/17445647.2016.1239556,E1,abstract-level,2010 census O-D floating-population matrix,migrant stock not flow; E3 queue for methodology
D02,Estimation Dataset of Inter-provincial Migration Sub-flows in China (2010-2020),(data provider),2021,Global Change Research Data Publishing (geodoi),https://geodoi.ac.cn/weben/geodoi.aspx?Id=3621,E1,dataset listing,best ready O-D-year candidate; must audit derivation methodology,proxy/derived; provenance verification required before use
D03,China Migrants Dynamic Survey (CMDS) 2009-2018,NBS / CPDRC,2009-2018,official survey,https://link.springer.com/article/10.1007/s42379-021-00091-9,E1,official summary,annual O-D (residence x hukou) migrant cross-section; year structure for flows,restricted access; cross-tab not true annual flow
D04,Population Census long-form 2000/2010/2020 (migration tables),NBS,2000/2010/2020,official census,https://www.stats.gov.cn/ (NBS),E1,official documentation (known),5-year migration-transition O-D matrices; anchor truth,decennial; transition not annual flow
D05,1% National Population Sample Survey 2005/2015,NBS,2005/2015,official survey,https://www.stats.gov.cn/ (NBS),E1,official documentation (known),intercensal 5-year O-D transition matrices,sample; transition not annual flow
D06,On the Statistical Standard, Intensity, and Age Patterns of Migration and Floating Population in China,(authors unverified),2025,Population Research (人口研究),https://rkyj.ruc.edu.cn/EN/Y2025/V49/I1/3,E1,abstract-level,defines residence-at-present/5yr-ago/birth + hukou cross-tab semantics,critical for measure-type discipline
D07,From 6.57 Million to 376 Million: Remarks on Migration Transition in China,(authors unverified),2022,Population Research,https://rkyj.ruc.edu.cn/EN/Y2022/V46/I6/41,E1,abstract-level,long-run migration-transition scale context,secondary
