point,capital,capital_residual
0,0.500000,-4.9500000000e+01
1,2.725000,-4.7275000000e+01
2,4.950000,-4.5050000000e+01
3,7.175000,-4.2825000000e+01
4,9.400000,-4.0097927762e+01
5,11.625000,-3.7231890222e+01
6,13.850000,-3.4235521958e+01
7,16.075000,-3.1058034255e+01
8,18.300000,-2.7596766199e+01
9,20.525000,-2.3625805520e+01
10,22.750000,-1.8570207256e+01
11,24.975000,-1.1132132548e+01
12,27.200000,-8.0936187141e-01
13,29.425000,8.8270179988e+00
14,31.650000,1.5490148449e+01
15,33.875000,2.0169690138e+01
16,36.100000,2.3871989529e+01
17,38.325000,2.7074947733e+01
18,40.550000,2.9994819243e+01
19,42.775000,3.2738654969e+01
20,45.000000,3.5365079662e+01
