metric,value
W_M_full,0.006437172527306245
W_M_half,0.003217581853443008
W_M_quarter,0.001608539782292695
W_E_half,0.0001563383035682331
W_nontrivial_ok,1
W_monotone_ok,1
W_quarter_cap_ok,1
W_half_linearity_ok,1
W_pass,1
R_M_full,0.029466189993570424
R_M_half,0.01472226558228762
R_M_quarter,0.007358427391045197
R_E_half,0.0003700508975929842
R_nontrivial_ok,1
R_monotone_ok,1
R_quarter_cap_ok,1
R_half_linearity_ok,1
R_pass,1
horizon_W_A_hh_diff,8.82617001707331e-09
horizon_W_N_hh_diff,9.339833351162952e-10
horizon_W_C_diff,4.4369996565762904e-10
horizon_R_A_hh_diff,8.839048604158961e-09
horizon_R_N_hh_diff,9.34507804473128e-10
horizon_R_C_diff,4.4439008028973603e-10
horizon_pass,1.0
