object,max_abs_repeat_diff
zero_amp0.0_T12.0_value,0.0
zero_amp0.0_T12.0_consumption,0.0
zero_amp0.0_T12.0_labor,0.0
zero_amp0.0_T12.0_drift,0.0
zero_amp0.0_T12.0_mass,0.0
zero_amp0.0_T12.0_A_hh,0.0
zero_amp0.0_T12.0_N_hh,0.0
zero_amp0.0_T12.0_C,0.0
zero_amp0.0_T12.0_inputs_w,0.0
zero_amp0.0_T12.0_inputs_r,0.0
W_amp1.0_T12.0_value,0.0
W_amp1.0_T12.0_consumption,0.0
W_amp1.0_T12.0_labor,0.0
W_amp1.0_T12.0_drift,0.0
W_amp1.0_T12.0_mass,0.0
W_amp1.0_T12.0_A_hh,0.0
W_amp1.0_T12.0_N_hh,0.0
W_amp1.0_T12.0_C,0.0
W_amp1.0_T12.0_inputs_w,0.0
W_amp1.0_T12.0_inputs_r,0.0
W_amp0.5_T12.0_value,0.0
W_amp0.5_T12.0_consumption,0.0
W_amp0.5_T12.0_labor,0.0
W_amp0.5_T12.0_drift,0.0
W_amp0.5_T12.0_mass,0.0
W_amp0.5_T12.0_A_hh,0.0
W_amp0.5_T12.0_N_hh,0.0
W_amp0.5_T12.0_C,0.0
W_amp0.5_T12.0_inputs_w,0.0
W_amp0.5_T12.0_inputs_r,0.0
W_amp0.25_T12.0_value,0.0
W_amp0.25_T12.0_consumption,0.0
W_amp0.25_T12.0_labor,0.0
W_amp0.25_T12.0_drift,0.0
W_amp0.25_T12.0_mass,0.0
W_amp0.25_T12.0_A_hh,0.0
W_amp0.25_T12.0_N_hh,0.0
W_amp0.25_T12.0_C,0.0
W_amp0.25_T12.0_inputs_w,0.0
W_amp0.25_T12.0_inputs_r,0.0
R_amp1.0_T12.0_value,0.0
R_amp1.0_T12.0_consumption,0.0
R_amp1.0_T12.0_labor,0.0
R_amp1.0_T12.0_drift,0.0
R_amp1.0_T12.0_mass,0.0
R_amp1.0_T12.0_A_hh,0.0
R_amp1.0_T12.0_N_hh,0.0
R_amp1.0_T12.0_C,0.0
R_amp1.0_T12.0_inputs_w,0.0
R_amp1.0_T12.0_inputs_r,0.0
R_amp0.5_T12.0_value,0.0
R_amp0.5_T12.0_consumption,0.0
R_amp0.5_T12.0_labor,0.0
R_amp0.5_T12.0_drift,0.0
R_amp0.5_T12.0_mass,0.0
R_amp0.5_T12.0_A_hh,0.0
R_amp0.5_T12.0_N_hh,0.0
R_amp0.5_T12.0_C,0.0
R_amp0.5_T12.0_inputs_w,0.0
R_amp0.5_T12.0_inputs_r,0.0
R_amp0.25_T12.0_value,0.0
R_amp0.25_T12.0_consumption,0.0
R_amp0.25_T12.0_labor,0.0
R_amp0.25_T12.0_drift,0.0
R_amp0.25_T12.0_mass,0.0
R_amp0.25_T12.0_A_hh,0.0
R_amp0.25_T12.0_N_hh,0.0
R_amp0.25_T12.0_C,0.0
R_amp0.25_T12.0_inputs_w,0.0
R_amp0.25_T12.0_inputs_r,0.0
W_amp1.0_T16.0_value,0.0
W_amp1.0_T16.0_consumption,0.0
W_amp1.0_T16.0_labor,0.0
W_amp1.0_T16.0_drift,0.0
W_amp1.0_T16.0_mass,0.0
W_amp1.0_T16.0_A_hh,0.0
W_amp1.0_T16.0_N_hh,0.0
W_amp1.0_T16.0_C,0.0
W_amp1.0_T16.0_inputs_w,0.0
W_amp1.0_T16.0_inputs_r,0.0
R_amp1.0_T16.0_value,0.0
R_amp1.0_T16.0_consumption,0.0
R_amp1.0_T16.0_labor,0.0
R_amp1.0_T16.0_drift,0.0
R_amp1.0_T16.0_mass,0.0
R_amp1.0_T16.0_A_hh,0.0
R_amp1.0_T16.0_N_hh,0.0
R_amp1.0_T16.0_C,0.0
R_amp1.0_T16.0_inputs_w,0.0
R_amp1.0_T16.0_inputs_r,0.0
zero_invariance,0.0
amplitude_W_M,0.0
amplitude_W_E_half,0.0
amplitude_R_M,0.0
amplitude_R_E_half,0.0
max_over_all,0.0
