run,amplitude,horizon,k,t,epsilon_i,w,N,Y,pi,r,i,tr,Pi,AC,A_hh,N_hh,C,R_asset,R_labor,R_goods,R_nkpc,R_fisher,R_taylor,R_fiscal,R_profits,R_wealth,mass_error,min_mass,neg_count,nan_count,hjb_residual,labor_kkt,cfoc
amp0.0_T12.0,0.0,12.0,0,0.0,0.0,0.833333302167834,1.0656334053617316,1.0656334053617316,1.422460203682088e-09,0.0073706145949002985,0.007370616017360502,0.059498024739563865,0.17760560077128573,1.0780976030364521e-16,10.000000002223675,1.065633405362024,1.0656334499375317,2.2236754659843427e-09,2.9243274468626623e-13,-4.457580026995966e-08,-1.2407709188295415e-24,0.0,0.0,0.0,0.0,2.09215355232156e-15,0.0,0.0,0,0,9.094947017729282e-13,2.4980018054066022e-15,2.220446049250313e-16
amp0.0_T12.0,0.0,12.0,1,0.05,0.0,0.8333333372490564,1.0656334500368163,1.0656334500368163,1.5166679319941505e-09,0.007370614642004163,0.0073706161586720945,0.05949803546046924,0.17760557083341044,1.2256285172248897e-16,10.000000000000046,1.0656334500371174,1.0656334500376337,4.618527782440651e-14,3.0109248427834245e-13,-8.174687535807627e-13,-3.2053248736429822e-24,0.0,0.0,0.0,0.0,-1.2113728902217033e-14,0.0,0.0,0,0,9.094947017729282e-13,2.4980018054066022e-15,2.220446049250313e-16
amp0.0_T12.0,0.0,12.0,2,0.1,0.0,0.8333333372847911,1.0656334500511198,1.0656334500511198,1.5056790967227946e-09,0.007370614636509744,0.007370616142188841,0.05949803552291334,0.17760557079771433,1.2079325689377279e-16,10.000000000000009,1.0656334500514175,1.0656334500510272,8.881784197001252e-15,2.97761815204467e-13,9.247180699684428e-14,-5.169878828456423e-25,0.0,0.0,0.0,0.0,-7.256681084136973e-15,0.0,0.0,0,0,9.094947017729282e-13,2.275957200481571e-15,2.220446049250313e-16
amp0.0_T12.0,0.0,12.0,3,0.15000000000000002,0.0,0.8333333373191875,1.0656334500641615,1.0656334500641615,1.4945775631213893e-09,0.007370614630958978,0.007370616125536541,0.05949803558554932,0.17760557076323402,1.1901858024592844e-16,10.000000000000021,1.0656334500644498,1.065633450064278,2.1316282072803006e-14,2.8821389719269064e-13,-1.1647039156096234e-13,-7.237830359838992e-25,0.0,0.0,0.0,0.0,2.0067728459564e-14,0.0,0.0,0,0,9.094947017729282e-13,2.3869795029440866e-15,2.220446049250313e-16
amp0.0_T12.0,0.0,12.0,4,0.2,0.0,0.8333333373543608,1.0656334500786178,1.0656334500786178,1.483367289629271e-09,0.007370614625353842,0.007370616108721131,0.05949803564903,0.17760557072816152,1.172398474711119e-16,10.000000000000028,1.0656334500789084,1.0656334500773892,2.842170943040401e-14,2.90656387846866e-13,1.228455559202727e-12,-2.8434333556510326e-24,0.0,0.0,0.0,0.0,1.9103379627038844e-14,2.220446049250313e-16,0.0,0,0,9.094947017729282e-13,2.7200464103316335e-15,2.220446049250313e-16
amp0.0_T12.0,0.0,12.0,5,0.25,0.0,0.8333333373864343,1.0656334500895717,1.0656334500895717,1.4720458910742764e-09,0.007370614619693142,0.007370616091739033,0.05949803571213305,0.1776055706958085,1.1545707411914757e-16,10.000000000000107,1.0656334500898514,1.06563345009035,1.0658141036401503e-13,2.7977620220553945e-13,-7.783817973363539e-13,-3.618915179919496e-24,0.0,0.0,0.0,0.0,4.1312412352073744e-16,0.0,0.0,0,0,1.3642420526593924e-12,2.609024107869118e-15,2.220446049250313e-16
amp0.0_T12.0,0.0,12.0,6,0.30000000000000004,0.0,0.8333333374218773,1.065633450105236,1.065633450105236,1.4606226111219283e-09,0.007370614613981503,0.007370616074604114,0.059498035776872835,0.17760557066064997,1.1367210115130758e-16,10.000000000000087,1.0656334501055205,1.0656334501031746,8.704148513061227e-14,2.844391389089651e-13,2.0613484400228393e-12,-2.481541837659083e-24,0.0,0.0,0.0,0.0,-2.9939320042326306e-14,0.0,0.0,0,0,9.094947017729282e-13,2.55351295663786e-15,2.220446049250313e-16
amp0.0_T12.0,0.0,12.0,7,0.35000000000000003,0.0,0.8333333374516749,1.0656334501141846,1.0656334501141846,1.449087290583956e-09,0.007370614608213842,0.0073706160573011326,0.05949803584043105,0.17760557063038807,1.1188373184476128e-16,10.000000000000211,1.065633450114429,1.0656334501158389,2.113864638886298e-13,2.4424906541753444e-13,-1.654344190423328e-12,-2.3781442610899546e-24,0.0,0.0,0.0,0.0,1.3632509495185292e-14,0.0,0.0,0,0,9.094947017729282e-13,2.275957200481571e-15,2.220446049250313e-16
amp0.0_T12.0,0.0,12.0,8,0.4,0.0,0.8333333374844739,1.065633450127325,1.065633450127325,1.43745680955924e-09,0.007370614602398602,0.0073706160398554115,0.059498035905468746,0.1776055705976265,1.1009496505760585e-16,10.000000000000155,1.0656334501275926,1.0656334501283626,1.545430450278218e-13,2.6756374893466273e-13,-1.0377245337797289e-12,1.34416849539867e-24,0.0,0.0,0.0,0.0,-8.068113550604303e-15,0.0,0.0,0,0,1.3642420526593924e-12,2.4980018054066022e-15,2.220446049250313e-16
amp0.0_T12.0,0.0,12.0,9,0.45,0.0,0.8333333375167731,1.0656334501403213,1.0656334501403213,1.4257221163367633e-09,0.007370614596531254,0.007370616022253371,0.059498035970929605,0.1776055705653734,1.0830477938197143e-16,10.000000000000131,1.0656334501405496,1.0656334501407363,1.3145040611561853e-13,2.282618538629322e-13,-4.151096713842655e-13,-2.0679515313825692e-25,0.0,0.0,0.0,0.0,1.0656260729598159e-14,0.0,0.0,0,0,9.094947017729282e-13,2.3869795029440866e-15,2.220446049250313e-16
