metric,value
amp0.0_T12.0_converged,1
amp0.0_T12.0_success,1
amp0.0_T12.0_nit,2
amp0.0_T12.0_nfev,153
amp0.0_T12.0_residual_inf,2.2236754659843428e-10
amp0.0_T12.0_R_asset_max_kltK,2.2236754659843427e-09
amp0.0_T12.0_R_labor_max_kltK,3.0109248427834245e-13
amp0.0_T12.0_R_goods_max_kltK,4.3634095542435543e-07
amp0.0_T12.0_R_goods_argmax_k,239
amp0.0_T12.0_R_wealth_max,7.887430540784603e-14
amp0.0_T12.0_R_nkpc_max,5.428372769879244e-24
amp0.0_T12.0_R_fisher_max,0.0
amp0.0_T12.0_R_taylor_max,0.0
amp0.0_T12.0_terminal_A_hh_minus_B,-2.1774143377228938e-08
amp0.0_T12.0_terminal_N_hh_minus_N_star,1.5803789388257883e-09
amp0.0_T12.0_terminal_R_goods,-1.0783396398039713e-10
amp0.0_T12.0_hjb_gates,1
amp0.0_T12.0_kfe_gates,1
amp1.0_T12.0_converged,1
amp1.0_T12.0_success,1
amp1.0_T12.0_nit,4
amp1.0_T12.0_nfev,350
amp1.0_T12.0_residual_inf,5.470049361547244e-08
amp1.0_T12.0_R_asset_max_kltK,9.0579916900424e-09
amp1.0_T12.0_R_labor_max_kltK,5.8290675619687704e-08
amp1.0_T12.0_R_goods_max_kltK,0.22557608337684318
amp1.0_T12.0_R_goods_argmax_k,239
amp1.0_T12.0_R_wealth_max,7.048561123060727e-14
amp1.0_T12.0_R_nkpc_max,2.392021043046144e-18
amp1.0_T12.0_R_fisher_max,0.0
amp1.0_T12.0_R_taylor_max,0.0
amp1.0_T12.0_terminal_A_hh_minus_B,-0.011263952656195286
amp1.0_T12.0_terminal_N_hh_minus_N_star,0.0004763275412864587
amp1.0_T12.0_terminal_R_goods,0.00013290038998037268
amp1.0_T12.0_hjb_gates,1
amp1.0_T12.0_kfe_gates,1
full_goods_gate_1e-5,FAIL: 0.226 at k=239 (finite-horizon terminal boundary layer)
half_quarter_long_status,root not converged to 1e-7 within bounded effort (half stalled ~3e-7)
