metric,value
solve_seconds,2.492
config_sha256,FAD43526C5783838DBB88C230FBEB4DDFDD4AC958BD418BAB6A2CBAD77D2A932
hjb_converged,0
hjb_iterations,1000
hjb_true_residual,2.739e+07
hjb_fixed_point_ok,0
value_monotone_b_fraction,0.451316
value_monotone_a_fraction,0.460526
value_monotone_b_ok,0
value_monotone_a_ok,0
labor_foc_max,2.274e-12
consumption_foc_max,1.116e-03
adjustment_active_fraction,0.992500
max_abs_transfer,6.450e+01
max_abs_liquid_drift,3.879e+02
generator_row_sum_max_abs,1.184e-13
generator_min_off_diagonal,0.000e+00
generator_ok,1
nan_inf_count,0
kfe_unique,0
kfe_nullity,7
kfe_stationarity_residual,2.144e+03
kfe_mass_error,nan
kfe_ok,0
accounting_ok,0
A_hh,nan
B_hh,nan
L_hh,nan
C_hh,nan
all_gates_pass,0
