object,field,value
grid_best,r_a,0.03
grid_best,r_b,0.0062500000000000056
grid_best,L,0.55
grid_best,finite,1
grid_best,hjb_converged,1
grid_best,hjb_statistic,4.103632988972095e-09
grid_best,kfe_mass_error,1.1102230246251565e-16
grid_best,kfe_min_mass,0.0
grid_best,R1,-1.7114401672162565
grid_best,R2,-0.9363879711094443
grid_best,R3,0.356903952457005
grid_best,R1_norm,-0.1652315876978648
grid_best,R2_norm,-0.9363879711094443
grid_best,R3_norm,0.6489162771945545
grid_best,resid_inf_norm,0.9363879711094443
grid_best,A_hh,8.646386632497855
grid_best,B_hh,0.06361202889055578
grid_best,L_hh,0.9069039524570051
grid_best,K,10.357826799714111
grid_best,w,1.8413914310602864
grid_best,Y,1.5824457610674338
grid_best,T,0.14566479306247362
grid_best,R_resource_structural,-0.4726030803689864
grid_best,W_taper,0.010692280886533597
grid_best,R_resource_faithful,-0.48329536125552003
grid_best,R_wealth_chain,-0.5346385662720078
grid_best,R_wealth_direct,0.013214662104157905
ls_best,start_r_a,0.06
ls_best,start_r_b,0.025
ls_best,start_L,1.6
ls_best,term_r_a,0.04893193102671238
ls_best,term_r_b,0.007962771727762968
ls_best,term_L,1.5954059642401128
ls_best,success,1
ls_best,status,3
ls_best,message,`xtol` termination condition is satisfied.
ls_best,nfev,24
ls_best,finite,1
ls_best,hjb_converged,1
ls_best,hjb_statistic,2.9250735167352104e-09
ls_best,R1,-10.206753637394883
ls_best,R2,0.45434510166221687
ls_best,R3,-0.759894413433878
ls_best,R1_norm,-0.5393166660446045
ls_best,R2_norm,0.45434510166221687
ls_best,R3_norm,-0.4763016000105111
ls_best,resid_inf_norm,0.5393166660446045
summary,grid_reproducible,True
summary,ls_reproducible,True
summary,reproducible,True
summary,grid_nonfinite_fraction,0.6200274348422496
summary,root_candidate,False
summary,infeasible_certified,False
