start_r_a,start_r_b,start_L,term_r_a,term_r_b,term_L,success,status,message,nfev,finite,hjb_converged,hjb_statistic,R1,R2,R3,R1_norm,R2_norm,R3_norm,resid_inf_norm
0.0,-0.05,0.2,1e-10,-0.0499999999,0.20000000010000002,1,1,`gtol` termination condition is satisfied.,1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
0.0,-0.05,1.6,1e-10,-0.0499999999,1.6,1,1,`gtol` termination condition is satisfied.,1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
0.0,-0.05,3.0,1e-10,-0.0499999999,2.9999999997,1,1,`gtol` termination condition is satisfied.,1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
0.0,0.025,0.2,7.044789423183126e-11,0.00690022859814652,0.7768952978605707,1,3,`xtol` termination condition is satisfied.,6,1,1,1.950916228565802e-08,-50.15380474853654,-0.4378650039652249,0.10621992547815207,-1.0,-0.4378650039652249,0.13672360454576382,1.0
0.0,0.025,1.6,0.004845915880736891,0.01153548991619486,0.891126123584111,1,3,`xtol` termination condition is satisfied.,14,1,1,4.416149934627356e-08,-43.61683616087432,-6.738454239041403e-11,1.8503941712211258e-09,-0.9999999999999999,-6.738454239041403e-11,2.0764672050897092e-09,0.9999999999999999
0.0,0.025,3.0,0.016167179571742803,0.012645419887478391,0.9147249614201926,1,2,`ftol` termination condition is satisfied.,6,1,1,4.165188016713728e-08,-27.088008221311636,7.28411455597211e-08,4.750248527862766e-08,-1.0000000000000009,7.28411455597211e-08,5.193089429294221e-08,1.0000000000000009
0.0,0.1,0.2,3.64185039268315e-11,0.008623102432766516,0.6642045188770148,1,3,`xtol` termination condition is satisfied.,17,1,1,4.031232947454555e-08,-42.87885885709406,-0.21423588352969247,0.22400524010429546,-1.0,-0.21423588352969247,0.3372534117699561,1.0
0.0,0.1,1.6,0.005868773802339854,0.01166193083498634,0.8935707429012901,1,2,`ftol` termination condition is satisfied.,9,1,1,3.588394648090798e-08,-41.49326115774796,2.034144910290081e-07,-2.422894029852074e-08,-1.0000000000000002,2.034144910290081e-07,-2.711474216339381e-08,1.0000000000000002
0.0,0.1,3.0,0.08023870863484243,0.030028504936489356,1.6936090960474786,1,3,`xtol` termination condition is satisfied.,39,1,1,2.0863311078755942e-08,-2.9518529701836638,1.9879998793961127,-0.8446045589312159,-0.2550986272888483,1.9879998793961127,-0.49870100538686424,1.9879998793961127
0.06,-0.05,0.2,0.06,-0.0499999999,0.20000000010000002,1,1,`gtol` termination condition is satisfied.,1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
0.06,-0.05,1.6,0.06,-0.0499999999,1.6,1,1,`gtol` termination condition is satisfied.,1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
0.06,-0.05,3.0,0.06,-0.0499999999,2.9999999997,1,1,`gtol` termination condition is satisfied.,1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.025,0.2,0.04389314551255682,0.01294066222133796,0.46586216701369265,1,3,`xtol` termination condition is satisfied.,19,1,1,6.38591401980193e-08,2.6200649235318973,0.3536369043772747,0.4218776745324586,0.4246019409910669,0.3536369043772747,0.9055847510365845,0.9055847510365845
0.06,0.025,1.6,0.04893193102671238,0.007962771727762968,1.5954059642401128,1,3,`xtol` termination condition is satisfied.,24,1,1,2.9250735167352104e-09,-10.206753637394883,0.45434510166221687,-0.759894413433878,-0.5393166660446045,0.45434510166221687,-0.4763016000105111,0.5393166660446045
0.06,0.025,3.0,0.05124832641723679,0.007508072485259996,2.996846118674048,1,3,`xtol` termination condition is satisfied.,28,1,1,5.227605015534209e-10,-25.179450798100795,0.504473502117321,-2.2085587397525455,-0.7432655786855988,0.504473502117321,-0.7369610091057062,0.7432655786855988
0.06,0.1,0.2,0.06,0.09999999990000001,0.2698569968785261,1,3,`xtol` termination condition is satisfied.,14,1,1,1.4555695315721096e-08,5.847058844662925,3.370383502009105,0.6415455213068362,2.2714239233157327,3.370383502009105,2.3773536677858407,3.370383502009105
0.06,0.1,1.6,0.07715077909958434,0.026061901468568176,1.5857679306009747,1,3,`xtol` termination condition is satisfied.,23,1,1,6.337661062616462e-09,-2.730619162947976,1.8420413149013157,-0.7378978154928447,-0.24056861932246804,1.8420413149013157,-0.4653252227223413,1.8420413149013157
0.06,0.1,3.0,0.07801235828538276,0.030865758576063704,2.9612138203053813,1,3,`xtol` termination condition is satisfied.,29,1,1,1.3817043509334326e-08,-12.29815706309511,1.969459011712562,-2.1538882754851083,-0.58787797265982,1.969459011712562,-0.7273666834578613,1.969459011712562
0.12,-0.05,0.2,0.1199999999,-0.0499999999,0.20000000010000002,1,1,`gtol` termination condition is satisfied.,1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
0.12,-0.05,1.6,0.1199999999,-0.0499999999,1.6,1,1,`gtol` termination condition is satisfied.,1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
0.12,-0.05,3.0,0.1199999999,-0.0499999999,2.9999999997,1,1,`gtol` termination condition is satisfied.,1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
0.12,0.025,0.2,0.1199999999,0.025,0.20000000010000002,1,1,`gtol` termination condition is satisfied.,1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
0.12,0.025,1.6,0.1199999999,0.025,1.6,1,1,`gtol` termination condition is satisfied.,1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
0.12,0.025,3.0,0.1199999999,0.025,2.9999999997,1,1,`gtol` termination condition is satisfied.,1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
0.12,0.1,0.2,0.1199999999,0.09999999990000001,0.20000000010000002,1,1,`gtol` termination condition is satisfied.,1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
0.12,0.1,1.6,0.1199999999,0.09999999990000001,1.6,1,1,`gtol` termination condition is satisfied.,1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
