section,key,value
stage_count,HJB_EXCEPTION,415
stage_fraction_of_452,HJB_EXCEPTION,0.918142
stage_count,KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,37
stage_fraction_of_452,KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,0.081858
r_a_concentration_HJB_EXCEPTION,r_a=0.0,27
r_a_concentration_HJB_EXCEPTION,r_a=0.015,27
r_a_concentration_HJB_EXCEPTION,r_a=0.03,27
r_a_concentration_HJB_EXCEPTION,r_a=0.045,36
r_a_concentration_HJB_EXCEPTION,r_a=0.06,36
r_a_concentration_HJB_EXCEPTION,r_a=0.075,45
r_a_concentration_HJB_EXCEPTION,r_a=0.09,55
r_a_concentration_HJB_EXCEPTION,r_a=0.105,81
r_a_concentration_HJB_EXCEPTION,r_a=0.12,81
r_b_concentration_HJB_EXCEPTION,r_b=-0.05,81
r_b_concentration_HJB_EXCEPTION,r_b=-0.03125,81
r_b_concentration_HJB_EXCEPTION,r_b=-0.0125,81
r_b_concentration_HJB_EXCEPTION,r_b=0.00625,54
r_b_concentration_HJB_EXCEPTION,r_b=0.025,36
r_b_concentration_HJB_EXCEPTION,r_b=0.04375,21
r_b_concentration_HJB_EXCEPTION,r_b=0.0625,18
r_b_concentration_HJB_EXCEPTION,r_b=0.08125,18
r_b_concentration_HJB_EXCEPTION,r_b=0.1,25
L_concentration_HJB_EXCEPTION,L=0.2,47
L_concentration_HJB_EXCEPTION,L=0.55,46
L_concentration_HJB_EXCEPTION,L=0.8999999999999999,47
L_concentration_HJB_EXCEPTION,L=1.2499999999999998,47
L_concentration_HJB_EXCEPTION,L=1.5999999999999999,46
L_concentration_HJB_EXCEPTION,L=1.95,46
L_concentration_HJB_EXCEPTION,L=2.3,46
L_concentration_HJB_EXCEPTION,L=2.65,45
L_concentration_HJB_EXCEPTION,L=3.0,45
r_a_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,r_a=0.0,5
r_a_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,r_a=0.015,4
r_a_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,r_a=0.03,5
r_a_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,r_a=0.045,5
r_a_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,r_a=0.06,5
r_a_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,r_a=0.075,8
r_a_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,r_a=0.09,5
r_b_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,r_b=0.00625,2
r_b_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,r_b=0.025,3
r_b_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,r_b=0.0625,3
r_b_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,r_b=0.08125,7
r_b_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,r_b=0.1,22
L_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,L=0.2,3
L_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,L=0.55,3
L_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,L=0.8999999999999999,5
L_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,L=1.2499999999999998,5
L_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,L=1.5999999999999999,5
L_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,L=1.95,6
L_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,L=2.3,3
L_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,L=2.65,3
L_concentration_KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,L=3.0,4
mechanism_HJB_EXCEPTION,init_vb_min_le_0_cold_start_fail,243
mechanism_HJB_EXCEPTION,init_vb_min_gt_0_iteration_fail,172
mechanism_HJB_EXCEPTION,exception_class,ValueError
mechanism_HJB_EXCEPTION,exception_message,designated transfer FOCs require positive liquid derivatives
mechanism_KFE_FAIL,hjb_converged_all,37
mechanism_KFE_FAIL,exception_class,ValueError
mechanism_KFE_FAIL,exception_message,faithful contaminated-row solve is non-finite
mechanism_KFE_FAIL,contaminated_data_finite_all,37
mechanism_KFE_FAIL,hjb_warnings_empty,37
mechanism_KFE_FAIL,kfe_warnings_empty,0
reproducibility,phaseA_exact_equal_all_56_fields_x_452,True
reproducibility,ndiffs,0
stage_observations,stages_seen,3:HJB_EXCEPTION;6:KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE
