pair_id,slice_r_a,side,r_a,r_b,L,terminal_stage,terminal_stage_label,hjb_converged,hjb_iterations,hjb_statistic,mu_a_min,mu_a_max,mu_b_min,mu_b_max,hjb_post_operator_nnz,hjb_post_operator_data_finite,hjb_post_row_sum_min,hjb_post_row_sum_max,kfe_reached,kfe_exception_class,kfe_exception_message,kfe_contaminated_row_index,kfe_contaminated_nnz,kfe_raw_finite,kfe_normalization_valid,kfe_mass_error,hjb_warnings,kfe_warnings
0,0.000000,finite,0.0,0.0062500000000000056,0.2,0,FULL_FINITE,1,10,2.6952861276186013e-08,-1.6431602506631737,0.0,-0.9023921738216985,1.2300112017678582,3139,1,-1.9207002328415024,8.881784197001252e-16,1,,,295,3136,1,1,1.1102230246251565e-16,,
0,0.000000,nonfinite,0.0,-0.012499999999999997,0.2,3,HJB_EXCEPTION,,,,,,,,,,,,,,,,,,,,,
1,0.000000,finite,0.0,0.0062500000000000056,0.2,0,FULL_FINITE,1,10,2.6952861276186013e-08,-1.6431602506631737,0.0,-0.9023921738216985,1.2300112017678582,3139,1,-1.9207002328415024,8.881784197001252e-16,1,,,295,3136,1,1,1.1102230246251565e-16,,
1,0.000000,nonfinite,0.0,0.02500000000000001,0.2,6,KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,1,10,5.0820656127825714e-08,-1.659177832851149,0.0,-0.6234772348302982,1.551004504894447,3138,1,-1.8832804700818053,1.1657341758564144e-15,0,ValueError,faithful contaminated-row solve is non-finite,295,3135,,,,,MatrixRankWarning
2,0.015000,finite,0.015,0.0062500000000000056,0.2,0,FULL_FINITE,1,11,5.4481034794662264e-08,-1.154262919312244,0.1098186379334206,-0.8811724599084423,0.9941167398696671,3140,1,-0.40449083279976955,8.881784197001252e-16,1,,,295,3137,1,1,1.1102230246251565e-16,,
2,0.015000,nonfinite,0.015,-0.012499999999999997,0.2,3,HJB_EXCEPTION,,,,,,,,,,,,,,,,,,,,,
3,0.015000,finite,0.015,0.0062500000000000056,0.55,0,FULL_FINITE,1,11,4.551750976133917e-08,-1.1321602023164385,0.1098186379334206,-0.8835066921911265,0.9798746842513313,3141,1,-0.3474494690158196,8.881784197001252e-16,1,,,295,3138,1,1,1.1102230246251565e-16,,
3,0.015000,nonfinite,0.015,-0.012499999999999997,0.55,3,HJB_EXCEPTION,,,,,,,,,,,,,,,,,,,,,
4,0.030000,finite,0.03,0.0062500000000000056,0.2,0,FULL_FINITE,1,11,8.28325212864911e-08,-0.7670602341326804,0.38182193173085877,-0.9603469822530154,0.8258048177974795,3111,1,-0.5130000000000001,4.440892098500626e-16,1,,,295,3108,1,1,1.1102230246251565e-16,,
4,0.030000,nonfinite,0.03,-0.012499999999999997,0.2,3,HJB_EXCEPTION,,,,,,,,,,,,,,,,,,,,,
5,0.030000,finite,0.03,0.0062500000000000056,0.55,0,FULL_FINITE,1,12,4.103632988972095e-09,-0.7439098454710336,0.37878352271585447,-0.9618435089043422,0.8097175434496207,3115,1,-0.5130000000000001,4.440892098500626e-16,1,,,295,3112,1,1,1.1102230246251565e-16,,
5,0.030000,nonfinite,0.03,-0.012499999999999997,0.55,3,HJB_EXCEPTION,,,,,,,,,,,,,,,,,,,,,
6,0.045000,finite,0.045,0.02500000000000001,0.2,0,FULL_FINITE,1,11,1.2899658230480782e-08,-0.5788820424051135,0.5072559736838639,-0.626932077595751,0.8128955709332069,3113,1,-0.8512097181599476,2.7755575615628914e-16,1,,,295,3110,1,1,1.1102230246251565e-16,,
6,0.045000,nonfinite,0.045,0.0062500000000000056,0.2,3,HJB_EXCEPTION,,,,,,,,,,,,,,,,,,,,,
7,0.045000,finite,0.045,0.02500000000000001,0.55,0,FULL_FINITE,1,11,9.83526149411773e-09,-0.5526389933341377,0.5019023555222543,-0.6198478071516947,0.8032843294808365,3112,1,-0.8565926580234331,2.7755575615628914e-16,1,,,295,3109,1,1,1.1102230246251565e-16,,
7,0.045000,nonfinite,0.045,0.0062500000000000056,0.55,3,HJB_EXCEPTION,,,,,,,,,,,,,,,,,,,,,
8,0.060000,finite,0.06,0.02500000000000001,0.2,0,FULL_FINITE,1,12,9.131877476420414e-09,-0.37974052449601536,0.6719467741796259,-0.7888366506012994,0.7431742088063931,3105,1,-1.0260000000000002,4.440892098500626e-16,1,,,295,3102,1,1,1.1102230246251565e-16,,
8,0.060000,nonfinite,0.06,0.0062500000000000056,0.2,3,HJB_EXCEPTION,,,,,,,,,,,,,,,,,,,,,
9,0.060000,finite,0.06,0.02500000000000001,0.55,0,FULL_FINITE,1,12,1.0750834888995087e-08,-0.3563738925951363,0.663334717953401,-0.7826864562438591,0.7263878878030071,3105,1,-1.0260000000000002,4.440892098500626e-16,1,,,295,3102,1,1,1.1102230246251565e-16,,
9,0.060000,nonfinite,0.06,0.0062500000000000056,0.55,3,HJB_EXCEPTION,,,,,,,,,,,,,,,,,,,,,
10,0.075000,finite,0.075,0.04375000000000001,0.2,0,FULL_FINITE,1,12,4.812478593407832e-08,-0.24412297802264493,0.8183204757476417,-0.7687097989080415,0.7800037184010682,3103,1,-1.2825000000000004,2.7755575615628914e-16,1,,,295,3100,1,1,2.220446049250313e-16,,
10,0.075000,nonfinite,0.075,0.02500000000000001,0.2,3,HJB_EXCEPTION,,,,,,,,,,,,,,,,,,,,,
11,0.075000,finite,0.075,0.04375000000000001,0.55,0,FULL_FINITE,1,12,3.254472602520764e-08,-0.21629680149251418,0.812245615802782,-0.7626292721496734,0.776540680958139,3105,1,-1.2825000000000004,2.7755575615628914e-16,1,,,295,3102,1,1,1.1102230246251565e-16,,
11,0.075000,nonfinite,0.075,0.02500000000000001,0.55,3,HJB_EXCEPTION,,,,,,,,,,,,,,,,,,,,,
12,0.090000,finite,0.09,0.04375000000000001,0.55,0,FULL_FINITE,1,25,9.681925661197965e-08,0.0,1.0475810292887378,-0.9519774940274071,0.7764772090619114,3107,1,-1.5390000000000004,4.996003610813204e-16,1,,,295,3104,1,1,1.1102230246251565e-16,,
12,0.090000,nonfinite,0.09,0.02500000000000001,0.55,3,HJB_EXCEPTION,,,,,,,,,,,,,,,,,,,,,
