r_a,r_b,L,finite_before,stage_before,old_transfer_foc_guard_failure_before,finite_after,stage_after,hjb_converged_after,hjb_iterations_after,hjb_statistic_after,hjb_exception_class_after,hjb_exception_message_after,kfe_reached_after,kfe_exception_class_after,kfe_exception_message_after,agg_reached_after,agg_finite_after,kfe_mass_error_after,hjb_warnings_after,kfe_warnings_after
0.0,-0.05,0.2,0,3,1,1,FULL_FINITE,1,14,4.243244333679286e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,-0.05,0.55,0,3,1,1,FULL_FINITE,1,14,4.194512115418547e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,-0.05,0.8999999999999999,0,3,1,1,FULL_FINITE,1,14,3.6200727748791905e-08,,,1,,,1,1,4.440892098500626e-16,,
0.0,-0.05,1.2499999999999998,0,3,1,1,FULL_FINITE,1,14,2.8971253840381905e-08,,,1,,,1,1,2.220446049250313e-16,,
0.0,-0.05,1.5999999999999999,0,3,1,1,FULL_FINITE,1,14,9.763066799450826e-09,,,1,,,1,1,1.1102230246251565e-16,,
0.0,-0.05,1.95,0,3,1,1,FULL_FINITE,1,14,5.0429989073563775e-09,,,1,,,1,1,1.1102230246251565e-16,,
0.0,-0.05,2.3,0,3,1,0,KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,1,13,6.207053004914087e-08,,,0,ValueError,faithful contaminated-row solve is non-finite,,,,,MatrixRankWarning
0.0,-0.05,2.65,0,3,1,1,FULL_FINITE,1,13,6.497890225887204e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,-0.05,3.0,0,3,1,1,FULL_FINITE,1,13,9.854603888470592e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,-0.03125,0.2,0,3,1,1,FULL_FINITE,1,14,2.742510218922689e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,-0.03125,0.55,0,3,1,1,FULL_FINITE,1,14,6.713146660786151e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,-0.03125,0.8999999999999999,0,3,1,1,FULL_FINITE,1,14,7.198304174949044e-08,,,1,,,1,1,4.440892098500626e-16,,
0.0,-0.03125,1.2499999999999998,0,3,1,1,FULL_FINITE,1,14,6.485805315037396e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,-0.03125,1.5999999999999999,0,3,1,1,FULL_FINITE,1,14,5.465512131763717e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,-0.03125,1.95,0,3,1,1,FULL_FINITE,1,14,4.3099753099795635e-08,,,1,,,1,1,2.220446049250313e-16,,
0.0,-0.03125,2.3,0,3,1,1,FULL_FINITE,1,14,1.5459676205864525e-08,,,1,,,1,1,2.220446049250313e-16,,
0.0,-0.03125,2.65,0,3,1,1,FULL_FINITE,1,14,1.2181615716144734e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,-0.03125,3.0,0,3,1,1,FULL_FINITE,1,14,9.24689658177158e-09,,,1,,,1,1,1.1102230246251565e-16,,
0.0,-0.012499999999999997,0.2,0,3,1,1,FULL_FINITE,1,14,1.5367142225386488e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,-0.012499999999999997,0.55,0,3,1,1,FULL_FINITE,1,14,2.75677152217213e-08,,,1,,,1,1,2.220446049250313e-16,,
0.0,-0.012499999999999997,0.8999999999999999,0,3,1,1,FULL_FINITE,1,14,7.057430906343143e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,-0.012499999999999997,1.2499999999999998,0,3,1,1,FULL_FINITE,1,15,7.670326596098676e-09,,,1,,,1,1,2.220446049250313e-16,,
0.0,-0.012499999999999997,1.5999999999999999,0,3,1,1,FULL_FINITE,1,15,6.8569399047646584e-09,,,1,,,1,1,2.220446049250313e-16,,
0.0,-0.012499999999999997,1.95,0,3,1,1,FULL_FINITE,1,15,5.783022061223164e-09,,,1,,,1,1,2.220446049250313e-16,,
0.0,-0.012499999999999997,2.3,0,3,1,1,FULL_FINITE,1,14,9.865446415346923e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,-0.012499999999999997,2.65,0,3,1,1,FULL_FINITE,1,14,7.72796653336627e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,-0.012499999999999997,3.0,0,3,1,1,FULL_FINITE,1,14,5.868841057576901e-08,,,1,,,1,1,4.440892098500626e-16,,
0.0,0.0062500000000000056,0.2,1,FINITE,0,1,FULL_FINITE,1,10,2.6952861276186013e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.0062500000000000056,0.55,1,FINITE,0,1,FULL_FINITE,1,10,2.4605181891956818e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.0062500000000000056,0.8999999999999999,1,FINITE,0,1,FULL_FINITE,1,10,2.338972748816559e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.0062500000000000056,1.2499999999999998,1,FINITE,0,1,FULL_FINITE,1,10,3.011459881463452e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.0062500000000000056,1.5999999999999999,1,FINITE,0,1,FULL_FINITE,1,10,4.455390012481075e-08,,,1,,,1,1,4.440892098500626e-16,,
0.0,0.0062500000000000056,1.95,1,FINITE,0,1,FULL_FINITE,1,10,6.868652846492296e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.0062500000000000056,2.3,1,FINITE,0,1,FULL_FINITE,1,11,5.166594263528168e-09,,,1,,,1,1,2.220446049250313e-16,,
0.0,0.0062500000000000056,2.65,1,FINITE,0,1,FULL_FINITE,1,11,5.117119172837192e-09,,,1,,,1,1,2.220446049250313e-16,,
0.0,0.0062500000000000056,3.0,1,FINITE,0,1,FULL_FINITE,1,10,9.422689473126411e-08,,,1,,,1,1,1.1102230246251565e-16,,
