r_a,L_star,B_hh_min,B_hh_max,R2_crosses_1,K,A_hh,R1
0.03,0.9,0.0246,4.6603,1,16.951,8.8131,-8.137
0.0325,0.9,0.1848,4.6184,1,15.808,9.1104,-6.698
0.035,0.9,0.3754,4.5929,1,14.787,9.284,-5.503
0.0375,0.897,0.5792,4.5681,1,13.84,9.1631,-4.677
0.04,0.893,1.0306,4.5497,0,12.955,9.0552,-3.9
0.0425,0.888,1.2203,4.5259,0,12.14,8.9653,-3.175
0.045,0.882,1.4012,4.5024,0,11.39,8.8777,-2.512
0.0475,0.875,1.5621,4.4841,0,10.701,8.7919,-1.909
0.05,0.872,1.7043,4.464,0,10.11,8.7329,-1.378
0.0525,0.87,1.8313,4.4313,0,9.587,8.6964,-0.891
0.0575,0.868,2.0239,4.4028,0,8.676,,nan
0.06,0.867,2.096,4.359,0,8.274,8.642,0.368
