case_id,kind,state_count,shape_x,shape_y,operator_nnz,operator_data_finite,diag_min,diag_max,offdiag_min,offdiag_max,neg_offdiag_count,row_sum_min,row_sum_max,row_sum_maxabs,col_sum_min,col_sum_max,leaky_state_count,leaky_state_threshold,transpose_nnz,transpose_row_nnz_min,transpose_row_nnz_max,transpose_col_nnz_min,transpose_col_nnz_max,accepted_row_index,accepted_b_index,accepted_a_index,accepted_z_index,contaminated_nnz,structural_rank_operator,structural_rank_transpose,structural_rank_contaminated,lu_near_zero_pivots_transpose,lu_near_zero_pivots_contaminated,solve_exception,solve_warning,raw_finite_fraction,raw_min,raw_max,normalization_factor,residual_inf,kfe_status,kfe_normalization_factor,kfe_residual_inf,kfe_density_min,kfe_density_max,kfe_density_mass
d0,fixed,800,800,800,3114,True,-4.188299908101461,-0.3333333333333333,0.0003605709677664429,2.3188617745476434,0,-0.39010551826750045,2.7755575615628914e-16,0.39010551826750045,-3.854966574768128,1.4170277235895965,30,-1e-12,3114,2,6,2,4,295,15,14,0,3111,800,800,800,1,1,,,1.0,-6.776263578034403e-21,0.013212861932844645,0.10183140857714809,4.7704895589362195e-18,SUCCESS,0.10183140857714809,4.7704895589362195e-18,-6.654394427727733e-20,0.12975232413518567,1.0000000000000002
d1,fixed,800,800,800,3115,True,-4.192132915053285,-0.3333333333333333,0.00034842409929093936,2.3200190759417803,0,-0.3916704591958166,4.440892098500626e-16,0.3916704591958166,-3.858799581719951,1.4165963275749656,29,-1e-12,3115,2,6,2,4,295,15,14,0,3112,800,800,800,1,1,,,1.0,-0.0,0.013536145988954848,0.10391331314760159,3.903127820947816e-18,SUCCESS,0.10391331314760159,3.903127820947816e-18,-0.0,0.1302638283674749,0.9999999999999999
d2,fixed,800,800,800,3114,True,-4.189928396547735,-0.3333333333333333,0.002150662292964567,2.3193641129713933,0,-0.39056561553840924,2.7755575615628914e-16,0.39056561553840924,-3.8565950632144017,1.4168239521276786,30,-1e-12,3114,2,6,2,4,295,15,14,0,3111,800,800,800,1,1,,Matrix is exactly singular,0.0,nan,nan,nan,nan,FAILED,,,,,
d3,fixed,800,800,800,3114,True,-4.186677981762518,-0.3333333333333333,8.717956391033622e-05,2.318361375662694,0,-0.3896492625665489,4.440892098500626e-16,0.3896492625665489,-3.8533446484291844,1.417231244175423,30,-1e-12,3114,2,6,2,4,295,15,14,0,3111,800,800,800,1,1,,,1.0,-0.0,0.013094465652101409,0.10103980530859552,2.3852447794681098e-18,SUCCESS,0.10103980530859552,2.3852447794681098e-18,-0.0,0.12959709900576633,1.0000000000000002
scan_0,scan,800,800,800,3115,True,-4.192132915053285,-0.3333333333333333,0.00034842409929093936,2.3200190759417803,0,-0.3916704591958166,4.440892098500626e-16,0.3916704591958166,-3.858799581719951,1.4165963275749656,29,-1e-12,3115,2,6,2,4,295,15,14,0,3112,800,800,800,1,1,,,1.0,-0.0,0.013536145988954848,0.10391331314760159,3.903127820947816e-18,SUCCESS,0.10391331314760159,3.903127820947816e-18,-0.0,0.1302638283674749,0.9999999999999999
scan_1,scan,800,800,800,3115,True,-4.191857273642391,-0.3333333333333333,8.230474915622566e-05,2.3199371695764,0,-0.3915328787157725,2.7755575615628914e-16,0.3915328787157725,-3.8585239403090577,1.4166247931671947,29,-1e-12,3115,2,6,2,4,295,15,14,0,3112,800,800,800,1,1,,,1.0,-0.0,0.013507824293424276,0.10375530693205152,3.848917712323541e-18,SUCCESS,0.10375530693205152,3.848917712323541e-18,-0.0,0.13018923747457503,1.0000000000000002
scan_2,scan,800,800,800,3114,True,-4.191581654137964,-0.3333333333333333,0.0010467044513634083,2.319855273505182,0,-0.39139514604549436,4.440892098500626e-16,0.39139514604549436,-3.85824832080463,1.416653255187962,30,-1e-12,3114,2,6,2,4,295,15,14,0,3111,800,800,800,1,1,,,1.0,-0.0,0.013479399489890406,0.10359552280677885,5.976710797940646e-18,SUCCESS,0.10359552280677885,5.976710797940646e-18,-0.0,0.1301156567840437,0.9999999999999999
scan_3,scan,800,800,800,3114,True,-4.19130605653052,-0.3333333333333333,0.001323594975546508,2.319773387723661,0,-0.39125726227571717,2.7755575615628914e-16,0.39125726227571717,-3.8579727231971863,1.4166817136336853,30,-1e-12,3114,2,6,2,4,295,15,14,0,3111,800,800,800,1,1,,,1.0,-0.0,0.013450973299016766,0.10343527290463254,1.0044404547394662e-17,SUCCESS,0.10343527290463254,1.0044404547394662e-17,-0.0,0.13004242093911794,0.9999999999999999
scan_4,scan,800,800,800,3114,True,-4.1910304808069,-0.3333333333333333,0.0016003632141797309,2.3196915122255537,0,-0.3911192285068074,2.220446049250313e-16,0.3911192285068074,-3.857697147473566,1.4167101685000596,30,-1e-12,3114,2,6,2,4,295,15,14,0,3111,800,800,800,1,1,,,1.0,-6.776263578034403e-21,0.013425608593923376,0.10327561234956643,5.700498647796939e-18,SUCCESS,0.10327561234956643,5.700498647796939e-18,-6.561339530089797e-20,0.129997859983444,1.0000000000000002
scan_5,scan,800,800,800,3114,True,-4.19075492695732,-0.3333333333333333,0.0018770091498796174,2.319609647006247,0,-0.39098104583723997,4.440892098500626e-16,0.39098104583723997,-3.8574215936239864,1.4167386197851892,30,-1e-12,3114,2,6,2,4,295,15,14,0,3111,800,800,800,1,1,,,1.0,-0.0,0.013402540735129672,0.1031165377821021,2.087089182034596e-18,SUCCESS,0.1031165377821021,2.087089182034596e-18,-0.0,0.1299746968177974,1.0000000000000002
