case_id,kind,wbar,r_a,hjb_converged,hjb_iterations,hjb_statistic,kfe_status,kfe_failure_message
d0,fixed,1.0,0.03,True,11,1.6735434371639712e-08,SUCCESS,
d1,fixed,0.9977278388290097,0.0299127630152404,True,11,1.6616809261904564e-08,SUCCESS,
d2,fixed,0.998807521160338,0.029964194758276677,True,11,1.6720491657906678e-08,FAILED,faithful contaminated-row solve is non-finite
d3,fixed,1.0011941548981047,0.03003565330704072,True,11,1.674222005476622e-08,SUCCESS,
scan_0,scan,0.9977278388290097,0.0299127630152404,True,11,1.6616809261904564e-08,SUCCESS,
scan_1,scan,0.9978627991204257,0.029919191983119937,True,11,1.6630288257601933e-08,SUCCESS,
scan_2,scan,0.9979977594118419,0.02992562095099947,True,11,1.6644257527786976e-08,SUCCESS,
scan_3,scan,0.9981327197032578,0.029932049918879003,True,11,1.6658191270835232e-08,SUCCESS,
scan_4,scan,0.9982676799946739,0.02993847888675854,True,11,1.667152815798545e-08,SUCCESS,
scan_5,scan,0.9984026402860899,0.029944907854638072,True,11,1.6684197134964052e-08,SUCCESS,
scan_6,scan,0.9985376005775058,0.029951336822517608,True,11,1.66964895242927e-08,SUCCESS,
scan_7,scan,0.998672560868922,0.029957765790397144,True,11,1.6708852967894927e-08,SUCCESS,
scan_8,scan,0.998807521160338,0.029964194758276677,True,11,1.6720491657906678e-08,FAILED,faithful contaminated-row solve is non-finite
