case_id,kind,edge_orientation,positive_edges,scc_count,scc_sizes_sorted,closed_component_count,closed_component_sizes,source_component_count,source_component_sizes,any_closed_class_leaky,all_closed_classes_conservative,closed_class_leakage_summary,accepted_row_in_closed_component,accepted_row_scc_size
d0,fixed,"row -> col (row=current/source state, col=destination state; Q V = backward/HJB, Q.T g = forward/KFE)",2314,46,"[546, 40, 38, 34, 32, 30, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,"[546, 40]",3,"[40, 2, 2]",True,False,40:0:True;546:30:False,True,546
d1,fixed,"row -> col (row=current/source state, col=destination state; Q V = backward/HJB, Q.T g = forward/KFE)",2315,46,"[546, 40, 38, 34, 32, 30, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,"[546, 40]",3,"[40, 2, 2]",True,False,40:0:True;546:29:False,True,546
d2,fixed,"row -> col (row=current/source state, col=destination state; Q V = backward/HJB, Q.T g = forward/KFE)",2314,46,"[546, 40, 38, 34, 32, 30, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,"[546, 40]",3,"[40, 2, 2]",True,False,40:0:True;546:30:False,True,546
d3,fixed,"row -> col (row=current/source state, col=destination state; Q V = backward/HJB, Q.T g = forward/KFE)",2314,46,"[546, 40, 38, 34, 32, 30, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,"[546, 40]",3,"[40, 2, 2]",True,False,40:0:True;546:30:False,True,546
scan_0,scan,"row -> col (row=current/source state, col=destination state; Q V = backward/HJB, Q.T g = forward/KFE)",2315,46,"[546, 40, 38, 34, 32, 30, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,"[546, 40]",3,"[40, 2, 2]",True,False,40:0:True;546:29:False,True,546
scan_1,scan,"row -> col (row=current/source state, col=destination state; Q V = backward/HJB, Q.T g = forward/KFE)",2315,46,"[546, 40, 38, 34, 32, 30, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,"[546, 40]",3,"[40, 2, 2]",True,False,40:0:True;546:29:False,True,546
scan_2,scan,"row -> col (row=current/source state, col=destination state; Q V = backward/HJB, Q.T g = forward/KFE)",2314,46,"[546, 40, 38, 34, 32, 30, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,"[546, 40]",3,"[40, 2, 2]",True,False,40:0:True;546:30:False,True,546
scan_3,scan,"row -> col (row=current/source state, col=destination state; Q V = backward/HJB, Q.T g = forward/KFE)",2314,46,"[546, 40, 38, 34, 32, 30, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,"[546, 40]",3,"[40, 2, 2]",True,False,40:0:True;546:30:False,True,546
scan_4,scan,"row -> col (row=current/source state, col=destination state; Q V = backward/HJB, Q.T g = forward/KFE)",2314,46,"[546, 40, 38, 34, 32, 30, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,"[546, 40]",3,"[40, 2, 2]",True,False,40:0:True;546:30:False,True,546
scan_5,scan,"row -> col (row=current/source state, col=destination state; Q V = backward/HJB, Q.T g = forward/KFE)",2314,46,"[546, 40, 38, 34, 32, 30, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,"[546, 40]",3,"[40, 2, 2]",True,False,40:0:True;546:30:False,True,546
scan_6,scan,"row -> col (row=current/source state, col=destination state; Q V = backward/HJB, Q.T g = forward/KFE)",2314,46,"[546, 40, 38, 34, 32, 30, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,"[546, 40]",3,"[40, 2, 2]",True,False,40:0:True;546:30:False,True,546
scan_7,scan,"row -> col (row=current/source state, col=destination state; Q V = backward/HJB, Q.T g = forward/KFE)",2314,46,"[546, 40, 38, 34, 32, 30, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,"[546, 40]",3,"[40, 2, 2]",True,False,40:0:True;546:30:False,True,546
