variant,row_type,boundary,direction,requested_outward_max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,requested_at_max,quantiles_q50_q90_q95_q99,offending_b_index,offending_a_index,offending_z_index,offending_b,offending_a,offending_z,offending_requested_outward_rate,,
V0_BASE,summary,lower_b,b_backward,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,,,
V0_BASE,summary,upper_b,b_forward,3.537477040e-01,3,7.500000000e-02,"(19, 19, 1)","(5.0, 10.0, 1.3)",3.537477040e-01,0.27186872359611547/0.33737190793689/0.34555980597948677/0.35211012441356426,,,,,,,,,
V0_BASE,offending,upper_b,b_forward,1.157606987e-01,,,,,,,19,17,1,5.000000000e+00,8.947368421e+00,1.300000000e+00,1.157606987e-01,,
V0_BASE,offending,upper_b,b_forward,2.718687236e-01,,,,,,,19,18,1,5.000000000e+00,9.473684211e+00,1.300000000e+00,2.718687236e-01,,
V0_BASE,offending,upper_b,b_forward,3.537477040e-01,,,,,,,19,19,1,5.000000000e+00,1.000000000e+01,1.300000000e+00,3.537477040e-01,,
V0_BASE,summary,lower_a,a_backward,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,,,
V0_BASE,summary,upper_a,a_forward,2.640718827e-01,28,7.000000000e-01,"(14, 19, 1)","(3.1578947368421053, 10.0, 1.3)",2.640718827e-01,0.20265880202205963/0.25652049957419243/0.2615557792231614/0.26389746757596977,,,,,,,,,
V0_BASE,offending,upper_a,a_forward,3.175106194e-03,,,,,,,5,19,1,-1.578947368e-01,1.000000000e+01,1.300000000e+00,3.175106194e-03,,
V0_BASE,offending,upper_a,a_forward,1.034225218e-01,,,,,,,6,19,1,2.105263158e-01,1.000000000e+01,1.300000000e+00,1.034225218e-01,,
V0_BASE,offending,upper_a,a_forward,2.940147623e-02,,,,,,,7,19,0,5.789473684e-01,1.000000000e+01,8.000000000e-01,2.940147623e-02,,
V0_BASE,offending,upper_a,a_forward,1.460640158e-01,,,,,,,7,19,1,5.789473684e-01,1.000000000e+01,1.300000000e+00,1.460640158e-01,,
V0_BASE,offending,upper_a,a_forward,9.009153816e-02,,,,,,,8,19,0,9.473684211e-01,1.000000000e+01,8.000000000e-01,9.009153816e-02,,
V0_BASE,offending,upper_a,a_forward,1.763017040e-01,,,,,,,8,19,1,9.473684211e-01,1.000000000e+01,1.300000000e+00,1.763017040e-01,,
V0_BASE,offending,upper_a,a_forward,1.367105809e-01,,,,,,,9,19,0,1.315789474e+00,1.000000000e+01,8.000000000e-01,1.367105809e-01,,
V0_BASE,offending,upper_a,a_forward,2.031466324e-01,,,,,,,9,19,1,1.315789474e+00,1.000000000e+01,1.300000000e+00,2.031466324e-01,,
V0_BASE,offending,upper_a,a_forward,1.732706282e-01,,,,,,,10,19,0,1.684210526e+00,1.000000000e+01,8.000000000e-01,1.732706282e-01,,
V0_BASE,offending,upper_a,a_forward,2.253730726e-01,,,,,,,10,19,1,1.684210526e+00,1.000000000e+01,1.300000000e+00,2.253730726e-01,,
V0_BASE,offending,upper_a,a_forward,2.021709716e-01,,,,,,,11,19,0,2.052631579e+00,1.000000000e+01,8.000000000e-01,2.021709716e-01,,
V0_BASE,offending,upper_a,a_forward,2.429588552e-01,,,,,,,11,19,1,2.052631579e+00,1.000000000e+01,1.300000000e+00,2.429588552e-01,,
V0_BASE,offending,upper_a,a_forward,2.248302109e-01,,,,,,,12,19,0,2.421052632e+00,1.000000000e+01,8.000000000e-01,2.248302109e-01,,
V0_BASE,offending,upper_a,a_forward,2.558509867e-01,,,,,,,12,19,1,2.421052632e+00,1.000000000e+01,1.300000000e+00,2.558509867e-01,,
V0_BASE,offending,upper_a,a_forward,2.419158557e-01,,,,,,,13,19,0,2.789473684e+00,1.000000000e+01,8.000000000e-01,2.419158557e-01,,
V0_BASE,offending,upper_a,a_forward,2.634259008e-01,,,,,,,13,19,1,2.789473684e+00,1.000000000e+01,1.300000000e+00,2.634259008e-01,,
V0_BASE,offending,upper_a,a_forward,2.533455404e-01,,,,,,,14,19,0,3.157894737e+00,1.000000000e+01,8.000000000e-01,2.533455404e-01,,
V0_BASE,offending,upper_a,a_forward,2.640718827e-01,,,,,,,14,19,1,3.157894737e+00,1.000000000e+01,1.300000000e+00,2.640718827e-01,,
V0_BASE,offending,upper_a,a_forward,2.580826964e-01,,,,,,,15,19,0,3.526315789e+00,1.000000000e+01,8.000000000e-01,2.580826964e-01,,
V0_BASE,offending,upper_a,a_forward,2.546689128e-01,,,,,,,15,19,1,3.526315789e+00,1.000000000e+01,1.300000000e+00,2.546689128e-01,,
V0_BASE,offending,upper_a,a_forward,2.537143916e-01,,,,,,,16,19,0,3.894736842e+00,1.000000000e+01,8.000000000e-01,2.537143916e-01,,
V0_BASE,offending,upper_a,a_forward,2.305539903e-01,,,,,,,16,19,1,3.894736842e+00,1.000000000e+01,1.300000000e+00,2.305539903e-01,,
V0_BASE,offending,upper_a,a_forward,2.352871698e-01,,,,,,,17,19,0,4.263157895e+00,1.000000000e+01,8.000000000e-01,2.352871698e-01,,
V0_BASE,offending,upper_a,a_forward,1.867536785e-01,,,,,,,17,19,1,4.263157895e+00,1.000000000e+01,1.300000000e+00,1.867536785e-01,,
V0_BASE,offending,upper_a,a_forward,1.907037702e-01,,,,,,,18,19,0,4.631578947e+00,1.000000000e+01,8.000000000e-01,1.907037702e-01,,
V0_BASE,offending,upper_a,a_forward,1.206860239e-01,,,,,,,18,19,1,4.631578947e+00,1.000000000e+01,1.300000000e+00,1.206860239e-01,,
V0_BASE,offending,upper_a,a_forward,8.783338931e-02,,,,,,,19,19,0,5.000000000e+00,1.000000000e+01,8.000000000e-01,8.783338931e-02,,
V0_BASE,offending,upper_a,a_forward,3.635781425e-02,,,,,,,19,19,1,5.000000000e+00,1.000000000e+01,1.300000000e+00,3.635781425e-02,,
