comparison,field,max_abs_diff,rel_diff,strict_interior_max_abs_diff,strict_interior_rel_diff,label_mismatch_count,note
V0_vs_V1_A_WIDE,value,2.086521179e+00,3.052517264e-02,2.086521179e+00,3.162321076e-02,,
V0_vs_V1_A_WIDE,consumption,6.093302455e-02,5.148871798e-02,6.093302455e-02,5.148871798e-02,,
V0_vs_V1_A_WIDE,labor,2.503674485e-02,2.245661640e-02,2.503674485e-02,2.266000676e-02,,
V0_vs_V1_A_WIDE,transfer,2.793009929e-01,2.793009929e-01,2.793009929e-01,2.793009929e-01,,
V0_vs_V1_A_WIDE,mu_a,2.891502286e-01,2.891502286e-01,2.891502286e-01,2.891502286e-01,,
V0_vs_V1_A_WIDE,mu_b,2.162700238e-01,2.162700238e-01,2.162700238e-01,2.162700238e-01,,
V0_vs_V1_A_WIDE,liquid_label,,,,,29,
V0_vs_V1_A_WIDE,transfer_label,,,,,205,
V0_vs_V2_B_WIDE,value,2.214231616e-02,3.239353764e-04,4.686210825e-03,7.102397718e-05,,
V0_vs_V2_B_WIDE,consumption,1.586851168e-02,1.340897369e-02,8.510379852e-03,7.191314585e-03,,
V0_vs_V2_B_WIDE,labor,6.093765791e-03,5.465780860e-03,3.413788318e-03,3.089717407e-03,,
V0_vs_V2_B_WIDE,transfer,2.624000224e-02,2.624000224e-02,2.624000224e-02,2.624000224e-02,,
V0_vs_V2_B_WIDE,mu_a,2.624000224e-02,2.624000224e-02,2.624000224e-02,2.624000224e-02,,
V0_vs_V2_B_WIDE,mu_b,2.782559232e-02,2.782559232e-02,2.782559232e-02,2.782559232e-02,,
V0_vs_V2_B_WIDE,liquid_label,,,,,0,
V0_vs_V2_B_WIDE,transfer_label,,,,,0,
V0_vs_V3_AB_MID,value,1.283030761e+00,1.877035129e-02,1.283030761e+00,1.944555012e-02,,
V0_vs_V3_AB_MID,consumption,4.031980010e-02,3.407043770e-02,4.031980010e-02,3.407043770e-02,,
V0_vs_V3_AB_MID,labor,1.622816194e-02,1.455579028e-02,1.622816194e-02,1.468762259e-02,,
V0_vs_V3_AB_MID,transfer,2.208290582e-01,2.208290582e-01,2.208290582e-01,2.208290582e-01,,
V0_vs_V3_AB_MID,mu_a,2.304741248e-01,2.304741248e-01,2.304741248e-01,2.304741248e-01,,
V0_vs_V3_AB_MID,mu_b,1.623176365e-01,1.623176365e-01,1.623176365e-01,1.623176365e-01,,
V0_vs_V3_AB_MID,liquid_label,,,,,22,
V0_vs_V3_AB_MID,transfer_label,,,,,143,
V0_vs_V4_AB_WIDE,value,2.070846957e+00,3.029586353e-02,2.070846957e+00,3.138565303e-02,,
V0_vs_V4_AB_WIDE,consumption,6.058788379e-02,5.119707228e-02,6.058788379e-02,5.119707228e-02,,
V0_vs_V4_AB_WIDE,labor,2.488476118e-02,2.232029521e-02,2.488476118e-02,2.252245091e-02,,
V0_vs_V4_AB_WIDE,transfer,2.779422951e-01,2.779422951e-01,2.779422951e-01,2.779422951e-01,,
V0_vs_V4_AB_WIDE,mu_a,2.877915308e-01,2.877915308e-01,2.877915308e-01,2.877915308e-01,,
V0_vs_V4_AB_WIDE,mu_b,2.130800312e-01,2.130800312e-01,2.130800312e-01,2.130800312e-01,,
V0_vs_V4_AB_WIDE,liquid_label,,,,,29,
V0_vs_V4_AB_WIDE,transfer_label,,,,,204,
V0_vs_V5_BASE_FINE,value,3.762426313e-01,5.504315697e-03,3.607314925e-01,5.467228480e-03,,
V0_vs_V5_BASE_FINE,consumption,4.107277970e-02,3.470670931e-02,4.107277970e-02,3.470670931e-02,,
V0_vs_V5_BASE_FINE,labor,1.782830442e-02,1.599103222e-02,1.782830442e-02,1.613586356e-02,,
V0_vs_V5_BASE_FINE,transfer,9.381448316e-02,9.381448316e-02,9.381448316e-02,9.381448316e-02,,
V0_vs_V5_BASE_FINE,mu_a,9.381448316e-02,9.381448316e-02,9.381448316e-02,9.381448316e-02,,
V0_vs_V5_BASE_FINE,mu_b,9.088041728e-02,9.088041728e-02,9.088041728e-02,9.088041728e-02,,
V0_vs_V5_BASE_FINE,liquid_label,,,,,21,
V0_vs_V5_BASE_FINE,transfer_label,,,,,41,
