item,kind,value1,value2,value3,count1,count2,share1,share2,argmax_a_z,note,extra
G0_BASE,REACHED,1.303281015e-01,3.537477040e-01,3,3,7.500000000e-02,7.500000000e-02,"(10.0, 1.3)",,,
G1_B_WIDE_1,REACHED,3.759131181e-03,1.020335606e-02,1,1,2.500000000e-02,2.500000000e-02,"(10.0, 1.3)",,,
G2_B_WIDE_2,REACHED,0.000000000e+00,0.000000000e+00,0,0,0.000000000e+00,0.000000000e+00,"(0.0, 0.8)",,,
G3_B_WIDE_3,REACHED,0.000000000e+00,0.000000000e+00,0,0,0.000000000e+00,0.000000000e+00,"(0.0, 0.8)",,,
adjacent_raw_ratio,RATIO,3.466974000e+01,inf,,,,,,,,
adjacent_requested_ratio,RATIO,3.466974000e+01,inf,,,,,,,,
vs_G0_raw_ratio,RATIO,2.884400000e-02,0.000000000e+00,0.000000000e+00,,,,,,,
vs_G0_requested_ratio,RATIO,2.884400000e-02,0.000000000e+00,0.000000000e+00,,,,,,,
strictly_decreasing_raw,FLAG,False,,,,,,,,,
strictly_decreasing_requested,FLAG,False,,,,,,,,,
attenuated_to_zero_at,FLAG,G2_B_WIDE_2,,,,,,,,,
