variant,boundary,direction,kind,max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,value_at_argmax,quantiles_q50_q90_q95_q99,b_index,a_index,z_index,b,a,z,rate
G0_BASE,upper_b,b_forward,raw,1.303281015e-01,3,7.500000000e-02,"(19, 19, 1)","(5.0, 10.0, 1.3)",1.303281015e-01,0.10016216132488465/0.12429491345043316/0.1273115074661267/0.12972478267868157,,,,,,,
G0_BASE,upper_b,b_forward,requested,3.537477040e-01,3,7.500000000e-02,"(19, 19, 1)","(5.0, 10.0, 1.3)",3.537477040e-01,0.27186872359611547/0.33737190793689/0.34555980597948677/0.35211012441356426,,,,,,,
G0_BASE,upper_b,b_forward,raw_offending,4.264867848e-02,,,,,,,19,17,1,5.000000000e+00,8.947368421e+00,1.300000000e+00,4.264867848e-02
G0_BASE,upper_b,b_forward,raw_offending,1.001621613e-01,,,,,,,19,18,1,5.000000000e+00,9.473684211e+00,1.300000000e+00,1.001621613e-01
G0_BASE,upper_b,b_forward,raw_offending,1.303281015e-01,,,,,,,19,19,1,5.000000000e+00,1.000000000e+01,1.300000000e+00,1.303281015e-01
G0_BASE,upper_b,b_forward,requested_offending,1.157606987e-01,,,,,,,19,17,1,5.000000000e+00,8.947368421e+00,1.300000000e+00,1.157606987e-01
G0_BASE,upper_b,b_forward,requested_offending,2.718687236e-01,,,,,,,19,18,1,5.000000000e+00,9.473684211e+00,1.300000000e+00,2.718687236e-01
G0_BASE,upper_b,b_forward,requested_offending,3.537477040e-01,,,,,,,19,19,1,5.000000000e+00,1.000000000e+01,1.300000000e+00,3.537477040e-01
G0_BASE,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G0_BASE,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G0_BASE,upper_b,b_forward,raw_offending,4.264867848e-02,,,,,,,19,17,1,5.000000000e+00,8.947368421e+00,1.300000000e+00,4.264867848e-02
G0_BASE,upper_b,b_forward,raw_offending,1.001621613e-01,,,,,,,19,18,1,5.000000000e+00,9.473684211e+00,1.300000000e+00,1.001621613e-01
G0_BASE,upper_b,b_forward,raw_offending,1.303281015e-01,,,,,,,19,19,1,5.000000000e+00,1.000000000e+01,1.300000000e+00,1.303281015e-01
G0_BASE,upper_b,b_forward,requested_offending,1.157606987e-01,,,,,,,19,17,1,5.000000000e+00,8.947368421e+00,1.300000000e+00,1.157606987e-01
G0_BASE,upper_b,b_forward,requested_offending,2.718687236e-01,,,,,,,19,18,1,5.000000000e+00,9.473684211e+00,1.300000000e+00,2.718687236e-01
G0_BASE,upper_b,b_forward,requested_offending,3.537477040e-01,,,,,,,19,19,1,5.000000000e+00,1.000000000e+01,1.300000000e+00,3.537477040e-01
G1_B_WIDE_1,upper_b,b_forward,raw,3.759131181e-03,1,2.500000000e-02,"(39, 19, 1)","(12.368421052631579, 10.0, 1.3)",3.759131181e-03,0.003759131180849362/0.003759131180849362/0.003759131180849362/0.003759131180849362,,,,,,,
G1_B_WIDE_1,upper_b,b_forward,requested,1.020335606e-02,1,2.500000000e-02,"(39, 19, 1)","(12.368421052631579, 10.0, 1.3)",1.020335606e-02,0.010203356062305411/0.010203356062305411/0.010203356062305411/0.010203356062305411,,,,,,,
G1_B_WIDE_1,upper_b,b_forward,raw_offending,3.759131181e-03,,,,,,,39,19,1,1.236842105e+01,1.000000000e+01,1.300000000e+00,3.759131181e-03
G1_B_WIDE_1,upper_b,b_forward,requested_offending,1.020335606e-02,,,,,,,39,19,1,1.236842105e+01,1.000000000e+01,1.300000000e+00,1.020335606e-02
G1_B_WIDE_1,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G1_B_WIDE_1,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G1_B_WIDE_1,upper_b,b_forward,raw_offending,3.759131181e-03,,,,,,,39,19,1,1.236842105e+01,1.000000000e+01,1.300000000e+00,3.759131181e-03
G1_B_WIDE_1,upper_b,b_forward,requested_offending,1.020335606e-02,,,,,,,39,19,1,1.236842105e+01,1.000000000e+01,1.300000000e+00,1.020335606e-02
G2_B_WIDE_2,upper_b,b_forward,raw,0.000000000e+00,0,0.000000000e+00,"(59, 0, 0)","(19.736842105263158, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G2_B_WIDE_2,upper_b,b_forward,requested,0.000000000e+00,0,0.000000000e+00,"(59, 0, 0)","(19.736842105263158, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G2_B_WIDE_2,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G2_B_WIDE_2,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G3_B_WIDE_3,upper_b,b_forward,raw,0.000000000e+00,0,0.000000000e+00,"(79, 0, 0)","(27.105263157894736, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G3_B_WIDE_3,upper_b,b_forward,requested,0.000000000e+00,0,0.000000000e+00,"(79, 0, 0)","(27.105263157894736, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G3_B_WIDE_3,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G3_B_WIDE_3,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G4_BASE_B_FINE,upper_b,b_forward,raw,4.507983284e-03,1,2.500000000e-02,"(38, 19, 1)","(5.0, 10.0, 1.3)",4.507983284e-03,0.0045079832842120915/0.0045079832842120915/0.0045079832842120915/0.0045079832842120915,,,,,,,
G4_BASE_B_FINE,upper_b,b_forward,requested,2.447190926e-02,1,2.500000000e-02,"(38, 19, 1)","(5.0, 10.0, 1.3)",2.447190926e-02,0.024471909257151366/0.024471909257151366/0.024471909257151366/0.024471909257151366,,,,,,,
G4_BASE_B_FINE,upper_b,b_forward,raw_offending,4.507983284e-03,,,,,,,38,19,1,5.000000000e+00,1.000000000e+01,1.300000000e+00,4.507983284e-03
G4_BASE_B_FINE,upper_b,b_forward,requested_offending,2.447190926e-02,,,,,,,38,19,1,5.000000000e+00,1.000000000e+01,1.300000000e+00,2.447190926e-02
G4_BASE_B_FINE,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G4_BASE_B_FINE,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G4_BASE_B_FINE,upper_b,b_forward,raw_offending,4.507983284e-03,,,,,,,38,19,1,5.000000000e+00,1.000000000e+01,1.300000000e+00,4.507983284e-03
G4_BASE_B_FINE,upper_b,b_forward,requested_offending,2.447190926e-02,,,,,,,38,19,1,5.000000000e+00,1.000000000e+01,1.300000000e+00,2.447190926e-02
G5_WIDE1_B_FINE,upper_b,b_forward,raw,0.000000000e+00,0,0.000000000e+00,"(78, 0, 0)","(12.368421052631579, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G5_WIDE1_B_FINE,upper_b,b_forward,requested,0.000000000e+00,0,0.000000000e+00,"(78, 0, 0)","(12.368421052631579, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G5_WIDE1_B_FINE,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G5_WIDE1_B_FINE,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
