comparison,field,max_abs_diff,rel_diff,mismatch_count,note
G0_vs_G4,value,2.629275168e-01,3.846549905e-03,,
G0_vs_G4,consumption,3.542058474e-02,2.993057561e-02,,
G0_vs_G4,labor,1.544211277e-02,1.385074637e-02,,
G0_vs_G4,transfer,7.375187750e-02,7.375187750e-02,,
G0_vs_G4,mu_a,7.375187750e-02,7.375187750e-02,,
G0_vs_G4,mu_b,1.029200482e-01,1.029200482e-01,,
G0_vs_G4,liquid_label,,,11,
G0_vs_G4,transfer_label,,,29,
G0_vs_G4,raw_mu_b_upper_shared_nodes,1.258201182e-01,1.258201182e-01,,
G1_vs_G5,value,2.631013593e-01,3.849182813e-03,,
G1_vs_G5,consumption,3.541534331e-02,2.626632825e-02,,
G1_vs_G5,labor,1.543976301e-02,1.384864392e-02,,
G1_vs_G5,transfer,7.377075838e-02,7.377075838e-02,,
G1_vs_G5,mu_a,7.377075838e-02,7.377075838e-02,,
G1_vs_G5,mu_b,1.029276453e-01,1.029276453e-01,,
G1_vs_G5,liquid_label,,,26,
G1_vs_G5,transfer_label,,,43,
G1_vs_G5,raw_mu_b_upper_shared_nodes,3.759131181e-03,3.759131181e-03,,
