variant,boundary,direction,kind,max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,value_at_argmax,quantiles_q50_q90_q95_q99,b_index,a_index,z_index,b,a,z,rate
H0_A20_BASE,upper_a,a_forward,raw,1.628805713e-01,108,9.000000000e-01,"(22, 19, 0)","(6.105263157894736, 10.0, 0.8)",1.628805713e-01,0.12182043836802761/0.16087173036536837/0.16220356008790573/0.1626835931132292,,,,,,,
H0_A20_BASE,upper_a,a_forward,requested,3.094730854e-01,108,9.000000000e-01,"(22, 19, 0)","(6.105263157894736, 10.0, 0.8)",3.094730854e-01,0.23145883289925248/0.3056562876941999/0.3081867641670209/0.30909882691513546,,,,,,,
H0_A20_BASE,lower_a,a_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
H0_A20_BASE,lower_a,a_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
H0_A20_BASE,upper_a,a_forward,raw_offending,1.758189188e-03,,,,,,,5,19,1,-1.578947368e-01,1.000000000e+01,1.300000000e+00,1.758189188e-03
H0_A20_BASE,upper_a,a_forward,raw_offending,5.458868695e-02,,,,,,,6,19,1,2.105263158e-01,1.000000000e+01,1.300000000e+00,5.458868695e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,1.558600899e-02,,,,,,,7,19,0,5.789473684e-01,1.000000000e+01,8.000000000e-01,1.558600899e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,7.709734529e-02,,,,,,,7,19,1,5.789473684e-01,1.000000000e+01,1.300000000e+00,7.709734529e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,4.760505371e-02,,,,,,,8,19,0,9.473684211e-01,1.000000000e+01,8.000000000e-01,4.760505371e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,9.317004762e-02,,,,,,,8,19,1,9.473684211e-01,1.000000000e+01,1.300000000e+00,9.317004762e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,7.226973068e-02,,,,,,,9,19,0,1.315789474e+00,1.000000000e+01,8.000000000e-01,7.226973068e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,1.075585329e-01,,,,,,,9,19,1,1.315789474e+00,1.000000000e+01,1.300000000e+00,1.075585329e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,9.172932859e-02,,,,,,,10,19,0,1.684210526e+00,1.000000000e+01,8.000000000e-01,9.172932859e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,1.197008620e-01,,,,,,,10,19,1,1.684210526e+00,1.000000000e+01,1.300000000e+00,1.197008620e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.073178739e-01,,,,,,,11,19,0,2.052631579e+00,1.000000000e+01,8.000000000e-01,1.073178739e-01
