variant,boundary,direction,kind,max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,value_at_argmax,quantiles_q50_q90_q95_q99
H0_A20_BASE,upper_b,b_forward,raw,0.000000000e+00,0,0.000000000e+00,"(59, 0, 0)","(19.736842105263158, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE
H0_A20_BASE,upper_b,b_forward,requested,0.000000000e+00,0,0.000000000e+00,"(59, 0, 0)","(19.736842105263158, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE
H0_A20_BASE,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE
H0_A20_BASE,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE
H1_A39_FINE,upper_b,b_forward,raw,9.994924395e-02,3,3.846153846e-02,"(59, 38, 1)","(19.736842105263158, 10.0, 1.3)",9.994924395e-02,0.0725897717791042/0.09447734951512224/0.09721329673212449/0.0994020545057263
H1_A39_FINE,upper_b,b_forward,requested,2.712908050e-01,3,3.846153846e-02,"(59, 38, 1)","(19.736842105263158, 10.0, 1.3)",2.712908050e-01,0.19702938054328278/0.2564385201124746/0.26386466255862356/0.26980557651554277
H1_A39_FINE,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE
H1_A39_FINE,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE
H2_A77_FINER,upper_b,b_forward,raw,1.442607389e-01,7,4.545454545e-02,"(59, 76, 1)","(19.736842105263158, 10.0, 1.3)",1.442607389e-01,0.08347878204576187/0.13545793879207554/0.13985933884761367/0.1433804588920442
H2_A77_FINER,upper_b,b_forward,requested,3.915648627e-01,7,4.545454545e-02,"(59, 76, 1)","(19.736842105263158, 10.0, 1.3)",3.915648627e-01,0.2265852655527822/0.36767154814991926/0.3796182054435228/0.38917553127840565
H2_A77_FINER,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE
H2_A77_FINER,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE
H3_A153_FINEST,upper_b,b_forward,raw,1.639241850e-01,13,4.248366013e-02,"(59, 152, 1)","(19.736842105263158, 10.0, 1.3)",1.639241850e-01,0.08977770396901286/0.1541049384436208/0.15937718834151746/0.16301478564611532
H3_A153_FINEST,upper_b,b_forward,requested,4.449370735e-01,13,4.248366013e-02,"(59, 152, 1)","(19.736842105263158, 10.0, 1.3)",4.449370735e-01,0.24368233934446346/0.41828483291839924/0.43259522549840446/0.4424687038965987
H3_A153_FINEST,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE
H3_A153_FINEST,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE
H4_B119_A39,upper_b,b_forward,raw,7.264301402e-02,3,3.846153846e-02,"(118, 38, 1)","(19.736842105263158, 10.0, 1.3)",7.264301402e-02,0.047265967407981835/0.06756760469839933/0.07010530935970151/0.07213547308874327
H4_B119_A39,upper_b,b_forward,requested,3.943477904e-01,3,3.846153846e-02,"(118, 38, 1)","(19.736842105263158, 10.0, 1.3)",3.943477904e-01,0.25658668021475867/0.3667955683627394/0.380571679381237/0.3915925681960351
H4_B119_A39,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE
H4_B119_A39,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE
H5_B119_A77,upper_b,b_forward,raw,1.215472365e-01,6,3.896103896e-02,"(118, 76, 1)","(19.736842105263158, 10.0, 1.3)",1.215472365e-01,0.07464460912112025/0.11462702189497076/0.11808712920091158/0.12085521504566424
H5_B119_A77,upper_b,b_forward,requested,6.598278553e-01,6,3.896103896e-02,"(118, 76, 1)","(19.736842105263158, 10.0, 1.3)",6.598278553e-01,0.4052135923717959/0.6222609760012702/0.6410444156620918/0.656071167390749
H5_B119_A77,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE
H5_B119_A77,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE
