comparison,pair_kind,field,max_abs_diff,rel_diff,mismatch_count,note,extra
H0_vs_H1,a,value,1.291885157e-01,1.890032859e-03,,,
H0_vs_H1,a,consumption,1.126053756e-02,7.616778175e-03,,,
H0_vs_H1,a,labor,4.094406421e-03,3.672464180e-03,,,
H0_vs_H1,a,transfer,1.176596825e-01,1.176596825e-01,,,
H0_vs_H1,a,mu_a,1.176596825e-01,1.176596825e-01,,,
H0_vs_H1,a,mu_b,9.771720096e-02,9.771720096e-02,,,
H0_vs_H1,a,liquid_label,,,,42,
H0_vs_H1,a,transfer_label,,,,115,
H1_vs_H2,a,value,1.009351486e-01,1.476685032e-03,,,
H1_vs_H2,a,consumption,3.983577227e-03,2.691225979e-03,,,
H1_vs_H2,a,labor,1.461955958e-03,1.307939968e-03,,,
H1_vs_H2,a,transfer,5.004953838e-02,4.865323445e-02,,,
H1_vs_H2,a,mu_a,5.004953838e-02,5.004953838e-02,,,
H1_vs_H2,a,mu_b,3.848750077e-02,3.848750077e-02,,,
H1_vs_H2,a,liquid_label,,,,33,
H1_vs_H2,a,transfer_label,,,,34,
H2_vs_H3,a,value,6.512370234e-02,9.527622224e-04,,,
H2_vs_H3,a,consumption,1.544780719e-03,1.041157485e-03,,,
H2_vs_H3,a,labor,6.281245312e-04,5.610757538e-04,,,
H2_vs_H3,a,transfer,2.428975920e-02,2.204306400e-02,,,
H2_vs_H3,a,mu_a,2.428975920e-02,2.428975920e-02,,,
H2_vs_H3,a,mu_b,1.913342681e-02,1.913342681e-02,,,
H2_vs_H3,a,liquid_label,,,,24,
H2_vs_H3,a,transfer_label,,,,70,
H1_vs_H4,b,value,2.616872622e-01,3.828494519e-03,,,
H1_vs_H4,b,consumption,4.037212028e-02,2.727460590e-02,,,
H1_vs_H4,b,labor,1.710905050e-02,1.530662456e-02,,,
H1_vs_H4,b,transfer,8.030967397e-02,7.806915954e-02,,,
H1_vs_H4,b,mu_a,8.030967397e-02,8.030967397e-02,,,
H1_vs_H4,b,mu_b,1.126759103e-01,1.126759103e-01,,,
H1_vs_H4,b,liquid_label,,,,83,
H1_vs_H4,b,transfer_label,,,,67,
H2_vs_H5,b,value,2.652539993e-01,3.880676017e-03,,,
H2_vs_H5,b,consumption,4.278259461e-02,2.883478416e-02,,,
H2_vs_H5,b,labor,1.788940128e-02,1.597980784e-02,,,
H2_vs_H5,b,transfer,8.255823638e-02,7.492196500e-02,,,
H2_vs_H5,b,mu_a,8.255823638e-02,8.255823638e-02,,,
H2_vs_H5,b,mu_b,1.165499346e-01,1.165499346e-01,,,
H2_vs_H5,b,liquid_label,,,,155,
H2_vs_H5,b,transfer_label,,,,171,
