variant,boundary,direction,kind,max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,value_at_argmax,quantiles_q50_q90_q95_q99,b_index,a_index,z_index,b,a,z,rate
I0_A77_B60,upper_a,a_forward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 76, 0)","(-2.0, 10.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
I0_A77_B60,upper_a,a_forward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 76, 0)","(-2.0, 10.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
I0_A77_B60,lower_a,a_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
I0_A77_B60,lower_a,a_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
I0_A77_B60,upper_b,b_forward,raw,1.442607389e-01,7,4.545454545e-02,"(59, 76, 1)","(19.736842105263158, 10.0, 1.3)",1.442607389e-01,0.08347878204576187/0.13545793879207554/0.13985933884761367/0.1433804588920442,,,,,,,
I0_A77_B60,upper_b,b_forward,requested,3.915648627e-01,7,4.545454545e-02,"(59, 76, 1)","(19.736842105263158, 10.0, 1.3)",3.915648627e-01,0.2265852655527822/0.36767154814991926/0.3796182054435228/0.38917553127840565,,,,,,,
I0_A77_B60,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
I0_A77_B60,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
I0_A77_B60,upper_b,b_forward,raw_offending,6.375612177e-03,,,,,,,59,70,1,1.973684211e+01,9.210526316e+00,1.300000000e+00,6.375612177e-03
I0_A77_B60,upper_b,b_forward,raw_offending,3.192264240e-02,,,,,,,59,71,1,1.973684211e+01,9.342105263e+00,1.300000000e+00,3.192264240e-02
I0_A77_B60,upper_b,b_forward,raw_offending,5.778715769e-02,,,,,,,59,72,1,1.973684211e+01,9.473684211e+00,1.300000000e+00,5.778715769e-02
