comparison,b_extent,coarse_a,fine_a,field,max_abs_diff,rel_diff,mismatch_count,note
I0_A77_B60_vs_I3_A153_B60,b60,a77,a153,value,6.512370234e-02,9.527622224e-04,,
I0_A77_B60_vs_I3_A153_B60,b60,a77,a153,consumption,1.544780719e-03,1.041157485e-03,,
I0_A77_B60_vs_I3_A153_B60,b60,a77,a153,labor,6.281245312e-04,5.610757538e-04,,
I0_A77_B60_vs_I3_A153_B60,b60,a77,a153,transfer,2.428975920e-02,2.204306400e-02,,
I0_A77_B60_vs_I3_A153_B60,b60,a77,a153,mu_a,2.428975920e-02,2.428975920e-02,,
I0_A77_B60_vs_I3_A153_B60,b60,a77,a153,mu_b,1.913342681e-02,1.913342681e-02,,
I0_A77_B60_vs_I3_A153_B60,b60,a77,a153,liquid_label,,,24,
I0_A77_B60_vs_I3_A153_B60,b60,a77,a153,transfer_label,,,70,
I1_A77_B80_vs_I4_A153_B80,b80,a77,a153,value,6.512370248e-02,9.527622243e-04,,
I1_A77_B80_vs_I4_A153_B80,b80,a77,a153,consumption,1.739539463e-03,1.085296838e-03,,
I1_A77_B80_vs_I4_A153_B80,b80,a77,a153,labor,6.281245320e-04,5.610757545e-04,,
I1_A77_B80_vs_I4_A153_B80,b80,a77,a153,transfer,2.428975959e-02,2.204306436e-02,,
I1_A77_B80_vs_I4_A153_B80,b80,a77,a153,mu_a,2.428975959e-02,2.428975959e-02,,
I1_A77_B80_vs_I4_A153_B80,b80,a77,a153,mu_b,1.913342697e-02,1.913342697e-02,,
I1_A77_B80_vs_I4_A153_B80,b80,a77,a153,liquid_label,,,25,
I1_A77_B80_vs_I4_A153_B80,b80,a77,a153,transfer_label,,,72,
I2_A77_B100_vs_I5_A153_B100,b100,a77,a153,value,6.512370248e-02,9.527622243e-04,,
I2_A77_B100_vs_I5_A153_B100,b100,a77,a153,consumption,1.739769162e-03,1.012579981e-03,,
I2_A77_B100_vs_I5_A153_B100,b100,a77,a153,labor,6.281245320e-04,5.610757545e-04,,
I2_A77_B100_vs_I5_A153_B100,b100,a77,a153,transfer,2.428975959e-02,2.204306436e-02,,
I2_A77_B100_vs_I5_A153_B100,b100,a77,a153,mu_a,2.428975959e-02,2.428975959e-02,,
I2_A77_B100_vs_I5_A153_B100,b100,a77,a153,mu_b,1.913342697e-02,1.913342697e-02,,
I2_A77_B100_vs_I5_A153_B100,b100,a77,a153,liquid_label,,,25,
I2_A77_B100_vs_I5_A153_B100,b100,a77,a153,transfer_label,,,72,
