a_res,b_extent,variant,kind,raw_max,requested_max,raw_count,requested_count,raw_share,requested_share,argmax_physical_a_z,upper_a_compatible,note,extra1,extra2
a77,b60,I0_A77_B60,ENTRY,1.442607389e-01,3.915648627e-01,7,7,4.545454545e-02,4.545454545e-02,"(10.0, 1.3)",True,,,
a77,b80,I1_A77_B80,ENTRY,1.034594583e-01,2.808185297e-01,5,5,3.246753247e-02,3.246753247e-02,"(10.0, 1.3)",True,,,
a77,b100,I2_A77_B100,ENTRY,7.093524248e-02,1.925385153e-01,4,4,2.597402597e-02,2.597402597e-02,"(10.0, 1.3)",True,,,
a77,RATIO,adjacent_raw,,,,,,,,,,,"[1.39437, 1.458506]",
a77,RATIO,adjacent_requested,,,,,,,,,,,"[1.39437, 1.458506]",
a77,RATIO,vs_b60_raw,,,,,,,,,,,"[1.0, 0.71717, 0.491716]",
a77,RATIO,vs_b60_requested,,,,,,,,,,,"[1.0, 0.71717, 0.491716]",
a77,FLAG,strictly_decreasing_raw,True,,,,,,,,,,,
a77,FLAG,strictly_decreasing_requested,True,,,,,,,,,,,
a77,FLAG,non_increasing_requested,True,,,,,,,,,,,
a77,FLAG,plateau,False,,,,,,,,,,,
a77,FLAG,monotonic_flag,strictly_decreasing,,,,,,,,,,,
a77,FLAG,first_requested_below_threshold,None,,,,,,,,,,,
a77,FLAG,upper_a_compatible_on_all_extents,True,,,,,,,,,,,
a153,b60,I3_A153_B60,ENTRY,1.639241850e-01,4.449370735e-01,13,13,4.248366013e-02,4.248366013e-02,"(10.0, 1.3)",True,,,
a153,b80,I4_A153_B80,ENTRY,1.236431349e-01,3.356027946e-01,10,10,3.267973856e-02,3.267973856e-02,"(10.0, 1.3)",True,,,
a153,b100,I5_A153_B100,ENTRY,9.143516741e-02,2.481811687e-01,8,8,2.614379085e-02,2.614379085e-02,"(10.0, 1.3)",True,,,
a153,RATIO,adjacent_raw,,,,,,,,,,,"[1.325785, 1.352249]",
a153,RATIO,adjacent_requested,,,,,,,,,,,"[1.325785, 1.352249]",
a153,RATIO,vs_b60_raw,,,,,,,,,,,"[1.0, 0.75427, 0.557789]",
a153,RATIO,vs_b60_requested,,,,,,,,,,,"[1.0, 0.75427, 0.557789]",
a153,FLAG,strictly_decreasing_raw,True,,,,,,,,,,,
a153,FLAG,strictly_decreasing_requested,True,,,,,,,,,,,
a153,FLAG,non_increasing_requested,True,,,,,,,,,,,
a153,FLAG,plateau,False,,,,,,,,,,,
a153,FLAG,monotonic_flag,strictly_decreasing,,,,,,,,,,,
a153,FLAG,first_requested_below_threshold,None,,,,,,,,,,,
a153,FLAG,upper_a_compatible_on_all_extents,True,,,,,,,,,,,
