item,b_extent,a_res,variant,requested_upper_a,requested_upper_b,marker,compatible
variant,b60,a77,I0_A77_B60,0.000000000e+00,3.915648627e-01,JOINT_HJB_BOUNDARY_POLICY_NOT_COMPATIBLE,
variant,b80,a77,I1_A77_B80,0.000000000e+00,2.808185297e-01,JOINT_HJB_BOUNDARY_POLICY_NOT_COMPATIBLE,
variant,b100,a77,I2_A77_B100,0.000000000e+00,1.925385153e-01,JOINT_HJB_BOUNDARY_POLICY_NOT_COMPATIBLE,
variant,b60,a153,I3_A153_B60,0.000000000e+00,4.449370735e-01,JOINT_HJB_BOUNDARY_POLICY_NOT_COMPATIBLE,
variant,b80,a153,I4_A153_B80,0.000000000e+00,3.356027946e-01,JOINT_HJB_BOUNDARY_POLICY_NOT_COMPATIBLE,
variant,b100,a153,I5_A153_B100,0.000000000e+00,2.481811687e-01,JOINT_HJB_BOUNDARY_POLICY_NOT_COMPATIBLE,
cross_a_extent,b60,a77,I0_A77_B60,,,,False
cross_a_extent,b60,a153,I3_A153_B60,,,,False
cross_a_extent,b60,BOTH,,,,CROSS_A_RESOLUTION_JOINT_NOT_COMPATIBLE_AT_B_EXTENT,False
cross_a_extent,b80,a77,I1_A77_B80,,,,False
cross_a_extent,b80,a153,I4_A153_B80,,,,False
cross_a_extent,b80,BOTH,,,,CROSS_A_RESOLUTION_JOINT_NOT_COMPATIBLE_AT_B_EXTENT,False
cross_a_extent,b100,a77,I2_A77_B100,,,,False
cross_a_extent,b100,a153,I5_A153_B100,,,,False
cross_a_extent,b100,BOTH,,,,CROSS_A_RESOLUTION_JOINT_NOT_COMPATIBLE_AT_B_EXTENT,False
