variant,boundary,direction,kind,max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,value_at_argmax,quantiles_q50_q90_q95_q99,b_index,a_index,z_index,b,a,z,rate
J0_A77_B120,upper_a,a_forward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 76, 0)","(-2.0, 10.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J0_A77_B120,upper_a,a_forward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 76, 0)","(-2.0, 10.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J0_A77_B120,lower_a,a_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J0_A77_B120,lower_a,a_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J0_A77_B120,upper_b,b_forward,raw,4.291614197e-02,3,1.948051948e-02,"(119, 76, 1)","(41.84210526315789, 10.0, 1.3)",4.291614197e-02,0.02841300609810249/0.04001551479806507/0.041465828385560385/0.04262607925555664,,,,,,,
J0_A77_B120,upper_b,b_forward,requested,1.164866711e-01,3,1.948051948e-02,"(119, 76, 1)","(41.84210526315789, 10.0, 1.3)",1.164866711e-01,0.07712101655199247/0.1086135401661766/0.1125501056179496/0.11569935797936802,,,,,,,
J0_A77_B120,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J0_A77_B120,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J0_A77_B120,upper_b,b_forward,raw_offending,7.108521285e-03,,,,,,,119,74,1,4.184210526e+01,9.736842105e+00,1.300000000e+00,7.108521285e-03
J0_A77_B120,upper_b,b_forward,raw_offending,2.841300610e-02,,,,,,,119,75,1,4.184210526e+01,9.868421053e+00,1.300000000e+00,2.841300610e-02
J0_A77_B120,upper_b,b_forward,raw_offending,4.291614197e-02,,,,,,,119,76,1,4.184210526e+01,1.000000000e+01,1.300000000e+00,4.291614197e-02
J0_A77_B120,upper_b,b_forward,requested_offending,1.929455777e-02,,,,,,,119,74,1,4.184210526e+01,9.736842105e+00,1.300000000e+00,1.929455777e-02
J0_A77_B120,upper_b,b_forward,requested_offending,7.712101655e-02,,,,,,,119,75,1,4.184210526e+01,9.868421053e+00,1.300000000e+00,7.712101655e-02
J0_A77_B120,upper_b,b_forward,requested_offending,1.164866711e-01,,,,,,,119,76,1,4.184210526e+01,1.000000000e+01,1.300000000e+00,1.164866711e-01
J1_A77_B140,upper_a,a_forward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 76, 0)","(-2.0, 10.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J1_A77_B140,upper_a,a_forward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 76, 0)","(-2.0, 10.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J1_A77_B140,lower_a,a_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J1_A77_B140,lower_a,a_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J1_A77_B140,upper_b,b_forward,raw,1.758505363e-02,2,1.298701299e-02,"(139, 76, 1)","(49.21052631578947, 10.0, 1.3)",1.758505363e-02,0.010351576081463643/0.016138358118541384/0.016861705873176102/0.017440384076883877,,,,,,,
J1_A77_B140,upper_b,b_forward,requested,4.773085985e-02,2,1.298701299e-02,"(139, 76, 1)","(49.21052631578947, 10.0, 1.3)",4.773085985e-02,0.028097135078258458/0.043804114893183754/0.04576748737004942/0.047338185351541946,,,,,,,
J1_A77_B140,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J1_A77_B140,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J1_A77_B140,upper_b,b_forward,raw_offending,3.118098535e-03,,,,,,,139,75,1,4.921052632e+01,9.868421053e+00,1.300000000e+00,3.118098535e-03
J1_A77_B140,upper_b,b_forward,raw_offending,1.758505363e-02,,,,,,,139,76,1,4.921052632e+01,1.000000000e+01,1.300000000e+00,1.758505363e-02
J1_A77_B140,upper_b,b_forward,requested_offending,8.463410310e-03,,,,,,,139,75,1,4.921052632e+01,9.868421053e+00,1.300000000e+00,8.463410310e-03
J1_A77_B140,upper_b,b_forward,requested_offending,4.773085985e-02,,,,,,,139,76,1,4.921052632e+01,1.000000000e+01,1.300000000e+00,4.773085985e-02
J2_A77_B160,upper_a,a_forward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 76, 0)","(-2.0, 10.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J2_A77_B160,upper_a,a_forward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 76, 0)","(-2.0, 10.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J2_A77_B160,lower_a,a_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J2_A77_B160,lower_a,a_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J2_A77_B160,upper_b,b_forward,raw,0.000000000e+00,0,0.000000000e+00,"(159, 0, 0)","(56.578947368421055, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J2_A77_B160,upper_b,b_forward,requested,0.000000000e+00,0,0.000000000e+00,"(159, 0, 0)","(56.578947368421055, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J2_A77_B160,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
