comparison,b_extent,coarse_a,fine_a,field,max_abs_diff,rel_diff,mismatch_count,note
J0_A77_B120_vs_J3_A153_B120,b120,a77,a153,value,6.512370248e-02,9.527622243e-04,,
J0_A77_B120_vs_J3_A153_B120,b120,a77,a153,consumption,1.739769162e-03,9.496627038e-04,,
J0_A77_B120_vs_J3_A153_B120,b120,a77,a153,labor,6.281245320e-04,5.610757545e-04,,
J0_A77_B120_vs_J3_A153_B120,b120,a77,a153,transfer,2.428975959e-02,2.204306436e-02,,
J0_A77_B120_vs_J3_A153_B120,b120,a77,a153,mu_a,2.428975959e-02,2.428975959e-02,,
J0_A77_B120_vs_J3_A153_B120,b120,a77,a153,mu_b,1.913342698e-02,1.913342698e-02,,
J0_A77_B120_vs_J3_A153_B120,b120,a77,a153,liquid_label,,,25,
J0_A77_B120_vs_J3_A153_B120,b120,a77,a153,transfer_label,,,72,
J1_A77_B140_vs_J4_A153_B140,b140,a77,a153,value,6.512370248e-02,9.527622243e-04,,
J1_A77_B140_vs_J4_A153_B140,b140,a77,a153,consumption,1.739769162e-03,8.943090668e-04,,
J1_A77_B140_vs_J4_A153_B140,b140,a77,a153,labor,6.281245320e-04,5.610757545e-04,,
J1_A77_B140_vs_J4_A153_B140,b140,a77,a153,transfer,2.428975959e-02,2.204306436e-02,,
J1_A77_B140_vs_J4_A153_B140,b140,a77,a153,mu_a,2.428975959e-02,2.428975959e-02,,
J1_A77_B140_vs_J4_A153_B140,b140,a77,a153,mu_b,1.913342697e-02,1.913342697e-02,,
J1_A77_B140_vs_J4_A153_B140,b140,a77,a153,liquid_label,,,25,
J1_A77_B140_vs_J4_A153_B140,b140,a77,a153,transfer_label,,,72,
J2_A77_B160_vs_J5_A153_B160,b160,a77,a153,value,6.512370248e-02,9.527622243e-04,,
J2_A77_B160_vs_J5_A153_B160,b160,a77,a153,consumption,1.739769162e-03,8.450135026e-04,,
J2_A77_B160_vs_J5_A153_B160,b160,a77,a153,labor,6.281245320e-04,5.610757545e-04,,
J2_A77_B160_vs_J5_A153_B160,b160,a77,a153,transfer,2.428975959e-02,2.204306436e-02,,
J2_A77_B160_vs_J5_A153_B160,b160,a77,a153,mu_a,2.428975959e-02,2.428975959e-02,,
J2_A77_B160_vs_J5_A153_B160,b160,a77,a153,mu_b,1.913342697e-02,1.913342697e-02,,
J2_A77_B160_vs_J5_A153_B160,b160,a77,a153,liquid_label,,,25,
J2_A77_B160_vs_J5_A153_B160,b160,a77,a153,transfer_label,,,72,
