a_res,b_extent,variant,kind,raw_max,requested_max,raw_count,requested_count,raw_share,requested_share,argmax_physical_a_z,upper_a_compatible,note,extra1,extra2
a77,b100,I2_A77_B100,ANCHOR_B100,7.093524248e-02,1.925385153e-01,4,4,2.597402597e-02,2.597402597e-02,"(10.0, 1.3)",True,,,
a77,b120,J0_A77_B120,ENTRY,4.291614197e-02,1.164866711e-01,3,3,1.948051948e-02,1.948051948e-02,"(10.0, 1.3)",True,,,
a77,b140,J1_A77_B140,ENTRY,1.758505363e-02,4.773085985e-02,2,2,1.298701299e-02,1.298701299e-02,"(10.0, 1.3)",True,,,
a77,b160,J2_A77_B160,ENTRY,0.000000000e+00,0.000000000e+00,0,0,0.000000000e+00,0.000000000e+00,"(0.0, 0.8)",True,,,
a77,RATIO,adjacent_raw,,,,,,,,,,,"[1.65288, 2.44049, 'inf']",
a77,RATIO,adjacent_requested,,,,,,,,,,,"[1.65288, 2.44049, 'inf']",
a77,RATIO,vs_b100_raw,,,,,,,,,,,"[1.0, 0.605005, 0.247903, 0.0]",
a77,RATIO,vs_b100_requested,,,,,,,,,,,"[1.0, 0.605005, 0.247903, 0.0]",
a77,FLAG,strictly_decreasing_raw,True,,,,,,,,,,,
a77,FLAG,strictly_decreasing_requested,True,,,,,,,,,,,
a77,FLAG,non_increasing_requested,True,,,,,,,,,,,
a77,FLAG,plateau,False,,,,,,,,,,,
a77,FLAG,monotonic_flag,strictly_decreasing,,,,,,,,,,,
a77,FLAG,first_requested_below_threshold,b160,,,,,,,,,,,
a77,FLAG,upper_a_compatible_on_all_extents,True,,,,,,,,,,,
a153,b100,I5_A153_B100,ANCHOR_B100,9.143516741e-02,2.481811687e-01,8,8,2.614379085e-02,2.614379085e-02,"(10.0, 1.3)",True,,,
a153,b120,J3_A153_B120,ENTRY,6.362594624e-02,1.726989969e-01,6,6,1.960784314e-02,1.960784314e-02,"(10.0, 1.3)",True,,,
a153,b140,J4_A153_B140,ENTRY,3.844034001e-02,1.043380657e-01,4,4,1.307189542e-02,1.307189542e-02,"(10.0, 1.3)",True,,,
a153,b160,J5_A153_B160,ENTRY,1.491625647e-02,4.048698186e-02,2,2,6.535947712e-03,6.535947712e-03,"(10.0, 1.3)",True,,,
a153,RATIO,adjacent_raw,,,,,,,,,,,"[1.437074, 1.655187, 2.577077]",
a153,RATIO,adjacent_requested,,,,,,,,,,,"[1.437074, 1.655187, 2.577077]",
a153,RATIO,vs_b100_raw,,,,,,,,,,,"[1.0, 0.695859, 0.420411, 0.163135]",
a153,RATIO,vs_b100_requested,,,,,,,,,,,"[1.0, 0.695859, 0.420411, 0.163135]",
a153,FLAG,strictly_decreasing_raw,True,,,,,,,,,,,
a153,FLAG,strictly_decreasing_requested,True,,,,,,,,,,,
a153,FLAG,non_increasing_requested,True,,,,,,,,,,,
a153,FLAG,plateau,False,,,,,,,,,,,
a153,FLAG,monotonic_flag,strictly_decreasing,,,,,,,,,,,
a153,FLAG,first_requested_below_threshold,None,,,,,,,,,,,
a153,FLAG,upper_a_compatible_on_all_extents,True,,,,,,,,,,,
