item,b_extent,a_res,variant,requested_upper_a,requested_upper_b,marker,compatible
variant,b120,a77,J0_A77_B120,0.000000000e+00,1.164866711e-01,JOINT_HJB_BOUNDARY_POLICY_NOT_COMPATIBLE,
variant,b140,a77,J1_A77_B140,0.000000000e+00,4.773085985e-02,JOINT_HJB_BOUNDARY_POLICY_NOT_COMPATIBLE,
variant,b160,a77,J2_A77_B160,0.000000000e+00,0.000000000e+00,JOINT_HJB_BOUNDARY_POLICY_COMPATIBLE,
variant,b120,a153,J3_A153_B120,0.000000000e+00,1.726989969e-01,JOINT_HJB_BOUNDARY_POLICY_NOT_COMPATIBLE,
variant,b140,a153,J4_A153_B140,0.000000000e+00,1.043380657e-01,JOINT_HJB_BOUNDARY_POLICY_NOT_COMPATIBLE,
variant,b160,a153,J5_A153_B160,0.000000000e+00,4.048698186e-02,JOINT_HJB_BOUNDARY_POLICY_NOT_COMPATIBLE,
cross_a_extent,b120,a77,J0_A77_B120,,,,False
cross_a_extent,b120,a153,J3_A153_B120,,,,False
cross_a_extent,b120,BOTH,,,,CROSS_A_RESOLUTION_JOINT_NOT_COMPATIBLE_AT_B_EXTENT,False
cross_a_extent,b140,a77,J1_A77_B140,,,,False
cross_a_extent,b140,a153,J4_A153_B140,,,,False
cross_a_extent,b140,BOTH,,,,CROSS_A_RESOLUTION_JOINT_NOT_COMPATIBLE_AT_B_EXTENT,False
cross_a_extent,b160,a77,J2_A77_B160,,,,True
cross_a_extent,b160,a153,J5_A153_B160,,,,False
cross_a_extent,b160,BOTH,,,,CROSS_A_RESOLUTION_JOINT_NOT_COMPATIBLE_AT_B_EXTENT,False
