layer,variant,b_index,a_index,z_index,b,a,z,liquid_label,transfer_label,consumption,labor,transfer,adjustment_cost,effective_illiquid_return,mu_a,mu_b,base_liquid_surplus,transfer_injection,reconstruction_residual,vb_boundary_closure,vb_backward,va_forward,va_backward,va_over_vb_minus_1,selected_transfer_candidate,candidate_source,is_top_layer,material_positive
n-1,J0_A77_B120,119,74,1,4.184210526e+01,9.736842105e+00,1.300000000e+00,B,B,1.837433221e+00,7.998118418e-01,-3.872434656e-01,5.412538726e-02,2.764014998e-02,-1.181156894e-01,7.108521285e-03,-3.260095570e-01,3.331180783e-01,0.000000000e+00,4.061898052e-01,2.961944191e-01,2.414381690e-01,2.430151100e-01,-1.795419010e-01,-3.872434656e-01,"d_bb(va_b,vb_b)",True,True
n-2,J0_A77_B120,118,74,1,4.147368421e+01,9.736842105e+00,1.300000000e+00,B,F,1.835445884e+00,8.001581293e-01,-3.726785985e-01,5.153217021e-02,2.764014998e-02,-1.035508223e-01,-8.019459576e-03,-3.291658878e-01,3.211464283e-01,0.000000000e+00,2.961944191e-01,2.968361781e-01,2.423243873e-01,2.439012356e-01,-1.765501986e-01,-3.726785984e-01,"d_fb(va_b,vb_f)",False,False
n-3,J0_A77_B120,117,74,1,4.110526316e+01,9.736842105e+00,1.300000000e+00,B,F,1.831986405e+00,8.007621871e-01,-3.645001146e-01,5.009512679e-02,2.764014998e-02,-9.537233843e-02,-1.616025272e-02,-3.305652405e-01,3.144049878e-01,0.000000000e+00,2.968361781e-01,2.979583133e-01,2.433384728e-01,2.449283484e-01,-1.748702938e-01,-3.645001145e-01,"d_fb(va_b,vb_f)",False,False
n-5,J0_A77_B120,115,74,1,4.036842105e+01,9.736842105e+00,1.300000000e+00,B,F,1.822654558e+00,8.023996105e-01,-3.580515959e-01,4.897174317e-02,2.764014998e-02,-8.892381980e-02,-2.139682015e-02,-3.304766729e-01,3.090798528e-01,0.000000000e+00,2.993918312e-01,3.010171695e-01,2.458021558e-01,2.474336563e-01,-1.735457332e-01,-3.580515958e-01,"d_fb(va_b,vb_f)",False,False
n-1,J0_A77_B120,119,75,1,4.184210526e+01,9.868421053e+00,1.300000000e+00,B,B,1.838415728e+00,7.996408366e-01,-4.144437941e-01,5.884976347e-02,2.733712798e-02,-1.446695049e-01,2.841300610e-02,-3.271810246e-01,3.555940307e-01,0.000000000e+00,4.061898052e-01,2.958779126e-01,2.403832502e-01,2.414381690e-01,-1.839939423e-01,-4.144437942e-01,"d_bb(va_b,vb_b)",True,True
n-2,J0_A77_B120,118,75,1,4.147368421e+01,9.868421053e+00,1.300000000e+00,B,F,1.836566634e+00,7.999627774e-01,-3.996647686e-01,5.615264549e-02,2.733712798e-02,-1.298904793e-01,1.300962091e-02,-3.305025022e-01,3.435121231e-01,-5.551115123e-17,2.958779126e-01,2.964740047e-01,2.412777263e-01,2.423243873e-01,-1.809987264e-01,-3.996647685e-01,"d_fb(va_b,vb_f)",False,True
n-3,J0_A77_B120,117,75,1,4.110526316e+01,9.868421053e+00,1.300000000e+00,B,F,1.833269179e+00,8.005380163e-01,-3.909124691e-01,5.457625283e-02,2.733712798e-02,-1.211381798e-01,4.240492262e-03,-3.320957240e-01,3.363362162e-01,-1.665334537e-16,2.964740047e-01,2.975414845e-01,2.422890087e-01,2.433384728e-01,-1.792249270e-01,-3.909124689e-01,"d_fb(va_b,vb_f)",False,True
n-5,J0_A77_B120,115,75,1,4.036842105e+01,9.868421053e+00,1.300000000e+00,B,F,1.824161852e+00,8.021343375e-01,-3.835032805e-01,5.325390436e-02,2.733712798e-02,-1.137289913e-01,-2.027717395e-03,-3.322770936e-01,3.302493762e-01,-1.110223025e-16,2.989287732e-01,3.005199177e-01,2.447308369e-01,2.458021558e-01,-1.777233315e-01,-3.835032804e-01,"d_fb(va_b,vb_f)",False,False
n-1,J0_A77_B120,119,76,1,4.184210526e+01,1.000000000e+01,1.300000000e+00,B,B,1.839408990e+00,7.994680895e-01,-4.334059876e-01,6.212467376e-02,2.700000000e-02,-1.634059876e-01,4.291614197e-02,-3.283651718e-01,3.712813138e-01,5.551115123e-17,4.061898052e-01,2.955584569e-01,0.000000000e+00,2.403832502e-01,-1.866811975e-01,-4.334059876e-01,"d_bb(va_b,vb_b)",True,True
n-2,J0_A77_B120,118,76,1,4.147368421e+01,1.000000000e+01,1.300000000e+00,B,F,1.837686334e+00,7.997677753e-01,-4.182740229e-01,5.932271811e-02,2.700000000e-02,-1.482740229e-01,2.711362566e-02,-3.318376791e-01,3.589513048e-01,1.110223025e-16,2.955584569e-01,2.961128324e-01,0.000000000e+00,2.412777263e-01,-1.836548046e-01,-4.182740228e-01,"d_fb(va_b,vb_f)",False,True
n-3,J0_A77_B120,117,76,1,4.110526316e+01,1.000000000e+01,1.300000000e+00,B,F,1.834543807e+00,8.003154867e-01,-4.088397701e-01,5.759897276e-02,2.700000000e-02,-1.388397701e-01,1.762455048e-02,-3.336162468e-01,3.512407973e-01,-1.110223025e-16,2.961128324e-01,2.971281688e-01,0.000000000e+00,2.422890087e-01,-1.817679540e-01,-4.088397699e-01,"d_fb(va_b,vb_f)",False,True
n-5,J0_A77_B120,115,76,1,4.036842105e+01,1.000000000e+01,1.300000000e+00,B,F,1.825660162e+00,8.018709496e-01,-4.002440643e-01,5.604393754e-02,2.700000000e-02,-1.302440643e-01,1.013367943e-02,-3.340664474e-01,3.442001268e-01,-1.110223025e-16,2.984700074e-01,3.000268497e-01,0.000000000e+00,2.447308369e-01,-1.800488128e-01,-4.002440641e-01,"d_fb(va_b,vb_f)",False,True
n-1,J1_A77_B140,139,75,1,4.921052632e+01,9.868421053e+00,1.300000000e+00,B,B,1.952111362e+00,7.806756255e-01,-4.130114240e-01,5.858642395e-02,2.733712798e-02,-1.432371347e-01,3.118098535e-03,-3.513069015e-01,3.544250000e-01,0.000000000e+00,3.634026301e-01,2.624163080e-01,2.132786253e-01,2.142094747e-01,-1.837036486e-01,-4.130114240e-01,"d_bb(va_b,vb_b)",True,True
