b_extent,coarse_variant,fine_variant,a77_index,a153_index,z_index,a77_physical_a,a153_physical_a,b_top,va_over_vb_minus_1_a77,va_over_vb_minus_1_a153,selected_transfer_candidate_a77,selected_transfer_candidate_a153,transfer_label_a77,transfer_label_a153,liquid_label_a77,liquid_label_a153,transfer_a77,transfer_a153,adjustment_cost_a77,adjustment_cost_a153,base_liquid_surplus_a77,base_liquid_surplus_a153,transfer_injection_a77,transfer_injection_a153,mu_b_a77,mu_b_a153,delta_mu_b,delta_base_liquid_surplus,delta_transfer_injection,residual,channel
b120,J0_A77_B120,J3_A153_B120,73,146,0,9.605263158e+00,9.605263158e+00,4.184210526e+01,-1.739671662e-01,-1.763018083e-01,-3.552370481e-01,-3.664494741e-01,B,B,B,B,-3.552370481e-01,-3.664494741e-01,4.866164369e-02,5.062532618e-02,-7.084152724e-01,-7.095411617e-01,3.065754044e-01,3.158241480e-01,-4.018398681e-01,-3.937170137e-01,-8.122854355e-03,1.125889237e-03,-9.248743592e-03,1.110223025e-16,TRANSFER_DERIVATIVE
b120,J0_A77_B120,J3_A153_B120,73,146,1,9.605263158e+00,9.605263158e+00,4.184210526e+01,-1.742296911e-01,-1.763840057e-01,-3.564978583e-01,-3.668442381e-01,B,B,B,B,-3.564978583e-01,-3.668442381e-01,4.888114877e-02,5.069494000e-02,-3.248399467e-01,-3.260207577e-01,3.076167095e-01,3.161492981e-01,-1.722323717e-02,-9.871459599e-03,-7.351777574e-03,1.180810979e-03,-8.532588553e-03,-1.110223025e-16,TRANSFER_DERIVATIVE
b120,J0_A77_B120,J3_A153_B120,74,148,0,9.736842105e+00,9.736842105e+00,4.184210526e+01,-1.791965436e-01,-1.825377414e-01,-3.855621201e-01,-4.018284778e-01,B,B,B,B,-3.855621200e-01,-4.018284778e-01,5.382380562e-02,5.676585527e-02,-7.097026837e-01,-7.107589250e-01,3.317383144e-01,3.450626225e-01,-3.779643693e-01,-3.656963025e-01,-1.226806681e-02,1.056241287e-03,-1.332430809e-02,-1.110223025e-16,TRANSFER_DERIVATIVE
b120,J0_A77_B120,J3_A153_B120,74,148,1,9.736842105e+00,9.736842105e+00,4.184210526e+01,-1.795419010e-01,-1.826667296e-01,-3.872434656e-01,-4.024564466e-01,B,B,B,B,-3.872434656e-01,-4.024564467e-01,5.412538726e-02,5.688052379e-02,-3.260095570e-01,-3.271026461e-01,3.331180783e-01,3.455759229e-01,7.108521285e-03,1.847327678e-02,-1.136475549e-02,1.093089069e-03,-1.245784456e-02,1.110223025e-16,TRANSFER_DERIVATIVE
b120,J0_A77_B120,J3_A153_B120,75,150,0,9.868421053e+00,9.868421053e+00,4.184210526e+01,-1.835424165e-01,-1.881911224e-01,-4.122158711e-01,-4.351535643e-01,B,B,B,B,-4.122158711e-01,-4.351535643e-01,5.844034211e-02,6.270369706e-02,-7.109886113e-01,-7.119589714e-01,3.537755289e-01,3.724498673e-01,-3.572130824e-01,-3.395091041e-01,-1.770397824e-02,9.703601021e-04,-1.867433834e-02,-5.551115123e-17,TRANSFER_DERIVATIVE
b120,J0_A77_B120,J3_A153_B120,75,150,1,9.868421053e+00,9.868421053e+00,4.184210526e+01,-1.839939423e-01,-1.883942858e-01,-4.144437942e-01,-4.361560157e-01,B,B,B,B,-4.144437941e-01,-4.361560157e-01,5.884976347e-02,6.289245133e-02,-3.271810246e-01,-3.281690670e-01,3.555940307e-01,3.732635644e-01,2.841300610e-02,4.509449740e-02,-1.668149130e-02,9.880424029e-04,-1.766953370e-02,0.000000000e+00,TRANSFER_DERIVATIVE
b120,J0_A77_B120,J3_A153_B120,76,152,0,1.000000000e+01,1.000000000e+01,4.184210526e+01,-1.860952040e-01,-1.916827295e-01,-4.304760201e-01,-4.584136473e-01,B,B,B,B,-4.304760201e-01,-4.584136473e-01,6.157856241e-02,6.685567193e-02,-7.122849116e-01,-7.131644901e-01,3.688974577e-01,3.915579754e-01,-3.433874538e-01,-3.216065148e-01,-2.178093905e-02,8.795785607e-04,-2.266051761e-02,-1.110223025e-16,TRANSFER_DERIVATIVE
b120,J0_A77_B120,J3_A153_B120,76,152,1,1.000000000e+01,1.000000000e+01,4.184210526e+01,-1.866811975e-01,-1.920072084e-01,-4.334059876e-01,-4.600360420e-01,B,B,B,B,-4.334059876e-01,-4.600360420e-01,6.212467376e-02,6.716692019e-02,-3.283651718e-01,-3.292431755e-01,3.712813138e-01,3.928691218e-01,4.291614197e-02,6.362594624e-02,-2.070980427e-02,8.780036986e-04,-2.158780797e-02,0.000000000e+00,TRANSFER_DERIVATIVE
b140,J1_A77_B140,J4_A153_B140,73,146,0,9.605263158e+00,9.605263158e+00,4.921052632e+01,-1.737015382e-01,-1.760411631e-01,-3.539613350e-01,-3.651976913e-01,B,B,B,B,-3.539613349e-01,-3.651976913e-01,4.843988093e-02,5.040479773e-02,-7.232408476e-01,-7.243172576e-01,3.055214540e-01,3.147928935e-01,-4.177193936e-01,-4.095243641e-01,-8.195029460e-03,1.076410054e-03,-9.271439514e-03,-2.775557562e-16,TRANSFER_DERIVATIVE
b140,J1_A77_B140,J4_A153_B140,73,146,1,9.605263158e+00,9.605263158e+00,4.921052632e+01,-1.739490925e-01,-1.761294451e-01,-3.551502468e-01,-3.656216771e-01,B,B,B,B,-3.551502467e-01,-3.656216771e-01,4.864654389e-02,5.047945540e-02,-3.489079879e-01,-3.500289467e-01,3.065037028e-01,3.151422217e-01,-4.240428507e-02,-3.488672505e-02,-7.517560020e-03,1.120958825e-03,-8.638518845e-03,-5.551115123e-17,TRANSFER_DERIVATIVE
b140,J1_A77_B140,J4_A153_B140,74,148,0,9.736842105e+00,9.736842105e+00,4.921052632e+01,-1.789336741e-01,-1.822781450e-01,-3.842823607e-01,-4.005646532e-01,B,B,B,B,-3.842823607e-01,-4.005646532e-01,5.359464537e-02,5.653532363e-02,-7.245482261e-01,-7.255565967e-01,3.306877153e-01,3.440293296e-01,-3.938605108e-01,-3.815272671e-01,-1.233324380e-02,1.008370534e-03,-1.334161433e-02,-1.665334537e-16,TRANSFER_DERIVATIVE
b140,J1_A77_B140,J4_A153_B140,74,148,1,9.736842105e+00,9.736842105e+00,4.921052632e+01,-1.792560483e-01,-1.824092216e-01,-3.858518140e-01,-4.012027894e-01,B,B,B,B,-3.858518140e-01,-4.012027894e-01,5.387572639e-02,5.665168373e-02,-3.501064514e-01,-3.511414522e-01,3.319760876e-01,3.445511057e-01,-1.813036383e-02,-6.590346531e-03,-1.154001730e-02,1.035000799e-03,-1.257501810e-02,-1.110223025e-16,TRANSFER_DERIVATIVE
b140,J1_A77_B140,J4_A153_B140,75,150,0,9.868421053e+00,9.868421053e+00,4.921052632e+01,-1.832854631e-01,-1.879316282e-01,-4.109480086e-01,-4.338731657e-01,B,B,B,B,-4.109480086e-01,-4.338731657e-01,5.820779845e-02,6.246290353e-02,-7.258545167e-01,-7.267789679e-01,3.527402101e-01,3.714102622e-01,-3.731143066e-01,-3.553687057e-01,-1.774560081e-02,9.244512591e-04,-1.867005207e-02,1.665334537e-16,TRANSFER_DERIVATIVE
b140,J1_A77_B140,J4_A153_B140,75,150,1,9.868421053e+00,9.868421053e+00,4.921052632e+01,-1.837036486e-01,-1.881306911e-01,-4.130114240e-01,-4.348553837e-01,B,B,B,B,-4.130114240e-01,-4.348553837e-01,5.858642395e-02,6.264759111e-02,-3.513069015e-01,-3.522388152e-01,3.544250000e-01,3.722077926e-01,3.118098535e-03,1.996897737e-02,-1.685087883e-02,9.319136934e-04,-1.778279253e-02,1.665334537e-16,TRANSFER_DERIVATIVE
b140,J1_A77_B140,J4_A153_B140,76,152,0,1.000000000e+01,1.000000000e+01,4.921052632e+01,-1.858530106e-01,-1.914292641e-01,-4.292650531e-01,-4.571463207e-01,B,B,B,B,-4.292650531e-01,-4.571463207e-01,6.135335390e-02,6.661290792e-02,-7.271714230e-01,-7.280074482e-01,3.679116992e-01,3.905334128e-01,-3.592597237e-01,-3.374740354e-01,-2.178568832e-02,8.360252030e-04,-2.262171352e-02,0.000000000e+00,TRANSFER_DERIVATIVE
b140,J1_A77_B140,J4_A153_B140,76,152,1,1.000000000e+01,1.000000000e+01,4.921052632e+01,-1.863920509e-01,-1.917388294e-01,-4.319602544e-01,-4.586941469e-01,B,B,B,B,-4.319602544e-01,-4.586941469e-01,6.185499159e-02,6.690944674e-02,-3.525202092e-01,-3.533443602e-01,3.701052629e-01,3.917847002e-01,1.758505363e-02,3.844034001e-02,-2.085528638e-02,8.241509674e-04,-2.167943735e-02,-2.775557562e-16,TRANSFER_DERIVATIVE
b160,J2_A77_B160,J5_A153_B160,73,146,0,9.605263158e+00,9.605263158e+00,5.657894737e+01,-1.734712677e-01,-1.758133325e-01,-3.528554306e-01,-3.641035047e-01,B,B,B,B,-3.528554306e-01,-3.641035047e-01,4.824791096e-02,5.021230051e-02,-7.372361379e-01,-7.382758630e-01,3.046075196e-01,3.138912042e-01,-4.326286183e-01,-4.243846588e-01,-8.243959488e-03,1.039725147e-03,-9.283684634e-03,-5.551115123e-17,TRANSFER_DERIVATIVE
b160,J2_A77_B160,J5_A153_B160,73,146,1,9.605263158e+00,9.605263158e+00,5.657894737e+01,-1.737045248e-01,-1.759049679e-01,-3.539756782e-01,-3.645435957e-01,B,B,B,B,-3.539756781e-01,-3.645435957e-01,4.844237238e-02,5.028969454e-02,-3.714308505e-01,-3.725071386e-01,3.055333058e-01,3.142539012e-01,-6.589754478e-02,-5.825323742e-02,-7.644307362e-03,1.076288090e-03,-8.720595452e-03,1.665334537e-16,TRANSFER_DERIVATIVE
b160,J2_A77_B160,J5_A153_B160,74,148,0,9.736842105e+00,9.736842105e+00,5.657894737e+01,-1.787058504e-01,-1.820509302e-01,-3.831732189e-01,-3.994584758e-01,B,B,B,B,-3.831732189e-01,-3.994584758e-01,5.339630891e-02,5.633381733e-02,-7.385642152e-01,-7.395372974e-01,3.297769100e-01,3.431246584e-01,-4.087873052e-01,-3.964126390e-01,-1.237466623e-02,9.730822134e-04,-1.334774844e-02,2.220446049e-16,TRANSFER_DERIVATIVE
b160,J2_A77_B160,J5_A153_B160,74,148,1,9.736842105e+00,9.736842105e+00,5.657894737e+01,-1.790071428e-01,-1.821819702e-01,-3.846400373e-01,-4.000964339e-01,B,B,B,B,-3.846400373e-01,-4.000964339e-01,5.365865890e-02,5.645000000e-02,-3.726574950e-01,-3.736494576e-01,3.309813784e-01,3.436464339e-01,-4.167611663e-02,-3.000302364e-02,-1.167309299e-02,9.919625453e-04,-1.266505553e-02,1.110223025e-16,TRANSFER_DERIVATIVE
b160,J2_A77_B160,J5_A153_B160,75,150,0,9.868421053e+00,9.868421053e+00,5.657894737e+01,-1.830630474e-01,-1.877043731e-01,-4.098505630e-01,-4.327518407e-01,B,B,B,B,-4.098505630e-01,-4.327518408e-01,5.800677469e-02,6.225229852e-02,-7.398915339e-01,-7.407823936e-01,3.518437884e-01,3.704995422e-01,-3.880477456e-01,-3.702828514e-01,-1.776489418e-02,8.908597047e-04,-1.865575389e-02,-5.551115123e-17,TRANSFER_DERIVATIVE
b160,J2_A77_B160,J5_A153_B160,75,150,1,9.868421053e+00,9.868421053e+00,5.657894737e+01,-1.834513675e-01,-1.878980685e-01,-4.117666159e-01,-4.337075750e-01,B,B,B,B,-4.117666159e-01,-4.337075750e-01,5.835790518e-02,6.243178658e-02,-3.738862446e-01,-3.747769352e-01,3.534087107e-01,3.712757884e-01,-2.047753391e-02,-3.501146757e-03,-1.697638715e-02,8.906905984e-04,-1.786707775e-02,-5.551115123e-17,TRANSFER_DERIVATIVE
b160,J2_A77_B160,J5_A153_B160,76,152,0,1.000000000e+01,1.000000000e+01,5.657894737e+01,-1.856440078e-01,-1.912075563e-01,-4.282200388e-01,-4.560377816e-01,B,B,B,B,-4.282200388e-01,-4.560377816e-01,6.115924404e-02,6.640082399e-02,-7.412296869e-01,-7.420341641e-01,3.670607948e-01,3.896369576e-01,-3.741688922e-01,-3.523972065e-01,-2.177168569e-02,8.044771810e-04,-2.257616287e-02,0.000000000e+00,TRANSFER_DERIVATIVE
