variant,b_index,a_index,z_index,b,a,z,x_minus_transfer,chi_0,chi_1,a_bar,a_denominator,r_a_effective,mu_a_direct,mu_a_algebra,mu_a_residual,mu_a_inward_holds,x_min_a,base_liquid_surplus,transfer_injection,mu_b_direct,mu_b_algebra_general,mu_b_residual,mu_b_inward_holds_general,x_b_general_positive_root,x_b_simplified_base_zero,base_is_zero_branch,joint_corner_feasible,simplified_inequality
J0_A77_B120,119,74,1,4.184210526e+01,9.736842105e+00,1.300000000e+00,3.872434656e-01,1.000000000e-01,2.000000000e+00,1.000000000e-06,9.736842105e+00,2.764014998e-02,-1.181156894e-01,-1.181156894e-01,0.000000000e+00,True,2.691277761e-01,-3.260095570e-01,3.331180783e-01,7.108521285e-03,7.108521285e-03,3.816391647e-17,False,8.384569141e+00,8.763157895e+00,False,False,x satisfies 0.5*chi_1*x^2/a_den >= base + x*(1-chi_0); root 8.384569e+00
J0_A77_B120,119,75,1,4.184210526e+01,9.868421053e+00,1.300000000e+00,4.144437941e-01,1.000000000e-01,2.000000000e+00,1.000000000e-06,9.868421053e+00,2.733712798e-02,-1.446695049e-01,-1.446695049e-01,0.000000000e+00,True,2.697742893e-01,-3.271810246e-01,3.555940307e-01,2.841300610e-02,2.841300610e-02,3.469446952e-18,False,8.501805484e+00,8.881578947e+00,False,False,x satisfies 0.5*chi_1*x^2/a_den >= base + x*(1-chi_0); root 8.501805e+00
J0_A77_B120,119,76,1,4.184210526e+01,1.000000000e+01,1.300000000e+00,4.334059876e-01,1.000000000e-01,2.000000000e+00,1.000000000e-06,1.000000000e+01,2.700000000e-02,-1.634059876e-01,-1.634059876e-01,0.000000000e+00,True,2.700000000e-01,-3.283651718e-01,3.712813138e-01,4.291614197e-02,4.291614197e-02,4.163336342e-17,False,8.619022734e+00,9.000000000e+00,False,False,x satisfies 0.5*chi_1*x^2/a_den >= base + x*(1-chi_0); root 8.619023e+00
J1_A77_B140,139,75,1,4.921052632e+01,9.868421053e+00,1.300000000e+00,4.130114240e-01,1.000000000e-01,2.000000000e+00,1.000000000e-06,9.868421053e+00,2.733712798e-02,-1.432371347e-01,-1.432371347e-01,0.000000000e+00,True,2.697742893e-01,-3.513069015e-01,3.544250000e-01,3.118098535e-03,3.118098535e-03,6.938893904e-18,False,8.472385526e+00,8.881578947e+00,False,False,x satisfies 0.5*chi_1*x^2/a_den >= base + x*(1-chi_0); root 8.472386e+00
J1_A77_B140,139,76,1,4.921052632e+01,1.000000000e+01,1.300000000e+00,4.319602544e-01,1.000000000e-01,2.000000000e+00,1.000000000e-06,1.000000000e+01,2.700000000e-02,-1.619602544e-01,-1.619602544e-01,0.000000000e+00,True,2.700000000e-01,-3.525202092e-01,3.701052629e-01,1.758505363e-02,1.758505363e-02,-1.734723476e-16,False,8.589596301e+00,9.000000000e+00,False,False,x satisfies 0.5*chi_1*x^2/a_den >= base + x*(1-chi_0); root 8.589596e+00
J3_A153_B120,119,147,1,4.184210526e+01,9.671052632e+00,1.300000000e+00,3.846889827e-01,1.000000000e-01,2.000000000e+00,1.000000000e-06,9.671052632e+00,2.777983641e-02,-1.160287227e-01,-1.160287227e-01,0.000000000e+00,True,2.686602600e-01,-3.265648563e-01,3.309181707e-01,4.353314391e-03,4.353314391e-03,5.030698080e-17,False,8.324560881e+00,8.703947368e+00,False,False,x satisfies 0.5*chi_1*x^2/a_den >= base + x*(1-chi_0); root 8.324561e+00
J3_A153_B120,119,148,1,4.184210526e+01,9.736842105e+00,1.300000000e+00,4.024564467e-01,1.000000000e-01,2.000000000e+00,1.000000000e-06,9.736842105e+00,2.764014998e-02,-1.333286705e-01,-1.333286705e-01,0.000000000e+00,True,2.691277761e-01,-3.271026461e-01,3.455759229e-01,1.847327678e-02,1.847327678e-02,-1.075528555e-16,False,8.383239510e+00,8.763157895e+00,False,False,x satisfies 0.5*chi_1*x^2/a_den >= base + x*(1-chi_0); root 8.383240e+00
J3_A153_B120,119,149,1,4.184210526e+01,9.802631579e+00,1.300000000e+00,4.198170489e-01,1.000000000e-01,2.000000000e+00,1.000000000e-06,9.802631579e+00,2.749270532e-02,-1.503161875e-01,-1.503161875e-01,0.000000000e+00,True,2.695008614e-01,-3.276364025e-01,3.598558501e-01,3.221944759e-02,3.221944759e-02,-1.249000903e-16,False,8.441922008e+00,8.822368421e+00,False,False,x satisfies 0.5*chi_1*x^2/a_den >= base + x*(1-chi_0); root 8.441922e+00
J3_A153_B120,119,150,1,4.184210526e+01,9.868421053e+00,1.300000000e+00,4.361560157e-01,1.000000000e-01,2.000000000e+00,1.000000000e-06,9.868421053e+00,2.733712798e-02,-1.663817264e-01,-1.663817264e-01,0.000000000e+00,True,2.697742893e-01,-3.281690670e-01,3.732635644e-01,4.509449740e-02,4.509449740e-02,1.387778781e-17,False,8.500604817e+00,8.881578947e+00,False,False,x satisfies 0.5*chi_1*x^2/a_den >= base + x*(1-chi_0); root 8.500605e+00
J3_A153_B120,119,151,1,4.184210526e+01,9.934210526e+00,1.300000000e+00,4.503075259e-01,1.000000000e-01,2.000000000e+00,1.000000000e-06,9.934210526e+00,2.717302812e-02,-1.803649440e-01,-1.803649440e-01,0.000000000e+00,True,2.699425820e-01,-3.287039429e-01,3.848647972e-01,5.616085431e-02,5.616085431e-02,2.775557562e-17,False,8.559283942e+00,8.940789474e+00,False,False,x satisfies 0.5*chi_1*x^2/a_den >= base + x*(1-chi_0); root 8.559284e+00
J3_A153_B120,119,152,1,4.184210526e+01,1.000000000e+01,1.300000000e+00,4.600360420e-01,1.000000000e-01,2.000000000e+00,1.000000000e-06,1.000000000e+01,2.700000000e-02,-1.900360420e-01,-1.900360420e-01,0.000000000e+00,True,2.700000000e-01,-3.292431755e-01,3.928691218e-01,6.362594624e-02,6.362594624e-02,5.551115123e-17,False,8.617956805e+00,9.000000000e+00,False,False,x satisfies 0.5*chi_1*x^2/a_den >= base + x*(1-chi_0); root 8.617957e+00
J4_A153_B140,139,149,1,4.921052632e+01,9.802631579e+00,1.300000000e+00,4.185418636e-01,1.000000000e-01,2.000000000e+00,1.000000000e-06,9.802631579e+00,2.749270532e-02,-1.490410022e-01,-1.490410022e-01,0.000000000e+00,True,2.695008614e-01,-3.516906298e-01,3.588172421e-01,7.126612376e-03,7.126612376e-03,-1.214306433e-16,False,8.412565530e+00,8.822368421e+00,False,False,x satisfies 0.5*chi_1*x^2/a_den >= base + x*(1-chi_0); root 8.412566e+00
J4_A153_B140,139,150,1,4.921052632e+01,9.868421053e+00,1.300000000e+00,4.348553837e-01,1.000000000e-01,2.000000000e+00,1.000000000e-06,9.868421053e+00,2.733712798e-02,-1.650810944e-01,-1.650810944e-01,0.000000000e+00,True,2.697742893e-01,-3.522388152e-01,3.722077926e-01,1.996897737e-02,1.996897737e-02,-1.908195824e-16,False,8.471244809e+00,8.881578947e+00,False,False,x satisfies 0.5*chi_1*x^2/a_den >= base + x*(1-chi_0); root 8.471245e+00
J4_A153_B140,139,151,1,4.921052632e+01,9.934210526e+00,1.300000000e+00,4.489808598e-01,1.000000000e-01,2.000000000e+00,1.000000000e-06,9.934210526e+00,2.717302812e-02,-1.790382778e-01,-1.790382778e-01,0.000000000e+00,True,2.699425820e-01,-3.527893415e-01,3.837908934e-01,3.100155186e-02,3.100155186e-02,-1.665334537e-16,False,8.529920019e+00,8.940789474e+00,False,False,x satisfies 0.5*chi_1*x^2/a_den >= base + x*(1-chi_0); root 8.529920e+00
J4_A153_B140,139,152,1,4.921052632e+01,1.000000000e+01,1.300000000e+00,4.586941469e-01,1.000000000e-01,2.000000000e+00,1.000000000e-06,1.000000000e+01,2.700000000e-02,-1.886941469e-01,-1.886941469e-01,0.000000000e+00,True,2.700000000e-01,-3.533443602e-01,3.917847002e-01,3.844034001e-02,3.844034001e-02,9.714451465e-17,False,8.588588558e+00,9.000000000e+00,False,False,x satisfies 0.5*chi_1*x^2/a_den >= base + x*(1-chi_0); root 8.588589e+00
J5_A153_B160,159,151,1,5.657894737e+01,9.934210526e+00,1.300000000e+00,4.478107918e-01,1.000000000e-01,2.000000000e+00,1.000000000e-06,9.934210526e+00,2.717302812e-02,-1.778682098e-01,-1.778682098e-01,0.000000000e+00,True,2.699425820e-01,-3.753426862e-01,3.828434578e-01,7.500771578e-03,7.500771578e-03,-6.591949209e-17,False,8.502230031e+00,8.940789474e+00,False,False,x satisfies 0.5*chi_1*x^2/a_den >= base + x*(1-chi_0); root 8.502230e+00
J5_A153_B160,159,152,1,5.657894737e+01,1.000000000e+01,1.300000000e+00,4.575122934e-01,1.000000000e-01,2.000000000e+00,1.000000000e-06,1.000000000e+01,2.700000000e-02,-1.875122934e-01,-1.875122934e-01,0.000000000e+00,True,2.700000000e-01,-3.759130577e-01,3.908293142e-01,1.491625647e-02,1.491625647e-02,1.040834086e-17,False,8.560895150e+00,9.000000000e+00,False,False,x satisfies 0.5*chi_1*x^2/a_den >= base + x*(1-chi_0); root 8.560895e+00
