variant,b_index,a_index,z_index,b,a,z,liquid_label,transfer_label,consumption,labor,transfer,adjustment_cost,effective_illiquid_return,mu_a,mu_b,base_liquid_surplus,transfer_injection,reconstruction_residual,vb_boundary_closure,vb_backward,va_forward,va_backward,va_over_vb_minus_1,selected_transfer_candidate,candidate_source,is_top_layer,material_positive
J0_A77_B120,119,74,1,4.184210526e+01,9.736842105e+00,1.300000000e+00,B,B,1.837433221e+00,7.998118418e-01,-3.872434656e-01,5.412538726e-02,2.764014998e-02,-1.181156894e-01,7.108521285e-03,-3.260095570e-01,3.331180783e-01,0.000000000e+00,4.061898052e-01,2.961944191e-01,2.414381690e-01,2.430151100e-01,-1.795419010e-01,-3.872434656e-01,"d_bb(va_b,vb_b)",True,True
J0_A77_B120,119,75,1,4.184210526e+01,9.868421053e+00,1.300000000e+00,B,B,1.838415728e+00,7.996408366e-01,-4.144437941e-01,5.884976347e-02,2.733712798e-02,-1.446695049e-01,2.841300610e-02,-3.271810246e-01,3.555940307e-01,0.000000000e+00,4.061898052e-01,2.958779126e-01,2.403832502e-01,2.414381690e-01,-1.839939423e-01,-4.144437942e-01,"d_bb(va_b,vb_b)",True,True
J0_A77_B120,119,76,1,4.184210526e+01,1.000000000e+01,1.300000000e+00,B,B,1.839408990e+00,7.994680895e-01,-4.334059876e-01,6.212467376e-02,2.700000000e-02,-1.634059876e-01,4.291614197e-02,-3.283651718e-01,3.712813138e-01,5.551115123e-17,4.061898052e-01,2.955584569e-01,0.000000000e+00,2.403832502e-01,-1.866811975e-01,-4.334059876e-01,"d_bb(va_b,vb_b)",True,True
J1_A77_B140,139,75,1,4.921052632e+01,9.868421053e+00,1.300000000e+00,B,B,1.952111362e+00,7.806756255e-01,-4.130114240e-01,5.858642395e-02,2.733712798e-02,-1.432371347e-01,3.118098535e-03,-3.513069015e-01,3.544250000e-01,0.000000000e+00,3.634026301e-01,2.624163080e-01,2.132786253e-01,2.142094747e-01,-1.837036486e-01,-4.130114240e-01,"d_bb(va_b,vb_b)",True,True
J1_A77_B140,139,76,1,4.921052632e+01,1.000000000e+01,1.300000000e+00,B,B,1.953142476e+00,7.805107439e-01,-4.319602544e-01,6.185499159e-02,2.700000000e-02,-1.619602544e-01,1.758505363e-02,-3.525202092e-01,3.701052629e-01,-1.665334537e-16,3.634026301e-01,2.621393086e-01,0.000000000e+00,2.132786253e-01,-1.863920509e-01,-4.319602544e-01,"d_bb(va_b,vb_b)",True,True
J2_A77_B160,159,74,1,5.657894737e+01,9.736842105e+00,1.300000000e+00,B,B,2.064833260e+00,7.633407736e-01,-3.846400373e-01,5.365865890e-02,2.764014998e-02,-1.155122611e-01,-4.167611663e-02,-3.726574950e-01,3.309813784e-01,1.110223025e-16,3.265675163e-01,2.345470769e-01,1.913233098e-01,1.925614748e-01,-1.790071428e-01,-3.846400373e-01,"d_bb(va_b,vb_b)",True,False
J2_A77_B160,159,75,1,5.657894737e+01,9.868421053e+00,1.300000000e+00,B,B,2.065889483e+00,7.631846410e-01,-4.117666159e-01,5.835790518e-02,2.733712798e-02,-1.419923266e-01,-2.047753391e-02,-3.738862446e-01,3.534087107e-01,-5.551115123e-17,3.265675163e-01,2.343073054e-01,1.904960257e-01,1.913233098e-01,-1.834513675e-01,-4.117666159e-01,"d_bb(va_b,vb_b)",True,False
J2_A77_B160,159,76,1,5.657894737e+01,1.000000000e+01,1.300000000e+00,B,B,2.066957012e+00,7.630269508e-01,-4.307083898e-01,6.162181068e-02,2.700000000e-02,-1.607083898e-01,-6.041441309e-03,-3.751280204e-01,3.690865791e-01,-3.330669074e-16,3.265675163e-01,2.340653410e-01,0.000000000e+00,1.904960257e-01,-1.861416779e-01,-4.307083897e-01,"d_bb(va_b,vb_b)",True,False
J2_A77_B160,159,73,1,5.657894737e+01,9.605263158e+00,1.300000000e+00,B,B,2.063778953e+00,7.634967346e-01,-3.539756781e-01,4.844237238e-02,2.791212418e-02,-8.587238012e-02,-6.589754478e-02,-3.714308505e-01,3.055333058e-01,0.000000000e+00,3.265675163e-01,2.347867808e-01,1.925614748e-01,1.940032546e-01,-1.737045248e-01,-3.539756782e-01,"d_bb(va_b,vb_b)",True,False
J3_A153_B120,119,147,1,4.184210526e+01,9.671052632e+00,1.300000000e+00,B,B,1.837898934e+00,7.997307685e-01,-3.846889827e-01,5.377081204e-02,2.777983641e-02,-1.160287227e-01,4.353314391e-03,-3.265648563e-01,3.309181707e-01,5.551115123e-17,4.061898052e-01,2.960443303e-01,2.418481582e-01,2.428881710e-01,-1.795547284e-01,-3.846889827e-01,"d_bb(va_b,vb_b)",True,True
