variant,b_index,a_index,z_index,b,a,mu_a,mu_b,mu_W,rectangular_b_inwardness_mu_b_le_0,rectangular_b_violation,rectangular_a_inwardness_mu_a_le_0,rectangular_a_violation,total_wealth_inwardness_mu_W_le_0,total_wealth_violation,W_normal_drift,db,b_outward_material
J0_A77_B120,119,74,1,4.184210526e+01,9.736842105e+00,-1.181156894e-01,7.108521285e-03,-1.110071681e-01,False,True,True,False,True,False,-1.110071681e-01,3.684210526e-01,True
J0_A77_B120,119,75,1,4.184210526e+01,9.868421053e+00,-1.446695049e-01,2.841300610e-02,-1.162564988e-01,False,True,True,False,True,False,-1.162564988e-01,3.684210526e-01,True
J0_A77_B120,119,76,1,4.184210526e+01,1.000000000e+01,-1.634059876e-01,4.291614197e-02,-1.204898456e-01,False,True,True,False,True,False,-1.204898456e-01,3.684210526e-01,True
J1_A77_B140,139,75,1,4.921052632e+01,9.868421053e+00,-1.432371347e-01,3.118098535e-03,-1.401190362e-01,False,True,True,False,True,False,-1.401190362e-01,3.684210526e-01,True
J1_A77_B140,139,76,1,4.921052632e+01,1.000000000e+01,-1.619602544e-01,1.758505363e-02,-1.443752008e-01,False,True,True,False,True,False,-1.443752008e-01,3.684210526e-01,True
J3_A153_B120,119,147,1,4.184210526e+01,9.671052632e+00,-1.160287227e-01,4.353314391e-03,-1.116754083e-01,False,True,True,False,True,False,-1.116754083e-01,3.684210526e-01,True
J3_A153_B120,119,148,1,4.184210526e+01,9.736842105e+00,-1.333286705e-01,1.847327678e-02,-1.148553937e-01,False,True,True,False,True,False,-1.148553937e-01,3.684210526e-01,True
J3_A153_B120,119,149,1,4.184210526e+01,9.802631579e+00,-1.503161875e-01,3.221944759e-02,-1.180967399e-01,False,True,True,False,True,False,-1.180967399e-01,3.684210526e-01,True
J3_A153_B120,119,150,1,4.184210526e+01,9.868421053e+00,-1.663817264e-01,4.509449740e-02,-1.212872290e-01,False,True,True,False,True,False,-1.212872290e-01,3.684210526e-01,True
J3_A153_B120,119,151,1,4.184210526e+01,9.934210526e+00,-1.803649440e-01,5.616085431e-02,-1.242040897e-01,False,True,True,False,True,False,-1.242040897e-01,3.684210526e-01,True
J3_A153_B120,119,152,1,4.184210526e+01,1.000000000e+01,-1.900360420e-01,6.362594624e-02,-1.264100957e-01,False,True,True,False,True,False,-1.264100957e-01,3.684210526e-01,True
J4_A153_B140,139,149,1,4.921052632e+01,9.802631579e+00,-1.490410022e-01,7.126612376e-03,-1.419143899e-01,False,True,True,False,True,False,-1.419143899e-01,3.684210526e-01,True
J4_A153_B140,139,150,1,4.921052632e+01,9.868421053e+00,-1.650810944e-01,1.996897737e-02,-1.451121171e-01,False,True,True,False,True,False,-1.451121171e-01,3.684210526e-01,True
J4_A153_B140,139,151,1,4.921052632e+01,9.934210526e+00,-1.790382778e-01,3.100155186e-02,-1.480367260e-01,False,True,True,False,True,False,-1.480367260e-01,3.684210526e-01,True
J4_A153_B140,139,152,1,4.921052632e+01,1.000000000e+01,-1.886941469e-01,3.844034001e-02,-1.502538069e-01,False,True,True,False,True,False,-1.502538069e-01,3.684210526e-01,True
J5_A153_B160,159,151,1,5.657894737e+01,9.934210526e+00,-1.778682098e-01,7.500771578e-03,-1.703674383e-01,False,True,True,False,True,False,-1.703674383e-01,3.684210526e-01,True
J5_A153_B160,159,152,1,5.657894737e+01,1.000000000e+01,-1.875122934e-01,1.491625647e-02,-1.725960369e-01,False,True,True,False,True,False,-1.725960369e-01,3.684210526e-01,True
