variant,b_index,a_index,z_index,b,a,z,layer_kind,a_resolution,mu_a,mu_b,mu_W,b_outward,classification,dlh5k_interior_positive_trajectory,dlh5k_top_offender_trajectory,mu_W_inward_or_outward,positive_mu_b_coexists_with
J0_A77_B120,115,74,1,4.036842105e+01,9.736842105e+00,1.300000000e+00,INTERIOR,a77,-8.892381980e-02,-2.139682015e-02,-1.103206399e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,True,,
J0_A77_B120,115,75,1,4.036842105e+01,9.868421053e+00,1.300000000e+00,INTERIOR,a77,-1.137289913e-01,-2.027717395e-03,-1.157567087e-01,False,B_NONOUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J0_A77_B120,115,76,1,4.036842105e+01,1.000000000e+01,1.300000000e+00,INTERIOR,a77,-1.302440643e-01,1.013367943e-02,-1.201103849e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J0_A77_B120,117,74,1,4.110526316e+01,9.736842105e+00,1.300000000e+00,INTERIOR,a77,-9.537233843e-02,-1.616025272e-02,-1.115325912e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,True,,
J0_A77_B120,117,75,1,4.110526316e+01,9.868421053e+00,1.300000000e+00,INTERIOR,a77,-1.211381798e-01,4.240492262e-03,-1.168976876e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J0_A77_B120,117,76,1,4.110526316e+01,1.000000000e+01,1.300000000e+00,INTERIOR,a77,-1.388397701e-01,1.762455048e-02,-1.212152196e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J0_A77_B120,118,74,1,4.147368421e+01,9.736842105e+00,1.300000000e+00,INTERIOR,a77,-1.035508223e-01,-8.019459576e-03,-1.115702819e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,True,,
J0_A77_B120,118,75,1,4.147368421e+01,9.868421053e+00,1.300000000e+00,INTERIOR,a77,-1.298904793e-01,1.300962091e-02,-1.168808584e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J0_A77_B120,118,76,1,4.147368421e+01,1.000000000e+01,1.300000000e+00,INTERIOR,a77,-1.482740229e-01,2.711362566e-02,-1.211603972e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J0_A77_B120,119,73,0,4.184210526e+01,9.605263158e+00,8.000000000e-01,TOP,a77,-8.713375003e-02,-4.018398681e-01,-4.889736181e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J0_A77_B120,119,73,1,4.184210526e+01,9.605263158e+00,1.300000000e+00,TOP,a77,-8.839456029e-02,-1.722323717e-02,-1.056177975e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J0_A77_B120,119,74,0,4.184210526e+01,9.736842105e+00,8.000000000e-01,TOP,a77,-1.164343439e-01,-3.779643693e-01,-4.943987132e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J0_A77_B120,119,74,1,4.184210526e+01,9.736842105e+00,1.300000000e+00,TOP,a77,-1.181156894e-01,7.108521285e-03,-1.110071681e-01,True,B_OUTWARD__TOTAL_INWARD,False,True,,
J0_A77_B120,119,75,0,4.184210526e+01,9.868421053e+00,8.000000000e-01,TOP,a77,-1.424415818e-01,-3.572130824e-01,-4.996546642e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J0_A77_B120,119,75,1,4.184210526e+01,9.868421053e+00,1.300000000e+00,TOP,a77,-1.446695049e-01,2.841300610e-02,-1.162564988e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J0_A77_B120,119,76,0,4.184210526e+01,1.000000000e+01,8.000000000e-01,TOP,a77,-1.604760201e-01,-3.433874538e-01,-5.038634740e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J0_A77_B120,119,76,1,4.184210526e+01,1.000000000e+01,1.300000000e+00,TOP,a77,-1.634059876e-01,4.291614197e-02,-1.204898456e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J1_A77_B140,135,75,1,4.773684211e+01,9.868421053e+00,1.300000000e+00,INTERIOR,a77,-1.137408000e-01,-2.579137280e-02,-1.395321728e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,True,,
J1_A77_B140,135,76,1,4.773684211e+01,1.000000000e+01,1.300000000e+00,INTERIOR,a77,-1.303859135e-01,-1.352477480e-02,-1.439106883e-01,False,B_NONOUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J1_A77_B140,137,75,1,4.847368421e+01,9.868421053e+00,1.300000000e+00,INTERIOR,a77,-1.204919915e-01,-2.017987133e-02,-1.406718628e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,True,,
J1_A77_B140,137,76,1,4.847368421e+01,1.000000000e+01,1.300000000e+00,INTERIOR,a77,-1.382202548e-01,-6.794827251e-03,-1.450150820e-01,False,B_NONOUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J1_A77_B140,138,75,1,4.884210526e+01,9.868421053e+00,1.300000000e+00,INTERIOR,a77,-1.287869526e-01,-1.190551914e-02,-1.406924718e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,True,,
J1_A77_B140,138,76,1,4.884210526e+01,1.000000000e+01,1.300000000e+00,INTERIOR,a77,-1.471666278e-01,2.169234979e-03,-1.449973928e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J1_A77_B140,139,73,0,4.921052632e+01,9.605263158e+00,8.000000000e-01,TOP,a77,-8.585803693e-02,-4.177193936e-01,-5.035774305e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J1_A77_B140,139,73,1,4.921052632e+01,9.605263158e+00,1.300000000e+00,TOP,a77,-8.704694872e-02,-4.240428507e-02,-1.294512338e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J1_A77_B140,139,74,0,4.921052632e+01,9.736842105e+00,8.000000000e-01,TOP,a77,-1.151545845e-01,-3.938605108e-01,-5.090150954e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J1_A77_B140,139,74,1,4.921052632e+01,9.736842105e+00,1.300000000e+00,TOP,a77,-1.167240378e-01,-1.813036383e-02,-1.348544017e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J1_A77_B140,139,75,0,4.921052632e+01,9.868421053e+00,8.000000000e-01,TOP,a77,-1.411737193e-01,-3.731143066e-01,-5.142880259e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J1_A77_B140,139,75,1,4.921052632e+01,9.868421053e+00,1.300000000e+00,TOP,a77,-1.432371347e-01,3.118098535e-03,-1.401190362e-01,True,B_OUTWARD__TOTAL_INWARD,False,True,,
J1_A77_B140,139,76,0,4.921052632e+01,1.000000000e+01,8.000000000e-01,TOP,a77,-1.592650531e-01,-3.592597237e-01,-5.185247769e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
