b_extent,coarse_variant,fine_variant,a77_index,a153_index,z_index,mu_a_a77,mu_a_a153,mu_b_a77,mu_b_a153,mu_W_a77,mu_W_a153,transfer_a77,transfer_a153,adjustment_cost_a77,adjustment_cost_a153,base_liquid_surplus_a77,base_liquid_surplus_a153,transfer_injection_a77,transfer_injection_a153,delta_mu_a,delta_mu_b,delta_mu_W,delta_transfer,delta_adjustment_cost,delta_base_liquid_surplus,delta_transfer_injection,rel_diff_mu_a,rel_diff_mu_b,rel_diff_mu_W,mu_b_cross_a_material,mu_W_below_threshold
b120,J0_A77_B120,J3_A153_B120,73,146,0,-8.713375003e-02,-9.834617612e-02,-4.018398681e-01,-3.937170137e-01,-4.889736181e-01,-4.920631898e-01,-3.552370481e-01,-3.664494741e-01,4.866164369e-02,5.062532618e-02,-7.084152724e-01,-7.095411617e-01,3.065754044e-01,3.158241480e-01,1.121242609e-02,-8.122854355e-03,3.089571730e-03,1.121242609e-02,-1.963682493e-03,1.125889237e-03,-9.248743592e-03,1.140097819e-01,2.021415743e-02,6.278810922e-03,True,True
b120,J0_A77_B120,J3_A153_B120,73,146,1,-8.839456029e-02,-9.874094007e-02,-1.722323717e-02,-9.871459599e-03,-1.056177975e-01,-1.086123997e-01,-3.564978583e-01,-3.668442381e-01,4.888114877e-02,5.069494000e-02,-3.248399467e-01,-3.260207577e-01,3.076167095e-01,3.161492981e-01,1.034637978e-02,-7.351777574e-03,2.994602211e-03,1.034637978e-02,-1.813791232e-03,1.180810979e-03,-8.532588553e-03,1.047830796e-01,4.268522520e-01,2.757145796e-02,True,False
b120,J0_A77_B120,J3_A153_B120,74,148,0,-1.164343439e-01,-1.327007016e-01,-3.779643693e-01,-3.656963025e-01,-4.943987132e-01,-4.983970041e-01,-3.855621200e-01,-4.018284778e-01,5.382380562e-02,5.676585527e-02,-7.097026837e-01,-7.107589250e-01,3.317383144e-01,3.450626225e-01,1.626635774e-02,-1.226806681e-02,3.998290929e-03,1.626635774e-02,-2.942049642e-03,1.056241287e-03,-1.332430809e-02,1.225792896e-01,3.245826274e-02,8.022301289e-03,True,True
b120,J0_A77_B120,J3_A153_B120,74,148,1,-1.181156894e-01,-1.333286705e-01,7.108521285e-03,1.847327678e-02,-1.110071681e-01,-1.148553937e-01,-3.872434656e-01,-4.024564467e-01,5.412538726e-02,5.688052379e-02,-3.260095570e-01,-3.271026461e-01,3.331180783e-01,3.455759229e-01,1.521298108e-02,-1.136475549e-02,3.848225592e-03,1.521298108e-02,-2.755136523e-03,1.093089069e-03,-1.245784456e-02,1.141013484e-01,6.151997628e-01,3.350496191e-02,True,False
b120,J0_A77_B120,J3_A153_B120,75,150,0,-1.424415818e-01,-1.653792751e-01,-3.572130824e-01,-3.395091041e-01,-4.996546642e-01,-5.048883792e-01,-4.122158711e-01,-4.351535643e-01,5.844034211e-02,6.270369706e-02,-7.109886113e-01,-7.119589714e-01,3.537755289e-01,3.724498673e-01,2.293769329e-02,-1.770397824e-02,5.233715052e-03,2.293769329e-02,-4.263354950e-03,9.703601021e-04,-1.867433834e-02,1.386975078e-01,4.956139377e-02,1.036608341e-02,True,False
b120,J0_A77_B120,J3_A153_B120,75,150,1,-1.446695049e-01,-1.663817264e-01,2.841300610e-02,4.509449740e-02,-1.162564988e-01,-1.212872290e-01,-4.144437941e-01,-4.361560157e-01,5.884976347e-02,6.289245133e-02,-3.271810246e-01,-3.281690670e-01,3.555940307e-01,3.732635644e-01,2.171222156e-02,-1.668149130e-02,5.030730261e-03,2.171222156e-02,-4.042687858e-03,9.880424029e-04,-1.766953370e-02,1.304964315e-01,3.699229898e-01,4.147782335e-02,True,False
b120,J0_A77_B120,J3_A153_B120,76,152,0,-1.604760201e-01,-1.884136473e-01,-3.433874538e-01,-3.216065148e-01,-5.038634740e-01,-5.100201621e-01,-4.304760201e-01,-4.584136473e-01,6.157856241e-02,6.685567193e-02,-7.122849116e-01,-7.131644901e-01,3.688974577e-01,3.915579754e-01,2.793762714e-02,-2.178093905e-02,6.156688084e-03,2.793762714e-02,-5.277109523e-03,8.795785607e-04,-2.266051761e-02,1.482781504e-01,6.342962974e-02,1.207146019e-02,True,False
b120,J0_A77_B120,J3_A153_B120,76,152,1,-1.634059876e-01,-1.900360420e-01,4.291614197e-02,6.362594624e-02,-1.204898456e-01,-1.264100957e-01,-4.334059876e-01,-4.600360420e-01,6.212467376e-02,6.716692019e-02,-3.283651718e-01,-3.292431755e-01,3.712813138e-01,3.928691218e-01,2.663005439e-02,-2.070980427e-02,5.920250122e-03,2.663005439e-02,-5.042246424e-03,8.780036986e-04,-2.158780797e-02,1.401315988e-01,3.254930652e-01,4.683368119e-02,True,False
b140,J1_A77_B140,J4_A153_B140,73,146,0,-8.585803693e-02,-9.709439325e-02,-4.177193936e-01,-4.095243641e-01,-5.035774305e-01,-5.066187574e-01,-3.539613349e-01,-3.651976913e-01,4.843988093e-02,5.040479773e-02,-7.232408476e-01,-7.243172576e-01,3.055214540e-01,3.147928935e-01,1.123635632e-02,-8.195029460e-03,3.041326860e-03,1.123635632e-02,-1.964916806e-03,1.076410054e-03,-9.271439514e-03,1.157261088e-01,1.961850368e-02,6.003186452e-03,True,True
b140,J1_A77_B140,J4_A153_B140,73,146,1,-8.704694872e-02,-9.751837907e-02,-4.240428507e-02,-3.488672505e-02,-1.294512338e-01,-1.324051041e-01,-3.551502467e-01,-3.656216771e-01,4.864654389e-02,5.047945540e-02,-3.489079879e-01,-3.500289467e-01,3.065037028e-01,3.151422217e-01,1.047143036e-02,-7.517560020e-03,2.953870338e-03,1.047143036e-02,-1.832911513e-03,1.120958825e-03,-8.638518845e-03,1.073790444e-01,1.772830271e-01,2.230933888e-02,True,False
b140,J1_A77_B140,J4_A153_B140,74,148,0,-1.151545845e-01,-1.314368771e-01,-3.938605108e-01,-3.815272671e-01,-5.090150954e-01,-5.129641442e-01,-3.842823607e-01,-4.005646532e-01,5.359464537e-02,5.653532363e-02,-7.245482261e-01,-7.255565967e-01,3.306877153e-01,3.440293296e-01,1.628229259e-02,-1.233324380e-02,3.949048797e-03,1.628229259e-02,-2.940678263e-03,1.008370534e-03,-1.334161433e-02,1.238791803e-01,3.131373534e-02,7.698488954e-03,True,True
b140,J1_A77_B140,J4_A153_B140,74,148,1,-1.167240378e-01,-1.320750133e-01,-1.813036383e-02,-6.590346531e-03,-1.348544017e-01,-1.386653598e-01,-3.858518140e-01,-4.012027894e-01,5.387572639e-02,5.665168373e-02,-3.501064514e-01,-3.511414522e-01,3.319760876e-01,3.445511057e-01,1.535097544e-02,-1.154001730e-02,3.810958137e-03,1.535097544e-02,-2.775957337e-03,1.035000799e-03,-1.257501810e-02,1.162292175e-01,6.365022461e-01,2.748313019e-02,True,False
b140,J1_A77_B140,J4_A153_B140,75,150,0,-1.411737193e-01,-1.640988765e-01,-3.731143066e-01,-3.553687057e-01,-5.142880259e-01,-5.194675822e-01,-4.109480086e-01,-4.338731657e-01,5.820779845e-02,6.246290353e-02,-7.258545167e-01,-7.267789679e-01,3.527402101e-01,3.714102622e-01,2.292515714e-02,-1.774560081e-02,5.179556335e-03,2.292515714e-02,-4.255105076e-03,9.244512591e-04,-1.867005207e-02,1.397033157e-01,4.756076220e-02,9.970894263e-03,True,True
b140,J1_A77_B140,J4_A153_B140,75,150,1,-1.432371347e-01,-1.650810944e-01,3.118098535e-03,1.996897737e-02,-1.401190362e-01,-1.451121171e-01,-4.130114240e-01,-4.348553837e-01,5.858642395e-02,6.264759111e-02,-3.513069015e-01,-3.522388152e-01,3.544250000e-01,3.722077926e-01,2.184395969e-02,-1.685087883e-02,4.993080858e-03,2.184395969e-02,-4.061167164e-03,9.319136934e-04,-1.778279253e-02,1.323226004e-01,8.438528685e-01,3.440843507e-02,True,False
b140,J1_A77_B140,J4_A153_B140,76,152,0,-1.592650531e-01,-1.871463207e-01,-3.592597237e-01,-3.374740354e-01,-5.185247769e-01,-5.246203561e-01,-4.292650531e-01,-4.571463207e-01,6.135335390e-02,6.661290792e-02,-7.271714230e-01,-7.280074482e-01,3.679116992e-01,3.905334128e-01,2.788126754e-02,-2.178568832e-02,6.095579224e-03,2.788126754e-02,-5.259554021e-03,8.360252030e-04,-2.262171352e-02,1.489811151e-01,6.064049733e-02,1.161902918e-02,True,False
b140,J1_A77_B140,J4_A153_B140,76,152,1,-1.619602544e-01,-1.886941469e-01,1.758505363e-02,3.844034001e-02,-1.443752008e-01,-1.502538069e-01,-4.319602544e-01,-4.586941469e-01,6.185499159e-02,6.690944674e-02,-3.525202092e-01,-3.533443602e-01,3.701052629e-01,3.917847002e-01,2.673389250e-02,-2.085528638e-02,5.878606119e-03,2.673389250e-02,-5.054455152e-03,8.241509674e-04,-2.167943735e-02,1.416784407e-01,5.425364702e-01,3.912450699e-02,True,False
b160,J2_A77_B160,J5_A153_B160,73,146,0,-8.475213254e-02,-9.600020672e-02,-4.326286183e-01,-4.243846588e-01,-5.173807508e-01,-5.203848655e-01,-3.528554306e-01,-3.641035047e-01,4.824791096e-02,5.021230051e-02,-7.372361379e-01,-7.382758630e-01,3.046075196e-01,3.138912042e-01,1.124807418e-02,-8.243959488e-03,3.004114694e-03,1.124807418e-02,-1.964389547e-03,1.039725147e-03,-9.283684634e-03,1.171671871e-01,1.905551122e-02,5.772870990e-03,True,True
b160,J2_A77_B160,J5_A153_B160,73,146,1,-8.587238012e-02,-9.644029773e-02,-6.589754478e-02,-5.825323742e-02,-1.517699249e-01,-1.546935351e-01,-3.539756781e-01,-3.645435957e-01,4.844237238e-02,5.028969454e-02,-3.714308505e-01,-3.725071386e-01,3.055333058e-01,3.142539012e-01,1.056791761e-02,-7.644307362e-03,2.923610247e-03,1.056791761e-02,-1.847322157e-03,1.076288090e-03,-8.720595452e-03,1.095798941e-01,1.160029162e-01,1.889936929e-02,True,False
b160,J2_A77_B160,J5_A153_B160,74,148,0,-1.140454428e-01,-1.303306996e-01,-4.087873052e-01,-3.964126390e-01,-5.228327480e-01,-5.267433386e-01,-3.831732189e-01,-3.994584758e-01,5.339630891e-02,5.633381733e-02,-7.385642152e-01,-7.395372974e-01,3.297769100e-01,3.431246584e-01,1.628525686e-02,-1.237466623e-02,3.910590630e-03,1.628525686e-02,-2.937508417e-03,9.730822134e-04,-1.334774844e-02,1.249533449e-01,3.027165000e-02,7.424091286e-03,True,True
b160,J2_A77_B160,J5_A153_B160,74,148,1,-1.155122611e-01,-1.309686578e-01,-4.167611663e-02,-3.000302364e-02,-1.571883778e-01,-1.609716814e-01,-3.846400373e-01,-4.000964339e-01,5.365865890e-02,5.645000000e-02,-3.726574950e-01,-3.736494576e-01,3.309813784e-01,3.436464339e-01,1.545639663e-02,-1.167309299e-02,3.783303640e-03,1.545639663e-02,-2.791341094e-03,9.919625453e-04,-1.266505553e-02,1.180159963e-01,2.800907074e-01,2.350291434e-02,True,False
b160,J2_A77_B160,J5_A153_B160,75,150,0,-1.400762738e-01,-1.629775515e-01,-3.880477456e-01,-3.702828514e-01,-5.281240194e-01,-5.332604029e-01,-4.098505630e-01,-4.327518408e-01,5.800677469e-02,6.225229852e-02,-7.398915339e-01,-7.407823936e-01,3.518437884e-01,3.704995422e-01,2.290127772e-02,-1.776489418e-02,5.136383539e-03,2.290127772e-02,-4.245523834e-03,8.908597047e-04,-1.865575389e-02,1.405179886e-01,4.578017625e-02,9.632036263e-03,True,True
b160,J2_A77_B160,J5_A153_B160,75,150,1,-1.419923266e-01,-1.639332858e-01,-2.047753391e-02,-3.501146757e-03,-1.624698605e-01,-1.674344325e-01,-4.117666159e-01,-4.337075750e-01,5.835790518e-02,6.243178658e-02,-3.738862446e-01,-3.747769352e-01,3.534087107e-01,3.712757884e-01,2.194095916e-02,-1.697638715e-02,4.964572003e-03,2.194095916e-02,-4.073881405e-03,8.906905984e-04,-1.786707775e-02,1.338407820e-01,8.290249806e-01,2.965084259e-02,True,False
b160,J2_A77_B160,J5_A153_B160,76,152,0,-1.582200388e-01,-1.860377816e-01,-3.741688922e-01,-3.523972065e-01,-5.323889310e-01,-5.384349881e-01,-4.282200388e-01,-4.560377816e-01,6.115924404e-02,6.640082399e-02,-7.412296869e-01,-7.420341641e-01,3.670607948e-01,3.896369576e-01,2.781774281e-02,-2.177168569e-02,6.046057125e-03,2.781774281e-02,-5.241579944e-03,8.044771810e-04,-2.257616287e-02,1.495273840e-01,5.818678715e-02,1.122894548e-02,True,False
b160,J2_A77_B160,J5_A153_B160,76,152,1,-1.607083898e-01,-1.875122934e-01,-6.041441309e-03,1.491625647e-02,-1.667498311e-01,-1.725960369e-01,-4.307083898e-01,-4.575122934e-01,6.162181068e-02,6.668297921e-02,-3.751280204e-01,-3.759130577e-01,3.690865791e-01,3.908293142e-01,2.680390367e-02,-2.095769778e-02,5.846205886e-03,2.680390367e-02,-5.061168530e-03,7.850373561e-04,-2.174273514e-02,1.429447807e-01,1.405023963e+00,3.387219075e-02,True,False
