variant,b_index,a_index,z_index,b,a,z,liquid_label,transfer_label,consumption,labor,transfer,adjustment_cost,effective_illiquid_return,mu_a,mu_b,base_liquid_surplus,transfer_injection,reconstruction_residual,mu_W,mu_W_transfer_cancelled_reconstruction,transfer_cancellation_residual,linear_d_contribution_mu_a,linear_negd_contribution_mu_b,linear_d_cancellation_sum,is_top_layer,material_positive
J0_A77_B120,115,74,1,4.036842105e+01,9.736842105e+00,1.300000000e+00,B,F,1.822654558e+00,8.023996105e-01,-3.580515959e-01,4.897174317e-02,2.764014998e-02,-8.892381980e-02,-2.139682015e-02,-3.304766729e-01,3.090798528e-01,0.000000000e+00,-1.103206399e-01,-1.103206399e-01,1.387778781e-17,-3.580515959e-01,3.580515959e-01,0.000000000e+00,False,False
J0_A77_B120,115,75,1,4.036842105e+01,9.868421053e+00,1.300000000e+00,B,F,1.824161852e+00,8.021343375e-01,-3.835032805e-01,5.325390436e-02,2.733712798e-02,-1.137289913e-01,-2.027717395e-03,-3.322770936e-01,3.302493762e-01,-1.110223025e-16,-1.157567087e-01,-1.157567087e-01,-1.110223025e-16,-3.835032805e-01,3.835032805e-01,0.000000000e+00,False,False
J0_A77_B120,115,76,1,4.036842105e+01,1.000000000e+01,1.300000000e+00,B,F,1.825660162e+00,8.018709496e-01,-4.002440643e-01,5.604393754e-02,2.700000000e-02,-1.302440643e-01,1.013367943e-02,-3.340664474e-01,3.442001268e-01,-1.110223025e-16,-1.201103849e-01,-1.201103849e-01,-8.326672685e-17,-4.002440643e-01,4.002440643e-01,0.000000000e+00,False,True
J0_A77_B120,117,74,1,4.110526316e+01,9.736842105e+00,1.300000000e+00,B,F,1.831986405e+00,8.007621871e-01,-3.645001146e-01,5.009512679e-02,2.764014998e-02,-9.537233843e-02,-1.616025272e-02,-3.305652405e-01,3.144049878e-01,0.000000000e+00,-1.115325912e-01,-1.115325912e-01,0.000000000e+00,-3.645001146e-01,3.645001146e-01,0.000000000e+00,False,False
J0_A77_B120,117,75,1,4.110526316e+01,9.868421053e+00,1.300000000e+00,B,F,1.833269179e+00,8.005380163e-01,-3.909124691e-01,5.457625283e-02,2.733712798e-02,-1.211381798e-01,4.240492262e-03,-3.320957240e-01,3.363362162e-01,-1.665334537e-16,-1.168976876e-01,-1.168976876e-01,-1.387778781e-16,-3.909124691e-01,3.909124691e-01,0.000000000e+00,False,True
J0_A77_B120,117,76,1,4.110526316e+01,1.000000000e+01,1.300000000e+00,B,F,1.834543807e+00,8.003154867e-01,-4.088397701e-01,5.759897276e-02,2.700000000e-02,-1.388397701e-01,1.762455048e-02,-3.336162468e-01,3.512407973e-01,-1.110223025e-16,-1.212152196e-01,-1.212152196e-01,-8.326672685e-17,-4.088397701e-01,4.088397701e-01,0.000000000e+00,False,True
J0_A77_B120,118,74,1,4.147368421e+01,9.736842105e+00,1.300000000e+00,B,F,1.835445884e+00,8.001581293e-01,-3.726785985e-01,5.153217021e-02,2.764014998e-02,-1.035508223e-01,-8.019459576e-03,-3.291658878e-01,3.211464283e-01,0.000000000e+00,-1.115702819e-01,-1.115702819e-01,-1.387778781e-17,-3.726785985e-01,3.726785985e-01,0.000000000e+00,False,False
J0_A77_B120,118,75,1,4.147368421e+01,9.868421053e+00,1.300000000e+00,B,F,1.836566634e+00,7.999627774e-01,-3.996647686e-01,5.615264549e-02,2.733712798e-02,-1.298904793e-01,1.300962091e-02,-3.305025022e-01,3.435121231e-01,-5.551115123e-17,-1.168808584e-01,-1.168808584e-01,-6.938893904e-17,-3.996647686e-01,3.996647686e-01,0.000000000e+00,False,True
J0_A77_B120,118,76,1,4.147368421e+01,1.000000000e+01,1.300000000e+00,B,F,1.837686334e+00,7.997677753e-01,-4.182740229e-01,5.932271811e-02,2.700000000e-02,-1.482740229e-01,2.711362566e-02,-3.318376791e-01,3.589513048e-01,1.110223025e-16,-1.211603972e-01,-1.211603972e-01,9.714451465e-17,-4.182740229e-01,4.182740229e-01,0.000000000e+00,False,True
J0_A77_B120,119,73,0,4.184210526e+01,9.605263158e+00,8.000000000e-01,B,B,1.830353761e+00,7.269219253e-01,-3.552370481e-01,4.866164369e-02,2.791212418e-02,-8.713375003e-02,-4.018398681e-01,-7.084152724e-01,3.065754044e-01,0.000000000e+00,-4.889736181e-01,-4.889736181e-01,-5.551115123e-17,-3.552370481e-01,3.552370481e-01,0.000000000e+00,True,False
