state_id,group,variant,b_index,a_index,z_index,b,a,mu_a,mu_b,mu_W,rectangular_upper_a_condition_mu_a_le_0,rectangular_upper_a_satisfied,rectangular_upper_b_condition_mu_b_le_0,rectangular_upper_b_satisfied,joint_W_condition_mu_W_le_0,joint_W_satisfied,W_s=a+b,active_candidate_constraints_R,active_candidate_constraints_W_symbolic
J3_A153_B120|41.8421052632|146|0,CROSS_A_A153,J3_A153_B120,top,146,0,41.8421052632,9.605263158,-9.834617612e-02,-3.937170137e-01,-4.920631898e-01,True,True,True,True,True,True,51.4473684212,upper_b,W activity unresolved (no W_max): W_s=51.4473684212; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J3_A153_B120|41.8421052632|146|1,CROSS_A_A153,J3_A153_B120,top,146,1,41.8421052632,9.605263158,-9.874094007e-02,-9.871459599e-03,-1.086123997e-01,True,True,True,True,True,True,51.4473684212,upper_b,W activity unresolved (no W_max): W_s=51.4473684212; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J3_A153_B120|41.8421052632|148|0,CROSS_A_A153,J3_A153_B120,top,148,0,41.8421052632,9.736842105,-1.327007016e-01,-3.656963025e-01,-4.983970041e-01,True,True,True,True,True,True,51.5789473682,upper_b,W activity unresolved (no W_max): W_s=51.5789473682; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J3_A153_B120|41.8421052632|148|1,CROSS_A_A153,J3_A153_B120,top,148,1,41.8421052632,9.736842105,-1.333286705e-01,1.847327678e-02,-1.148553937e-01,True,True,False,False,True,True,51.5789473682,upper_b,W activity unresolved (no W_max): W_s=51.5789473682; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J3_A153_B120|41.8421052632|150|0,CROSS_A_A153,J3_A153_B120,top,150,0,41.8421052632,9.868421053,-1.653792751e-01,-3.395091041e-01,-5.048883792e-01,True,True,True,True,True,True,51.7105263162,upper_b,W activity unresolved (no W_max): W_s=51.7105263162; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J3_A153_B120|41.8421052632|150|1,CROSS_A_A153,J3_A153_B120,top,150,1,41.8421052632,9.868421053,-1.663817264e-01,4.509449740e-02,-1.212872290e-01,True,True,False,False,True,True,51.7105263162,upper_b,W activity unresolved (no W_max): W_s=51.7105263162; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J3_A153_B120|41.8421052632|152|0,CROSS_A_A153,J3_A153_B120,top,152,0,41.8421052632,10.000000000,-1.884136473e-01,-3.216065148e-01,-5.100201621e-01,True,True,True,True,True,True,51.8421052632,upper_b+upper_a(joint corner),upper-a active (a=a_max); W activity unresolved (no W_max): W_s=51.8421052632; if W_max=W_s upper-a+W-face active at intersection; if W_max>W_s W face inactive; if W_max<W_s outside D_W
J3_A153_B120|41.8421052632|152|1,CROSS_A_A153,J3_A153_B120,top,152,1,41.8421052632,10.000000000,-1.900360420e-01,6.362594624e-02,-1.264100957e-01,True,True,False,False,True,True,51.8421052632,upper_b+upper_a(joint corner),upper-a active (a=a_max); W activity unresolved (no W_max): W_s=51.8421052632; if W_max=W_s upper-a+W-face active at intersection; if W_max>W_s W face inactive; if W_max<W_s outside D_W
J4_A153_B140|49.2105263158|146|0,CROSS_A_A153,J4_A153_B140,top,146,0,49.2105263158,9.605263158,-9.709439325e-02,-4.095243641e-01,-5.066187574e-01,True,True,True,True,True,True,58.8157894738,upper_b,W activity unresolved (no W_max): W_s=58.8157894738; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J4_A153_B140|49.2105263158|146|1,CROSS_A_A153,J4_A153_B140,top,146,1,49.2105263158,9.605263158,-9.751837907e-02,-3.488672505e-02,-1.324051041e-01,True,True,True,True,True,True,58.8157894738,upper_b,W activity unresolved (no W_max): W_s=58.8157894738; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J4_A153_B140|49.2105263158|148|0,CROSS_A_A153,J4_A153_B140,top,148,0,49.2105263158,9.736842105,-1.314368771e-01,-3.815272671e-01,-5.129641442e-01,True,True,True,True,True,True,58.9473684208,upper_b,W activity unresolved (no W_max): W_s=58.9473684208; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J4_A153_B140|49.2105263158|148|1,CROSS_A_A153,J4_A153_B140,top,148,1,49.2105263158,9.736842105,-1.320750133e-01,-6.590346531e-03,-1.386653598e-01,True,True,True,True,True,True,58.9473684208,upper_b,W activity unresolved (no W_max): W_s=58.9473684208; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J4_A153_B140|49.2105263158|150|0,CROSS_A_A153,J4_A153_B140,top,150,0,49.2105263158,9.868421053,-1.640988765e-01,-3.553687057e-01,-5.194675822e-01,True,True,True,True,True,True,59.0789473688,upper_b,W activity unresolved (no W_max): W_s=59.0789473688; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J4_A153_B140|49.2105263158|150|1,CROSS_A_A153,J4_A153_B140,top,150,1,49.2105263158,9.868421053,-1.650810944e-01,1.996897737e-02,-1.451121171e-01,True,True,False,False,True,True,59.0789473688,upper_b,W activity unresolved (no W_max): W_s=59.0789473688; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
