iteration,raw_max_stat,accepted_max_stat,lambda,backtrack_count,min_pb_old,min_pb_raw,min_pb_new,lambda1_would_violate,max_abs_q1,expansions,artificial_bindings,sector_changes
1,19.5762533642,4.89406334105,0.25,2,0.480765621563,-0.682001580079,0.235835339274,true,5.93969318174e-15,0,0,0
2,13.9778138439,3.49445346098,0.25,2,0.235835339274,-0.701717291573,0.0135706935723,true,4.16333634234e-15,0,0,7
3,9.70238975078,0.606399359424,0.0625,4,0.0135706935723,-0.509262308828,0.00659003871187,true,3.5527136788e-15,0,0,17
4,9.42142554998,0.588839096874,0.0625,4,0.00659003871187,-0.441436616053,0.00267858883418,true,3.5527136788e-15,0,0,2
5,8.93523986007,0.558452491254,0.0625,4,0.00267858883418,-0.363528230018,0.000299502157204,true,3.5527136788e-15,0,0,4
6,8.49783928189,0.13277873878,0.015625,6,0.000299502157204,-0.31631136678,6.41974110372e-05,true,9.49240686055e-15,0,0,5
7,8.38992118731,0.0655462592758,0.0078125,7,6.41974110372e-05,-0.308300983355,1.19530765364e-05,true,1.89293025699e-14,0,0,1
8,8.33629248476,0.0325636425186,0.00390625,8,1.19530765364e-05,-0.393246703895,9.21370468429e-07,true,3.79141162909e-14,0,0,1
9,8.30957045015,0.00811481489272,0.0009765625,10,9.21370468429e-07,-0.353605656898,1.64313917139e-07,true,1.51600954013e-13,0,0,0
10,8.30290322521,0.00405415196543,0.00048828125,11,1.64313917139e-07,-0.343439257846,4.89490454519e-09,true,3.03146396874e-13,0,0,0
11,8.2995711441,0.000506565621592,6.103515625e-05,14,4.89490454519e-09,-0.338317944816,1.46052160842e-09,true,2.42533770844e-12,0,0,0
12,8.29915474427,0.000253270103286,3.0517578125e-05,15,1.46052160842e-09,-0.337676230105,5.22693507524e-10,true,4.85061990574e-12,0,0,0
13,8.29894655037,0.000126631874849,1.52587890625e-05,16,5.22693507524e-10,-0.337355213781,2.42195596911e-10,true,4.85061990574e-12,0,0,0
14,8.29884245493,0.000126630286488,1.52587890625e-05,16,2.42195596911e-10,-0.337194660389,5.12626132019e-11,true,9.70129532263e-12,0,0,0
15,8.29873836009,6.33143490631e-05,7.62939453125e-06,17,5.12626132019e-11,-0.33703410244,7.34802694881e-12,true,1.94025351341e-11,0,0,0
16,8.29868631305,1.58284879888e-05,1.90734863281e-06,19,7.34802694881e-12,-0.33695381987,3.18221639515e-12,true,3.88051257794e-11,0,0,0
17,8.29867330134,7.9142315883e-06,9.53674316406e-07,20,3.18221639515e-12,-0.336933744254,1.81289903724e-12,true,7.76101960476e-11,0,0,0
