key,value
outcome,DLH_5VR_F0_FINAL_RATE_PROVENANCE__ITERATION_OPERATOR_MATCHES_ACCEPTED_MATLAB_FAITHFUL_HJB__FINAL_RAW_RATE_OPERATOR_NON_EQUIVALENT__VALIDATION_OPERATOR_REDESIGN_REVIEW_GATE_READY
reconstruction.iterations,8
reconstruction.v0_min_boundary_pb,0.480765621563
reconstruction.min_accepted_boundary_pb,4.8089461302e-09
reconstruction.final_statistic,3.66143524388e-08
reconstruction.min_boundary_pb_star,4.8089461302e-09
reconstruction.wall_state,node=332,j=13,i=13,z=1,family=F3
reproduce.r_iter_inf,10.4350943132
reproduce.r_iter_argmax,node=97,j=3,i=2,z=0,family=F0
reproduce.r_iter_f0_max,10.4350943132
reproduce.r_iter_boundary_max,9.74206832867
reproduce.r_final_current_inf,490.756041401
reproduce.r_final_current_argmax,node=272,j=10,i=5,z=1,family=F0
reproduce.r_final_current_f0_max,490.756041401
reproduce.r_final_current_boundary_max,9.74206832867
reproduce.f0_rowwise_max_abs_gap,24.6019717663
reproduce.f0_rowwise_max_abs_gap_state,node=297,j=11,i=11,z=1,family=F0
reproduce.same_controls_max_abs_diff,0
reproduce.boundary_row_max_abs_diff,0
reproduce.boundary_u_max_abs_diff,0
reproduce.utility_f0_max_abs_diff,0
operator.max_abs_q1_iter,2.42533770844e-12
operator.max_abs_q1_final_current,2.42533770844e-12
operator.expansions_iter,0
operator.bindings_iter,0
operator.expansions_final_current,0
operator.bindings_final_current,0
components.f0_row_count,596
components.class_b_backward,affected=0,max_abs=7.1054273576e-15,argmax=
components.class_b_forward,affected=0,max_abs=0,argmax=
components.class_a_backward,affected=0,max_abs=0,argmax=
components.class_a_forward,affected=0,max_abs=0,argmax=
components.class_diagonal,affected=0,max_abs=1.42108547152e-14,argmax=
components.class_represented_outgoing_sum,affected=0,max_abs=1.42108547152e-14,argmax=
components.class_omitted_destination_rate,affected=0,max_abs=0,argmax=
components.class_utility,affected=0,max_abs=0,argmax=
components.class_destination_assembly_gap,affected=298,max_abs=24.6019717663,argmax=node=297,j=11,i=11,z=1,family=F0
components.destination_assembly_max_abs_diff,24.6019717663
components.destination_assembly_affected_row_count,298
components.destination_assembly_argmax_state,node=297,j=11,i=11,z=1,family=F0
components.max_total_row_entry_diff,24.6019717663
components.max_total_row_entry_diff_state,node=297,j=11,i=11,z=1,family=F0
components.max_row_argmax_component,b_backward
components.max_row_component_contributions,b_backward=24.6019717663,b_forward=0,a_backward=0,a_forward=9.52637251075,diagonal=0,switch_matrix_or_other=0
components.max_row_columns_with_diff,4
repro.iter_repro_controls_max,0
repro.iter_repro_row_max,0
repro.final_repro_row_max,0
classification.iter_eq_matlab,true
classification.final_eq_matlab,false
classification.final_eq_rate_formula,true
classification.final_eq_assembly,false
classification.both_equivalent,false
classification.mixed_or_unresolved,false
classification.materially_non_equivalent,true
deterministic_repeat_identical,true
