metric,value
terminal,DLH_5VT_TANGENT_PROJECTED_NEWTON__NONFINITE_INCONSISTENT_OR_NO_POSITIVE_SAFE_TANGENT_GEOMETRY__BOUNDARY_HJB_ROUTE_REVIEW_REQUIRED
failure_detail,None
iterations,8
final_statistic,3.6614352438846254e-08
min_boundary_pb_star,4.8089461301970005e-09
wall_state,family=F3; i=13; j=13; node=332; z=1
r_inf,10.435094313164921
r_argmax,family=F0; i=2; j=3; node=97; z=0
newton_solve_count,1
d_n_inf,19.725548329099023
newton_lin_res_inf,6.957900922088811e-11
newton_lin_res_ok,True
gradient_kind,full_state_chain_rule_two_entry
gradient_nonzero_count,2
gradient_wall_state_index,723
gradient_down_state_index,722
gradient_wall_entry,2.7142857142857144
gradient_down_entry,-2.7142857142857144
gradient_support,"(722, 723)"
gradient_basis_check_ok,True
gradient_basis_check_max_abs_err,0.0
gradient_norm2,3.838579669298401
gradient_finite,True
gradient_nonzero,True
g_dot_d_n,-2.5755863276799573e-05
g_dot_d_n_negative,True
alpha_cross_n,0.0001866738489296687
alpha_cross_n_state,family=F3; i=13; j=13; node=332; z=1
alpha_cross_n_reproduced,True
d_t_inf,19.725548329099023
d_t_minus_d_n_inf,4.7445011297497786e-06
g_dot_d_t,0.0
tangent_identity_ok,True
projection_count,1
j_d_n_plus_r_inf,6.957900922088811e-11
j_d_t_plus_r_inf,0.3714265007988642
crossing_computation_count,1
required_boundary_count,186
zero_derivative_count,41
negative_derivative_count,85
alpha_cross_t,0.16170699931086815
alpha_cross_t_state,family=F3; i=11; j=14; node=345; z=1
alpha_near,0.16170683760386884
alpha_half,0.08085341880193442
has_positive_safe_fraction,True
geometry_improvement_ratio,866.2532997045214
geometry_improving,True
trial_count,2
all_trials_domain_safe,True
all_trials_operator_equivalent,False
any_trial_materially_reducing,False
accepted_new_hjb_iterate,False
deterministic_repeat_identical,True
alpha_half.label,alpha_half
alpha_half.alpha,0.08085341880193442
alpha_half.min_boundary_pb,4.8089461301970005e-09
alpha_half.min_boundary_pb_state,family=F3; i=13; j=13; node=332; z=1
alpha_half.domain_safe,True
alpha_half.r_frozen_inf,9.591381262425049
alpha_half.r_reselect_inf,9.593278055493213
alpha_half.r_final_trial_inf,9.593278055493213
alpha_half.reselect_ratio,0.9193283517706523
alpha_half.final_ratio,0.9193283517706523
alpha_half.final_vs_iter_f0_rowwise_gap,0.6718037653783657
alpha_half.final_vs_iter_equivalent,False
alpha_half.final_vs_iter_inconsistent_row_count,2
alpha_half.final_vs_iter_inconsistent_rows,"(452, 453)"
alpha_half.max_abs_q1_reselect,2.4253377084448857e-12
alpha_half.max_abs_q1_final,2.4253377084448857e-12
alpha_half.label_change_count,0
alpha_half.max_abs_delta_consumption,0.11037704464076992
alpha_half.max_abs_delta_labor,0.035978160412827975
alpha_half.max_abs_delta_transfer,0.2879381893122205
alpha_half.max_abs_delta_mu_a,0.2879381893122205
alpha_half.max_abs_delta_mu_b,0.8364080749990155
alpha_half.max_abs_delta_utility,0.1090224644177229
alpha_half.material_residual_reducing,False
alpha_half.accepted_as_hjb_iterate,False
alpha_near.label,alpha_near
alpha_near.alpha,0.16170683760386884
alpha_near.min_boundary_pb,4.8089461301970005e-09
alpha_near.min_boundary_pb_state,family=F3; i=13; j=13; node=332; z=1
alpha_near.domain_safe,True
alpha_near.r_frozen_inf,8.747668211684884
alpha_near.r_reselect_inf,8.755529626006652
alpha_near.r_final_trial_inf,8.755529626006652
alpha_near.reselect_ratio,0.8390465254310803
alpha_near.final_ratio,0.8390465254310803
alpha_near.final_vs_iter_f0_rowwise_gap,1.3379411925537439
alpha_near.final_vs_iter_equivalent,False
alpha_near.final_vs_iter_inconsistent_row_count,4
alpha_near.final_vs_iter_inconsistent_rows,"(452, 453, 482, 483)"
alpha_near.max_abs_q1_reselect,2.4253377084448857e-12
alpha_near.max_abs_q1_final,2.4253377084448857e-12
alpha_near.label_change_count,2
alpha_near.max_abs_delta_consumption,0.19758003449302874
alpha_near.max_abs_delta_labor,0.06811077236428831
alpha_near.max_abs_delta_transfer,0.5572061756483162
alpha_near.max_abs_delta_mu_a,0.5572061756483162
alpha_near.max_abs_delta_mu_b,1.2708541379074427
alpha_near.max_abs_delta_utility,0.21516820213532295
alpha_near.material_residual_reducing,False
alpha_near.accepted_as_hjb_iterate,False
selected_q_repaired_blob,556ccc214f03a1a22306cc4f5c7e9f7691bbf897
bellman_tolerance_unchanged,0.001
hjb_convergence_claimed,False
official_gradient_remediation,True
superseded_single_entry_alpha_cross_T_historical,0.009436421907523617
superseded_single_entry_geometry_ratio_historical,50.55026467396071
superseded_single_entry_terminal_historical,DLH_5VT_TANGENT_PROJECTED_NEWTON__TANGENT_DIRECTION_FINITE_AND_DOMAIN_SAFE_BUT_GEOMETRY_OR_RESIDUAL_IMPROVEMENT_INSUFFICIENT__FURTHER_DIRECTION_DESIGN_REQUIRED
focused_suite_passed,39
focused_suite_failed,0
full_suite_passed,573
full_suite_failed,0
full_suite_warnings,6
full_suite_seconds,3539.12
