metric,value
terminal,DLH_5VU_F0_RATE_PATH_DIVERGENCE__UNIQUE_SIGN_OR_BRANCH_MECHANISM_ESTABLISHED_AND_FULLY_ACCOUNTS_FOR_TRIAL_OPERATOR_GAPS__RATE_SEMANTICS_SCIENTIFIC_REVIEW_GATE_READY
failure_detail,None
iterations,8
final_statistic,3.6614352438846254e-08
min_boundary_pb_star,4.8089461301970005e-09
wall_state,family=F3; i=13; j=13; node=332; z=1
r_inf,10.435094313164921
tangent_identity_residual,0.0
iter_rate_path_source_backed,True
final_raw_path_source_backed,True
rate_formulas_globally_equivalent,False
sign_or_branch_divergence_established,True
truncation_or_destination_divergence_established,False
other_mechanism_established,False
mixed_or_unresolved,False
trial_count,2
a_axis_rates_identical_all_rows,True
accepted_new_hjb_iterate,False
deterministic_repeat_identical,True
alpha_half.label,alpha_half
alpha_half.alpha,0.08085341880193442
alpha_half.total_f0_rows,596
alpha_half.rate_identical_row_count,594
alpha_half.b_rate_divergent_row_count,2
alpha_half.a_rate_divergent_row_count,0
alpha_half.active_direction_divergent_row_count,0
alpha_half.opposite_direction_component_row_count,2
alpha_half.diagonal_divergent_row_count,2
alpha_half.destination_layout_divergent_row_count,0
alpha_half.omitted_rate_divergent_row_count,0
alpha_half.q_row_divergent_row_count,2
alpha_half.max_b_rate_difference,0.3359018826891829
alpha_half.max_a_rate_difference,0.0
alpha_half.max_diagonal_difference,0.6718037653783657
alpha_half.max_rowwise_q_difference,0.6718037653783657
alpha_half.inconsistent_rows,(452, 453)
alpha_half.inconsistent_row_set_match,True
alpha_half.expected_gap,0.6718037653783657
alpha_half.expected_rows,(452, 453)
alpha_half.gap_reproduced,True
alpha_half.max_decomposition_residual,3.552713678800501e-15
alpha_half.decomposition_closed,True
alpha_half.all_rows_reproduced,True
alpha_half.same_controls_and_utility,True
alpha_half.row452.row,452
alpha_half.row452.node,61
alpha_half.row452.j,1
alpha_half.row452.i,28
alpha_half.row452.z,1
alpha_half.row452.family,F0
alpha_half.row452.sector,B
alpha_half.row452.transfer_label,B
alpha_half.row452.consumption,1.119920142728147
alpha_half.row452.labor,0.9749843243943356
alpha_half.row452.transfer,0.5384231361639152
alpha_half.row452.utility,-1.0360850481422097
alpha_half.row452.stored_mu_a,0.5752652414270617
alpha_half.row452.stored_mu_b,-1.0193211243365425
alpha_half.row452.raw_mu_a,0.5752652414270617
alpha_half.row452.raw_mu_b,-1.0193211243365425
alpha_half.row452.iteration_b_backward_rate,3.1026306487455124
alpha_half.row452.iteration_b_forward_rate,0.3359018826891829
alpha_half.row452.iteration_a_backward_rate,-0.0
alpha_half.row452.iteration_a_forward_rate,1.0930039587114173
alpha_half.row452.raw_b_backward_rate,2.76672876605633
alpha_half.row452.raw_b_forward_rate,0.0
alpha_half.row452.raw_a_backward_rate,0.0
alpha_half.row452.raw_a_forward_rate,1.0930039587114173
alpha_half.row452.iteration_active_b,B
alpha_half.row452.raw_active_b,B
alpha_half.row452.iteration_active_a,F
alpha_half.row452.raw_active_a,F
alpha_half.row452.iteration_opposite_direction_component,True
alpha_half.row452.raw_opposite_direction_component,False
alpha_half.row452.b_rate_divergent,True
alpha_half.row452.a_rate_divergent,False
alpha_half.row452.active_direction_divergent,False
alpha_half.row452.iteration_diagonal,-4.531536490146113
alpha_half.row452.final_diagonal,-3.8597327247677473
alpha_half.row452.diagonal_difference,0.6718037653783657
alpha_half.row452.iteration_destinations,(451, 453, 484)
alpha_half.row452.final_destinations,(451, 484)
alpha_half.row452.destination_layout_divergent,False
alpha_half.row452.omitted_iteration_rate,0.0
alpha_half.row452.omitted_final_rate,0.0
alpha_half.row452.q_gap_nonzero_columns,(451, 452, 453)
alpha_half.row452.q_gap_column_magnitudes,(0.3359018826891824, 0.6718037653783657, 0.3359018826891829)
alpha_half.row452.rowwise_max_gap,0.6718037653783657
alpha_half.row452.summed_rate_difference,0.6718037653783653
alpha_half.row452.decomposition_residual,4.440892098500626e-16
alpha_half.row452.row_reproduction_ok,True
alpha_half.row453.row,453
alpha_half.row453.node,62
alpha_half.row453.j,1
alpha_half.row453.i,29
alpha_half.row453.z,1
alpha_half.row453.family,F0
alpha_half.row453.sector,B
alpha_half.row453.transfer_label,B
alpha_half.row453.consumption,1.1679765720695081
alpha_half.row453.labor,0.9587354873927171
alpha_half.row453.transfer,0.49865573687912673
alpha_half.row453.utility,-0.9856135288373673
alpha_half.row453.stored_mu_a,0.5354978421422733
alpha_half.row453.stored_mu_b,-0.9558602919939625
alpha_half.row453.raw_mu_a,0.5354978421422733
alpha_half.row453.raw_mu_b,-0.9558602919939625
alpha_half.row453.iteration_b_backward_rate,2.7712060337678186
alpha_half.row453.iteration_b_forward_rate,0.17672809835563455
alpha_half.row453.iteration_a_backward_rate,-0.0
alpha_half.row453.iteration_a_forward_rate,1.0174459000703193
alpha_half.row453.raw_b_backward_rate,2.594477935412184
alpha_half.row453.raw_b_forward_rate,0.0
alpha_half.row453.raw_a_backward_rate,0.0
alpha_half.row453.raw_a_forward_rate,1.0174459000703193
alpha_half.row453.iteration_active_b,B
alpha_half.row453.raw_active_b,B
alpha_half.row453.iteration_active_a,F
alpha_half.row453.raw_active_a,F
alpha_half.row453.iteration_opposite_direction_component,True
alpha_half.row453.raw_opposite_direction_component,False
alpha_half.row453.b_rate_divergent,True
