metric,value
terminal,DLH_5VV_ROUTE_A_SINGLE_Q_OPERATOR_CONTRACT__FINAL_VALIDATION_REUSES_MATLAB_FAITHFUL_SELECTED_ITERATION_GENERATOR_AT_ALL_FROZEN_STATES__DUAL_RATE_GAP_REMOVED__HJB_RESIDUAL_REASSESSMENT_READY
owner_route,ROUTE_A_SELECTED
owner_route_decision,APPROVE_ROUTE_A_MATLAB_FAITHFUL_SINGLE_Q_F0_OPERATOR_CONTRACT
authority_marker,DLH_5VV_ROUTE_A_SINGLE_Q_OPERATOR_CONTRACT_AUTHORIZED
initial_activation,5681294485
final_activation_refresh,5682174361
selected_q_pre_issue70_blob,556ccc214f03a1a22306cc4f5c7e9f7691bbf897
selected_q_post_issue70_blob,35e7dadfa4fb8f1c2a89db21751f2b541bda3cab
oracle_blob,76ae5b149993a7edeeb8eb337f1b02b3fe33c51e
final_statistic,3.6614352438846254e-08
min_boundary_pb,4.8089461301970005e-09
wall_state,family=F3; i=13; j=13; node=332; z=1
tangent_identity_g_dot_d_t,0.0
historical_gap_S1,0.6718037653783657
historical_gap_S2,1.3379411925537439
S0.alpha,None
S0.f0_rowwise_max_gap,0.0
S0.non_f0_rowwise_max_gap,0.0
S0.global_max_gap,0.0
S0.u_max_abs_diff,0.0
S0.diagonal_max_abs_diff,0.0
S0.destination_set_symmetric_difference_rows,0
S0.represented_rate_mismatch_rows,0
S0.max_abs_q1_iter,2.4253377084448857e-12
S0.max_abs_q1_final,2.4253377084448857e-12
S0.r_iter_inf,10.435094313164921
S0.r_final_inf,10.435094313164921
S0.r_vector_max_abs_diff,0.0
S0.r_argmax,"row=97; node=97; z=0; family=F0"
S0.controls_max_abs_diff,0.0
S0.sector_label_changes,596
S0.historical_gap_collapsed,True
S1.alpha,0.08085341880193442
S1.f0_rowwise_max_gap,0.0
S1.non_f0_rowwise_max_gap,0.0
S1.global_max_gap,0.0
S1.u_max_abs_diff,0.0
S1.diagonal_max_abs_diff,0.0
S1.destination_set_symmetric_difference_rows,0
S1.represented_rate_mismatch_rows,0
S1.max_abs_q1_iter,2.4253377084448857e-12
S1.max_abs_q1_final,2.4253377084448857e-12
S1.r_iter_inf,9.593278055493213
S1.r_final_inf,9.593278055493213
S1.r_vector_max_abs_diff,0.0
S1.r_argmax,"row=97; node=97; z=0; family=F0"
S1.controls_max_abs_diff,0.0
S1.sector_label_changes,596
S1.historical_gap_collapsed,True
S1.historical_gap_removed,0.6718037653783657
S2.alpha,0.16170683760386884
S2.f0_rowwise_max_gap,0.0
S2.non_f0_rowwise_max_gap,0.0
S2.global_max_gap,0.0
S2.u_max_abs_diff,0.0
S2.diagonal_max_abs_diff,0.0
S2.destination_set_symmetric_difference_rows,0
S2.represented_rate_mismatch_rows,0
S2.max_abs_q1_iter,2.4253377084448857e-12
S2.max_abs_q1_final,2.4253377084448857e-12
S2.r_iter_inf,8.755529626006652
S2.r_final_inf,8.755529626006652
S2.r_vector_max_abs_diff,0.0
S2.r_argmax,"row=97; node=97; z=0; family=F0"
S2.controls_max_abs_diff,0.0
S2.sector_label_changes,596
S2.historical_gap_collapsed,True
S2.historical_gap_removed,1.3379411925537439
bellman_tolerance_unchanged,0.001
hjb_convergence_claimed,False
S0_residual_over_tolerance,10435.094313164921
deterministic_repeat_identical,True
accepted_new_hjb_iterate,False
frozen_state_count,3
final_false_builds_per_state,1
route_a_final_true_builds_per_state,1
focused_suite_passed,36
focused_suite_failed,0
full_suite_passed,602
full_suite_failed,22
full_suite_errors,13
full_suite_warnings,6
full_suite_seconds,3658.07
full_suite_green,False
full_suite_failures_all_in_historical_dual_q_audits,True
full_suite_failures_outside_allowlist,True
full_suite_conflict_reported_not_worked_around,True
ab_control_pre_change_S1_gap,0.6718037653783657
ab_control_pre_change_S1_rows,"(452, 453)"
ab_control_pre_change_S2_gap,1.3379411925537439
ab_control_pre_change_S2_rows,"(452, 453, 482, 483)"
ab_control_post_change_S1_gap,0.0
ab_control_post_change_S2_gap,0.0
ab_control_matches_accepted_issue68_exactly,True
