metric,value
terminal,DLH_5VW_ROUTE_A_HJB_RESIDUAL_DECOMPOSITION__DECOMPOSITION_AND_POLICY_REPRODUCTION_PASS_BUT_RESIDUAL_IS_MIXED_FIXED_POINT_IMBALANCE__BOUNDED_SOLVER_DESIGN_REQUIRED
failure_detail,None
steps,8
final_statistic,3.6614352438846254e-08
min_boundary_pb_star,4.8089461301970005e-09
wall_state,family=F3; i=13; j=13; node=332; z=1
residual_inf,10.435094313164921
residual_argmax_row,97
residual_argmax_node,97
residual_argmax_z,0
residual_argmax_family,F0
bellman_tolerance,0.001
residual_over_tolerance,10435.09431316492
total_states,782
f0_state_count,596
non_f0_state_count,186
max_abs_R_f0,10.435094313164921
argmax_f0_row,97
max_abs_R_non_f0,9.742068328671465
argmax_non_f0_row,0
max_abs_R_z0,10.435094313164921
max_abs_R_z1,9.742068328671465
positive_residual_count,401
negative_residual_count,381
zero_residual_count,0
top_absolute_contribution_class,diagonal_term
contribution_class_totals,a_backward_term=0.0; a_forward_term=151218.4856532891; b_backward_term=399389.9328334038; b_forward_term=0.0; boundary_term=1544360.696014633; diagonal_term=2109938.8990439824; rhoV_term=827.2258904289941; utility_source_term=846.2115700026329; z_switch_term=13787.098173816563
contribution_class_maxima,a_backward_term=0.0; a_forward_term=414.2770531936301; b_backward_term=1043.0357396657512; b_forward_term=0.0; boundary_term=1504511.9821019648; diagonal_term=1504520.336080192; rhoV_term=1.697457159439895; utility_source_term=1.704387957389434; z_switch_term=28.29095265733158
decomposition_closure_max_error,4.036238010485249e-11
operator_row_closure_max_error,2.816165078911581e-10
top20_f0_count,20
policy_reproduction_failure_count,0
max_abs_q1,2.4253377084448857e-12
rate_attribution_mismatch_rows,0
operator_build_count,1
selector_call_count,20
decomposition_closed,True
dominant_residual_f0,True
policy_records_reproduced,True
dominant_component_identified,False
dominant_component_class,
dominance_share,0.4999418592137306
dominance_top20_coverage,1.0
dominance_leading_gap,0.27969201708635255
cancellation_ratio_top20_mean,0.006665998653866562
cancellation_ratio_top20_max,0.01457899113128125
top20_component_totals,a_backward_term=0.0; a_forward_term=4300.538860567501; b_backward_term=12462.677512174767; b_forward_term=0.0; boundary_term=0.0; diagonal_term=17301.873376112268; rhoV_term=29.08117503878511; utility_source_term=29.759501425109008; z_switch_term=333.57467392996
branch_inconsistency_established,False
other_mechanism_established,False
mixed_or_unresolved,True
accepted_new_hjb_iterate,False
new_trajectory_run,False
deterministic_repeat_identical,False
