metric,value
terminal,DLH_5VX_ROUTE_A_BOUNDED_SOLVER_DESIGN__MULTIPLE_PLAUSIBLE_ROUTES_REMAIN__OWNER_OR_REVIEWER_ROUTE_SELECTION_REQUIRED
failure_detail,None
evidence_issue_count,9
evidence_issues,('60', '61', '62', '63', '64', '68', '69', '70', '71')
negative_evidence_count,5
family_count,4
admissible_family_count,3
refuted_family_count,1
admissible_families,('policy_frozen_regularized_newton', 'residual_jacobi_preconditioned_correction', 'constrained_projected_lsq_trust_region')
refuted_families,('pseudo_time_resolvent_historical_baseline',)
selected_contract_name,ROUTE_A_BOUNDED_CONSTRAINED_OUTER_FRAME__DIRECTION_OPEN
selected_family,
outer_framework,constrained_projected_lsq_trust_region
open_sub_choice,direction sub-choice within the frozen outer frame: exactly one of ('policy_frozen_regularized_newton', 'residual_jacobi_preconditioned_correction') must be selected before execution
selection_rule_satisfied,False
contract_frozen,True
ladders,regularization_ladder=(1.0, 0.5, 0.25, 0.125, 0.0625, 0.03125, 0.015625, 0.0078125, 0.00390625, 0.001953125, 0.0009765625, 0.00048828125, 0.000244140625, 0.0001220703125, 6.103515625e-05, 3.0517578125e-05, 1.52587890625e-05, 7.62939453125e-06, 3.814697265625e-06, 1.9073486328125e-06, 9.5367431640625e-07); regularization_ladder_length=21; step_fraction_floor=9.5367431640625e-07; step_fraction_ladder=(1.0, 0.5, 0.25, 0.125, 0.0625, 0.03125, 0.015625, 0.0078125, 0.00390625, 0.001953125, 0.0009765625, 0.00048828125, 0.000244140625, 0.0001220703125, 6.103515625e-05, 3.0517578125e-05, 1.52587890625e-05, 7.62939453125e-06, 3.814697265625e-06, 1.9073486328125e-06, 9.5367431640625e-07); step_fraction_ladder_length=21; trust_radius_fraction_ladder=(1.0, 0.5, 0.25, 0.125, 0.0625, 0.03125, 0.015625, 0.0078125, 0.00390625, 0.001953125, 0.0009765625, 0.00048828125, 0.000244140625, 0.0001220703125, 6.103515625e-05, 3.0517578125e-05, 1.52587890625e-05, 7.62939453125e-06, 3.814697265625e-06, 1.9073486328125e-06, 9.5367431640625e-07); trust_radius_fraction_ladder_length=21
thresholds,active_boundary_tolerance=1e-12; armijo_coefficient=0.0001; baseline_min_pb=4.8089461301970005e-09; bellman_residual_tol=0.001; candidate_pb_margin=1e-12; constraint_tolerance=1e-09; iterate_change_tol=1e-07; linear_residual_tol=1e-10; linear_solve_rtol=1e-12; min_residual_reduction_absolute=1e-12; pb_safety_margin=1e-12; required_residual_reduction_ratio=0.5; residual_reference=10.435094313164921
max_attempts,linear_solve_maxiter=4; max_outer_iterations=1000; max_regularization_attempts=21; max_step_fraction_attempts=21; max_total_step_attempts=63; max_trust_radius_attempts=21
fail_closed_terminals,('BOUNDED_SOLVER_NO_DOMAIN_SAFE_STEP', 'BOUNDED_SOLVER_NO_RESIDUAL_REDUCING_STEP', 'BOUNDED_SOLVER_LINEAR_SOLVE_FAILURE', 'BOUNDED_SOLVER_NONFINITE_EVIDENCE', 'BOUNDED_SOLVER_SINGLE_Q_CONTRACT_FAILURE', 'BOUNDED_SOLVER_ATTEMPT_BUDGET_EXHAUSTED')
consistency_checks,active_set_uses_full_wall_gradient=True; all_four_families_present=True; armijo_in_unit_interval=True; baseline_family_refuted=True; baseline_min_pb_matches_accepted=True; bellman_tol_matches_accepted=True; contract_all_clauses_present=True; contract_clause_count=True; convergence_criteria_separated=True; every_family_assessed_on_all_axes=True; evidence_covers_60_to_71=True; fail_closed_clause_names_every_terminal=True; iterate_tol_matches_accepted_issue63=True; ladder_floor_matches_issue61=True; ladder_regularization_exact=True; ladder_step_fraction_exact=True; ladder_trust_radius_exact=True; ladders_strictly_descending=True; logging_carries_domain_margin_and_reason=True; material_ratio_matches_accepted=True; max_attempts_all_finite_ints=True; merit_is_residual_based=True; negative_evidence_present=True; no_adaptive_hedge_language=True; pseudocode_has_no_hedge=True; pseudocode_nonempty=True; pseudocode_separates_convergence=True; refuted_families_have_reason=True; regularization_attempts_match_ladder=True; regularization_ladder_naming_disambiguated=True; reported_repeat_flag_agrees_with_measurement=True; reported_repeat_flag_is_measured=True; residual_reference_matches_accepted=True; single_q_enforced_by_full_reassembly=True; step_fraction_attempts_match_ladder=True; thresholds_all_finite=True; total_attempt_bound_finite=True; trust_radius_attempts_match_ladder=True
consistency_check_count,38
consistency_ok,True
deterministic_repeat_identical,True
constructed_new_state,False
accepted_iterate,False
trajectory_run,False
executed_newton,False
executed_tangent,False
executed_trust_region,False
executed_line_search,False
executed_continuation,False
executed_pseudo_time,False
accepted_residual_inf,10.435094313164921
accepted_residual_argmax,row 97 / node 97 / z 0 / F0
accepted_cancellation_ratio,0.006665998653866562
bellman_tolerance,0.001
hjb_convergence_claimed,False
evidence.issue60.plain_value_damping,TERMINAL C — invariant-domain safeguarded HJB update; no viable effective-domain resolvent step
evidence.issue60.plain_value_damping.negative,True
evidence.issue61.adaptive_resolvent_ladder,delta ladder {1000*2^-k, k=0..20}; floor 0.00095367431640625
evidence.issue61.adaptive_resolvent_ladder.negative,True
evidence.issue62.positive_subfloor_safe_step,OUTCOME A — local continuous resolvent / domain-margin geometry; limiting F3 wall geometry quantified
evidence.issue62.positive_subfloor_safe_step.negative,False
evidence.issue63.ftb_statistic_vs_bellman,CONVERGENCE_TOL=1e-07; TAU_FTB=0.9; TERMINAL B — effective domain preserved but validated HJB convergence NOT reached
evidence.issue63.ftb_statistic_vs_bellman.negative,True
evidence.issue64.policy_frozen_newton_direction,ratio_iter=0.999906663403; material_reduction=False
